fid,lat,lon,Annual_WS,Annual_WD
"168",37.47,127.023,3.42,270.75
"169",37.47,127.035,3.08,261.9
"170",37.479,127.024,3.53,266.96
"171",37.479,127.035,3.17,267.48
"172",37.479,127.047,3.06,262.25
"173",37.506,127.059,3.12,274.13
"174",37.516,127.048,3.14,277.22
"175",37.515,127.059,3.11,275.59
"176",37.525,127.048,3.12,277.85
"177",37.525,127.059,3.15,278.3
"178",37.461,127.012,3.27,271.96
"179",37.47,127.012,3.62,275.66
"180",37.469,127.093,3.29,261.98
"181",37.469,127.105,3.24,262.69
"182",37.478,127.093,3.37,269.22
"183",37.478,127.105,3.22,267.17
"184",37.497,127.012,3.27,269.41
"185",37.497,127.024,3.26,268.52
"186",37.507,126.989,3.36,284.35
"187",37.507,127.001,3.35,283.52
"188",37.507,127.012,3.3,281.22
"189",37.507,127.024,3.24,279.26
"190",37.516,126.989,3.41,289.69
"191",37.516,127.001,3.37,288.86
"192",37.516,127.013,3.3,286.15
"193",37.516,127.024,3.22,283.26
"194",37.479,127.012,3.63,261.18
"195",37.488,127.012,3.36,258.89
"196",37.488,127.024,3.36,263.45
"197",37.488,127.035,3.22,268.09
"198",37.488,127.047,3.11,266.64
"199",37.451,127.081,3.75,261.97
"200",37.46,127.081,3.4,249.41
"201",37.46,127.093,3.53,256.03
"202",37.469,127.07,3.44,268.33
"203",37.469,127.082,3.31,265.36
"204",37.479,127.059,3.24,256.73
"205",37.478,127.07,3.49,262.29
"206",37.488,127.059,3.04,258.02
"207",37.488,127.07,3.17,254.62
"208",37.497,127.059,3.12,268.14
"209",37.497,127.071,3.12,262
"210",37.571,127.002,3.05,300.31
"211",37.506,127.071,3.12,271.65
"212",37.525,127.013,3.28,291.9
"213",37.525,127.024,3.22,285.59
"214",37.525,127.036,3.15,280.33
"215",37.516,127.036,3.17,280.37
"216",37.534,127.013,3.19,299.07
"217",37.534,127.025,3.18,290.76
"218",37.534,127.036,3.18,283.94
"219",37.506,127.082,3.13,268.91
"220",37.506,127.094,3.14,266.06
"221",37.515,127.071,3.14,275.24
"222",37.515,127.082,3.14,273.7
"223",37.515,127.094,3.13,271.05
"224",37.459,127.116,3.14,267.63
"225",37.469,127.117,3.14,265.89
"226",37.478,127.082,3.45,268.13
"227",37.488,127.082,3.31,256.75
"228",37.487,127.094,3.36,260.75
"229",37.497,127.082,3.13,256.19
"230",37.497,127.094,3.16,255.58
"231",37.59,127.025,2.93,307.06
"232",37.487,127.105,3.22,263.55
"233",37.515,127.106,3.09,267.73
"234",37.525,127.071,3.17,278.46
"235",37.524,127.083,3.16,277.29
"236",37.524,127.094,3.14,275.99
"237",37.524,127.106,3.12,274.16
"238",37.534,127.071,3.14,280.74
"239",37.534,127.083,3.14,279.88
"240",37.534,127.094,3.12,278.34
"241",37.533,127.106,3.11,277.48
"242",37.524,127.118,3.05,271.62
"243",37.533,127.118,3.05,276.22
"244",37.543,127.106,3.07,285.27
"245",37.542,127.118,3.03,282.4
"246",37.506,127.105,3.1,264.4
"247",37.506,127.117,3.03,263.72
"248",37.487,127.117,3.07,266.18
"249",37.487,127.128,2.96,266.32
"250",37.496,127.105,3.13,259.71
"251",37.496,127.117,3.05,263.83
"252",37.496,127.129,2.92,263.6
"253",37.478,127.117,3.1,266.42
"254",37.478,127.128,2.99,264.92
"255",37.469,127.128,3.01,264.52
"256",37.478,127.14,2.89,259.17
"257",37.487,127.14,2.89,259.71
"258",37.505,127.129,2.93,262.02
"259",37.505,127.14,2.87,258.61
"260",37.515,127.117,3.02,265.05
"261",37.515,127.129,2.94,263.45
"262",37.515,127.141,2.87,260.94
"263",37.524,127.129,2.96,269.45
"264",37.524,127.141,2.86,266.7
"265",37.487,127.152,2.84,226.12
"266",37.496,127.14,2.87,257.83
"267",37.496,127.152,2.79,236.07
"268",37.542,127.141,2.88,272.45
"269",37.542,127.153,2.85,268
"270",37.551,127.141,2.93,282.46
"271",37.551,127.153,2.87,275.41
"272",37.561,127.153,2.93,279.25
"273",37.56,127.165,2.9,274.57
"274",37.57,127.153,3,282.7
"275",37.57,127.165,2.99,279.94
"276",37.551,127.164,2.88,270.78
"277",37.551,127.176,2.81,268
"278",37.58,127.025,2.95,302.61
"279",37.581,126.979,3.17,316.42
"280",37.599,126.979,3.64,325.62
"281",37.599,126.991,3.58,317.78
"282",37.599,127.002,3.3,309.29
"283",37.599,127.014,3,307.22
"284",37.608,126.979,3.77,326.91
"285",37.608,126.991,3.71,313.35
"286",37.608,127.003,3.25,305.01
"287",37.608,127.014,2.88,303.69
"288",37.618,126.979,4.03,327.35
"289",37.618,126.991,3.93,313.16
"290",37.617,127.003,3.33,305.44
"291",37.617,127.014,2.85,303.39
"292",37.627,126.979,4.65,321.89
"293",37.627,126.991,4.38,307.77
"294",37.627,127.003,3.58,302.36
"295",37.627,127.014,2.94,301
"296",37.636,126.991,4.7,296.82
"297",37.636,127.003,3.72,294.37
"298",37.636,127.015,2.91,294.37
"299",37.608,127.026,2.77,305.29
"300",37.533,127.141,2.86,271.38
"301",37.533,127.152,2.82,267.93
"302",37.552,127.118,2.96,294.71
"303",37.552,127.13,2.98,288.67
"304",37.561,127.13,2.94,292.36
"305",37.561,127.141,2.98,285.97
"306",37.533,127.129,2.96,274.2
"307",37.542,127.129,2.96,277.26
"308",37.56,127.176,2.89,271.9
"309",37.569,127.176,2.96,277.7
"310",37.562,126.967,3.18,318.06
"311",37.571,127.072,2.92,287.53
"312",37.571,127.083,2.89,291.36
"313",37.57,127.095,3.26,319.96
"314",37.58,127.072,2.9,288.43
"315",37.58,127.084,2.86,275.22
"316",37.58,127.095,3.2,251.88
"317",37.589,127.072,2.85,290.68
"318",37.589,127.084,2.82,277.51
"319",37.589,127.095,2.86,245.27
"320",37.589,127.107,3.37,252.38
"321",37.598,127.072,2.77,291.83
"322",37.598,127.084,2.79,285
"323",37.598,127.095,2.77,266.86
"324",37.608,127.072,2.71,294.44
"325",37.607,127.084,2.77,290.88
