fid,매우양호,양호,약간양호,약간불량,불량,매우불량,기타,총면적
82,1512.778,520043.527,0,0,0,0,0,521556.305
83,278322.328,0,0,0,0,0,0,278322.328
84,3736.734,0,0,0,0,0,0,3736.734
85,0,60294.113,0,181974.629,0,0,0,242268.74199999997
86,0,138588.027,53344.298,822671.089,0,0,0,1014603.4140000001
87,0,34416.457,1328.524,978053.573,0,0,0,1013798.554
88,0,0,724063.243,275742.48,0,0,0,999805.723
89,0,809760.848,193720.403,37606.674,0,0,0,1041087.9249999999
90,30571.399,441421.889,134259.489,318729.521,47410.151,0,0,972392.4489999999
91,24371.02,731975.504,38820.487,201510.631,0,0,0,996677.642
92,54456.04,234347.672,219111.404,428350.98600000003,65158.074,48985.049,0,1050409.225
93,694880.187,347499.464,18347.12,13244.812,0,0,0,1073971.583
94,603822.044,63289.794,0,3.07,0,0,0,667114.9079999999
95,154812.693,168852.31100000002,0,80958.831,0,0,0,404623.835
96,1397422.608,196755.373,0,22931.322,0,0,11545.634,1628654.937
97,513185.951,452243.75100000005,0,152882.096,0,0,0,1118311.798
98,509265.509,431763.70900000003,0,59880.063,0,0,0,1000909.2810000001
99,488074.338,584967.4759999999,2443.02,160448.844,0,0,0,1235933.6779999998
100,83754.534,470423.849,130597.527,340978.82,0,0,0,1025754.73
101,65868.79,839196.18,5.691,111341.245,0,0,0,1016411.9060000001
102,0,791511.525,7311.929,217468.296,0,0,0,1016291.75
103,0,635097.832,35550.914000000004,346647.736,0,0,0,1017296.4820000001
104,0,855929.354,19904.713,139963.126,0,0,0,1015797.193
105,0,811154.909,19715.008,242150.565,0,0,0,1073020.482
106,0,676249.789,39875.488,357323.728,0,0,0,1073449.005
107,275368.416,369051.776,220524.914,42542.354,0,0,0,907487.4600000001
108,0,410848.697,11066.863,0,0,0,0,421915.56
109,78954.171,84672.082,7206.065,2351.023,0,0,0,173183.341
110,63558.687,320193.655,0,0,0,0,0,383752.342
111,0,346516.76300000004,425442.78400000004,282051.946,0,0,0,1054011.493
112,0,343285.91500000004,76445.809,653830.28,0,0,0,1073562.0040000002
113,0,486167.507,335420.815,290766.154,0,0,0,1112354.4759999998
114,0,591707.617,72925.15,408794.488,0,0,0,1073427.255
115,0,241802.17700000003,0,697420.16,0,0,0,939222.337
116,0,49433.975,294478.262,723065.467,0,0,0,1066977.704
117,0,575208.214,1427.022,494446.873,0,0,0,1071082.1090000002
118,0,624551.838,0,433885.848,0,0,0,1058437.686
