Entertain_tags,number,overlap_num,overlap_word
아프리카tv,58,2,"['아프리카tv세야', 'bj세야아프리카tv']"
노래,58,16,"['노래방', '일반인이부른노래레전드', '카풀노래방', '거리노래방', '창현거리노래방', '급식노래', '스키장노래', '여자친구에게노래', '받아쓰기노래', '노래받아쓰기공대생', '노래받아쓰기', '노래100곡', '크리스마스노래', '크리스마스선물노래', '노래모음', '유소나노래']"
이수근,58,2,"['이수근까스', '이수근레전드']"
영국남자,57,4,"['영국남자들', '영국남자크리스마스', '영국남자국가비', '영국남자크루']"
소녀시대,57,2,"['소녀시대몸매', '소녀시대필라테스']"
워너원,56,24,"['워너원고', '워너원강다니엘', '워너원자막', '워너원고제로베이스', '워너원엄마', '워너원go', '워너원뷰티풀', '하서운워너원고', '2017마마워너원에너제틱', '2017마마워너원', '워너원셀프캠', '워너원마마', 'mama워너원', '171118워너원고시즌2', '워너원고강다니엘편집', '워너원예능', '마마워너원', '워너원고시즌23화', '워너원고강다니엘컷', '워너원리액션', '워너원고제로베이스3회', '워너원고재로베이스3회강다니엘cut', '워너원고강다니엘cut', '워너원고23회']"
철구,54,6,"['동핵철구', '철구형', '세야철구', '철구비글즈', '철구턱형', '턱형철구']"
wannaone,54,6,"['wannaonego', 'wannaonebeautiful', 'wannaoneisbeautiful', '2017mamawannaone', 'wannaonebeautifulchro', 'mamawannaone']"
게임,53,25,"['모바일게임;', '겜도리모바일게임', '겜도리게임', '모바일게임', '2018자카르타팔렘방아시안게임', '항아리게임', '얼음게임', '공포게임', '콘솔게임', '비디오게임', '술게임', '재밌는치킨게임', '겜도리라이더게임', '인기게임', '라이더게임', '겜도리인기게임', '모바일게임라이더', '겜도리모바일게임라이더', '게임잘하는여자', '온라인게임', '소사이어티게임', 'top10게임', '밸런스게임', '일본게임', '닌텐도게임칩맛보기']"
롤,53,13,"['롤;', '롤매드무비', '롤브금', '롤플레이', '롤링볼', '캐롤', '매직컨트롤', '크리스마스캐롤메들리', '크리스마스캐롤송', '크리스마스캐롤재즈', '크리스마스캐롤팝송', '크리스마스캐롤', '크리스마스캐롤피아노']"
샤이니,52,9,"['샤이니종현', '샤이니종현사망', '샤이니인터뷰', '샤이니영상', '샤이니종현영상', '샤이니종현부모님아빠엄마비화더욱슬프다', '샤이니종현우울증', '샤이니종현자살', '샤이니종현발인']"
김민경,51,0,[]
love,51,10,"['schoollove', 'lovelyz', 'fatedtoloveyou', 'fallinlovelyz', 'lovely', 'lovers', 'mylovebymyside', 'thesecretofmylove', 'punjabilovesongs', 'letmeloveyou']"
유민상,51,0,[]
문세윤,51,0,[]
김준현,51,0,[]
김이브,50,8,"['김이브님', '김이브윰댕', '윰댕김이브', '김이브대도서관', '김이브인성', '김이브논란', '김이브vs윰댕', '윰댕vs김이브']"
웃긴,50,3,"['웃긴영상', '웃긴동영상', '웃긴영상.']"
동영상,50,14,"['꾹동영상', '꾹tv동영상', '뽀로로동영상', '웃긴동영상', '인기급상승동영상', 'md동영상', '동핵유부초밥동영상', '병맛동영상', '코믹동영상', '개그동영상', '아이폰동영상', '마술동영상', '꿀잼동영상', '재밌는동영상']"
남캠,49,0,[]
korean,49,24,"['koreanfood', '#koreanews24h', 'koreanfolkvillage', '#koreanews', 'koreanculture', 'koreanenglishman', 'koreanmukbang', 'koreanolympic', 'pororokorean', 'koreanpop', 'koreanfriedchicken', 'koreanchicken', 'koreandrama', 'koreanvideo', 'koreanyoutuber', 'koreanpeople', 'koreanmagician', 'koreanmagic', 'koreanvarietyshow', 'koreansat', 'koreantvc', 'koreantaffy', 'koreanyeot', 'koreancandy']"
밴쯔,49,2,"['밴쯔먹방', '치킨밴쯔']"
턱형,48,7,"['갓턱형', '비글즈턱형', '블랙리스트턱형', '철구턱형', '턱형철구', '턱형블랙리스트', 'bj턱형']"
오버워치,48,1,['오버워치;']
아프리카,47,7,"['아프리카tv', '아프리카먹방', '아프리카tv세야', 'bj세야아프리카tv', '아프리카bj', '아프리카티비', '아프리카왕쥬']"
다시보기,46,4,"['드라마다시보기', '대물변강쇠(2017)영화다시보기', '영화다시보기', '밋앤그릿다시보기']"
아이돌,45,4,"['아이돌예능', '일본아이돌', '아이돌여행', '남자아이돌']"
미스테리,44,1,['토요미스테리']
남순,44,3,"['남순홍대버스킹', '창현남순', '세야남순']"
인기,44,9,"['꾹인기', '꾹tv인기', '인기가요', '인기급상승동영상', '인기게임', '겜도리인기게임', '인기급상승뉴스', '겜도리인기', '인기연예인']"
슈기,44,1,['님슈기']
tr??nggiang,43,1,['tr??nggiangthachth?cdanhhai']
엠브로,43,1,['엠브로먹방']
여캠,43,0,[]
신태일,43,0,[]
꾹이,43,0,[]
premium,42,0,[]
악어,42,0,[]
srilankacricket,42,0,[]
playcricket,42,0,[]
janakasiriwardana,42,0,[]
sinhala,42,1,['sinhalateledrama']
romantic,42,4,"['balkarsidhusuperhitromanticsong', 'balkarsidhuhitromanticsong', 'balkarsidhunewromanticsong2017', 'romanticsong']"
cricket,42,4,"['srilankacricket', 'playcricket', 'cricketteam', 'cricketmatch']"
devenienima,42,0,[]
adventure,42,0,[]
sarangamendis,42,0,[]
derana,42,1,['tvderana']
bestteledrama,42,0,[]
deweniinima,42,0,[]
schoollove,42,0,[]
srilanka'sbest,42,0,[]
lanka,42,5,"['srilanka', 'srilankacricket', ""srilanka'sbest"", 'srilankanteledrama', 'srilankateledramas']"
tvderana,42,0,[]
dtv,42,3,"['이제만나러갑니다.e308.82min19sec.171112.hdtv.1920x1080p-channela', '이제만나러갑니다.e312.82min14sec.171210.hdtv.1920x1080p-channela', 'hdtv']"
cricketteam,42,0,[]
secondinning,42,0,[]
dawanainima,42,0,[]
samanedirimuni,42,0,[]
devanainima,42,0,[]
deveniinima,42,0,[]
deweni,42,2,"['deweniinima', 'dewenienima']"
최군,42,1,['bj최군']
02ndinnings,42,0,[]
topteledrama,42,0,[]
종현,42,26,"['샤이니종현', '김종현', '종현추모', '종현사망', '종현과거영상', '종현비정상회담', '종현발인', '샤이니종현사망', '종현타투', '종현인터뷰', '샤이니종현영상', '샤이니종현부모님아빠엄마비화더욱슬프다', '종현이', '종현lonely', '종현조문', '종현빈소', '종현자살', '샤이니종현우울증', '샤이니종현자살', '동방신기종현', '샤이니종현발인', '뉴이스트김종현', '김종현어니부기', '미앤미김종현', '김종현치킨', '종현발인식']"
school,42,1,['schoollove']
srilankanteledrama,42,0,[]
cricketmatch,42,0,[]
innings,42,1,['02ndinnings']
dewenienima,42,0,[]
dewanainima,42,0,[]
