Animal_tags,number,overlap_num,overlap_word
animal,86,19,"['animals', 'tvanimalfarmengsub', 'sbsanimalfarm', 'tvanimalfarm', 'animalfarm', 'sbsanimalengsub', 'tvanimalfarmkoreanengsub', 'sbsanimalfarm2018', 'sbsanimalshow', 'funnyanimals', 'babyanimalvideos', 'cuteanimals', 'animalvideos', 'animalvideo', 'babyanimals', 'funnyanimalvideo', 'sbstvanimals', 'sbstvanimalfarm', 'funnyanimalvideos']"
시바,86,13,"['시바견', '시바견탱이', '시바견곰이', '시바이누', '시바견아기', '귀여운시바견', '시바견분양', '시바전문', '시바견키우기', '시바나라', '시바위험성', '시바견털날림', '시바견털']"
동물영상,83,1,['재미있는동물영상']
시바견,83,8,"['시바견탱이', '시바견곰이', '시바견아기', '귀여운시바견', '시바견분양', '시바견키우기', '시바견털날림', '시바견털']"
애완동물,82,3,"['귀여운애완동물', '애완동물추천', '애완동물동반여행']"
웃긴영상,81,1,['웃긴영상동물']
장난감,80,1,['강아지장난감']
스코티쉬폴드,80,0,[]
아리집사,79,0,[]
힐링,79,2,"['힐링영상', '강아지힐링']"
목욕,79,8,"['강아지목욕', '친칠라목욕', '버블목욕', '셀프목욕', '고양이목욕', '처음목욕', '첫목욕', '목욕전쟁']"
발톱,76,0,[]
포메,76,3,"['포메라니안', '아기포메', '포메라니안수영']"
간식,75,3,"['수제간식', '고양이간식', '개간식']"
말티즈,73,2,"['말티즈성격', '말티즈키우는법']"
일상,73,3,"['일상브이로그', '제주도일상', '강아지일상']"
동물농장,72,22,"['tv동물농장', '애니멀봐동물농장', '동물농장애니멀봐', '동물농장강아지', '동물농장고양이', '동물농장레전드', '동물농장진돗개', '동물농장백구', '동물농장원앙', '동물농장판다', '동물농장판다곰', '동물농장친칠라', '불테리어동물농장', '동물농장호미', '동물농장천재견', '동물농장천재견제시', '동물농장흑염소', '동물농장염소', '동물농장사슴', '동물농장유기견', '케인코르소동물농장', '동물농장예고']"
힐링영상,72,0,[]
웃긴,71,10,"['웃긴영상', '웃긴강아지', '웃긴동물', '웃긴영상동물', '웃긴반응', '웃긴고양이', '웃긴개', '웃긴동영상', '웃긴말', '웃긴행동']"
아리주인,71,0,[]
funny,71,9,"['funnyanimals', 'funnydog', 'funnyvideo', 'funnyanimalvideo', 'funnycat', 'bullterrierfunny', 'bullterrierfunnyvideos', 'jackrussellterrierfunny', 'funnyanimalvideos']"
피비린내,70,0,[]
감동,69,6,"['개감동', '개감동이양', '감동영상', '감동적인영상', '감동스토리', '감동적인동영상']"
길고양이,67,1,['길고양이먹방']
tv동물농장,66,0,[]
애니멀봐동물농장,66,0,[]
귀여운영상,66,0,[]
prank,66,0,[]
동물농장애니멀봐,66,0,[]
애니멀봐,66,5,"['애니멀봐동물농장', '동물농장애니멀봐', '애니멀봐강아지', '애니멀봐고양이', '애니멀봐망고']"
길냥이,65,0,[]
래브라도리트리버,65,1,['래브라도리트리버분양']
진돗개,64,2,"['동물농장진돗개', '진돗개부부']"
엑조틱,63,0,[]
노르웨이숲,63,0,[]
labrador,63,1,['labradorretriever']
소녀,63,1,['소녀의행성']
retriever,63,1,['labradorretriever']
[none],61,0,[]
놀이,61,0,[]
cute,59,9,"['socute', 'cutedogs', 'cuteanimals', 'cutevideo', 'cutepuppies', 'cutecat', 'cutecats', 'cutepuppy', 'cuteness(websitecategory)']"
수달,59,0,[]
pup,57,14,"['puppy', 'puppies', 'puppyvideos', 'puppylove', 'puppyyoutube', 'cutepuppies', 'jackrussellterrierpuppies', 'cutepuppy', 'adorablepuppy', 'puppyfail', 'puppyhug', 'puppyclips', 'puppyclip', 'puppyfails']"
비명,57,0,[]
hahaha,56,0,[]
