Show_tags,number,overlap_num,overlap_word
경남창원시,2,0,[]
3도화상,2,0,[]
소독,2,0,[]
그림심리분석,2,0,[]
피부이식,2,0,[]
상추,2,0,[]
회사손해,2,0,[]
지하철,2,0,[]
반낫떼,2,0,[]
낀양,2,0,[]
담배,2,0,[]
요리준비,2,0,[]
노래방,2,0,[]
새우,2,1,['새우양식장']
달러,2,0,[]
베트남떡,2,0,[]
삼촌,2,0,[]
고부대화,2,0,[]
밭일,2,0,[]
베트남동,2,0,[]
친정식구,2,0,[]
파인애플심기,2,0,[]
베트남호치민,2,0,[]
음주,2,1,['음주운전']
파김치,2,0,[]
치킨,2,0,[]
남매,2,0,[]
노견,2,0,[]
반려견행동,2,0,[]
등산팁,2,0,[]
꿈나라,2,0,[]
여행,2,3,"['여행준비', '반려견여행', '화해의여행']"
효리네민박,2,0,[]
제주도,2,0,[]
황제성,2,0,[]
분리불안,2,0,[]
유토피아,2,0,[]
반려견여행,2,0,[]
통제불능,2,0,[]
발발이,2,0,[]
포메리안,2,0,[]
문제견,2,0,[]
애완견,2,0,[]
황재성,2,0,[]
유기견,2,0,[]
변화,2,0,[]
오름도,2,0,[]
마음의준비,2,0,[]
심란함,2,0,[]
부산북구,2,0,[]
병원놀이,2,0,[]
붕대,2,0,[]
내레이션하희라,2,0,[]
외톨이,2,0,[]
정원,2,0,[]
사돈가족,2,0,[]
베트남하우양,2,0,[]
고요한아침,2,0,[]
노젓기,2,0,[]
칭찬,2,0,[]
외할아버지,2,0,[]
장나들이,2,0,[]
외할머니,2,0,[]
외손자,2,0,[]
비행기,2,0,[]
판소리전수교육관,2,0,[]
신경자극,2,0,[]
짜장면,2,0,[]
노인성난청,2,0,[]
입마개,2,0,[]
한일관,2,0,[]
컨트롤,2,0,[]
루어링,2,0,[]
수면무호흡증,2,0,[]
야쿠르트,2,0,[]
부추,2,0,[]
희귀병,2,0,[]
허리통증,2,0,[]
위장기질종양,2,0,[]
함박눈,2,0,[]
육종,2,0,[]
세탁소,2,0,[]
서울송파구,2,0,[]
절제수술,2,0,[]
항암제,2,0,[]
부산기장군,2,0,[]
납골당,2,0,[]
영상편지,2,0,[]
부산영도구,2,0,[]
어머니,2,1,['시어머니의눈물']
진돗개,2,0,[]
유치원생,2,0,[]
사람무는개,2,0,[]
중추신경,2,0,[]
수면양말,2,0,[]
돌발통증,2,0,[]
근육이완제,2,0,[]
통증조절능력,2,0,[]
자살시도,2,0,[]
진통제,2,1,['마약성진통제']
통증신호,2,0,[]
수면제,2,0,[]
첫눈,2,0,[]
복합부위통증증후군,2,0,[]
엄지척,2,0,[]
경기도수원시,2,0,[]
강아지성격,2,0,[]
표현력,2,0,[]
최시원,2,0,[]
개통령,2,0,[]
코골이,2,0,[]
프렌치불독,2,0,[]
전남여수,2,0,[]
위우회술,2,0,[]
고막손상,2,0,[]
콩국수,2,0,[]
뇌자극,2,0,[]
음주운전,2,0,[]
눈치,2,0,[]
교회예배,2,0,[]
화해의여행,2,0,[]
지방간,2,0,[]
개물림,2,0,[]
강아지꼬리,2,0,[]
갈비탕,2,0,[]
대형견,2,0,[]
개혐오,2,0,[]
친정가족,2,0,[]
유급가출프로젝트,2,0,[]
돌산갓김치,2,0,[]
재래시장,2,0,[]
미끄러짐,2,0,[]
아들,2,0,[]
술,2,7,"['봉합수술', '수술실', '절제수술', '위우회술', '대수술', '인공와우수술', '신경절단수술']"
