Music_tags,number,overlap_num,overlap_word
teaser,129,16,"['트와이스teaser', 'twiceteaser', 'mvteaser', 'fakeloveteaser2', 'yubinteaser', 'whatisloveteaser', 'heartshakerteaser', '하트셰이커teaser', 'officialteaser', 'btsteaser2', '정세운teaser', 'audioteaser', 'fakeloveteaser1', 'btsfakeloveteaser', 'vteaser', 'naishaddateaser']"
bangtan,121,5,"['bangtantv', 'bangtanboys', 'bangtansonyeondan', 'bangtangboys', 'twicebangtanbrandon']"
jungkook,106,21,"['jeonjungkook', 'btsjungkook', 'jungkookiu', 'jungkookfanboymelonmusicawards', 'jiminjungkook', 'jungkookcute', 'sleepyjungkook', 'jungkookfunnyandcute', 'jungkookcutemoments', 'jungkookfunny', 'jungkookcute2017', 'jungkooksleepy', 'jungkookcutebts', 'btsjungkook2017', 'jungkookcutemomentsengsub', 'jungkookmaknae', 'btsjungkookwassoshywheniubowedtohim@melonmusicawards2017', 'btsjungkookiu', 'jungkookiuff', 'jungkookfanboy', 'jungkookiufanboy']"
jimin,102,9,"['parkjimin', 'btsjimin', 'jiminv', 'kaitaeminjimin', 'jiminkai', 'kaijimin', 'jiminjungkook', 'jiminlie', 'jiminsolo']"
뮤직비디오,101,12,"['트와이스뮤직비디오', 'twice뮤직비디오', 'heartshaker뮤직비디오', '하트셰이커뮤직비디오', '도티뮤직비디오', '우리이야기뮤직비디오', '숙녀뮤직비디오', '유빈뮤직비디오', 'k-culturekoreanmusicmvmusicvideok-popkpop뮤비뮤직비디오', 'whatislove뮤직비디오', '메리앤해피뮤직비디오', 'merry&happy뮤직비디오']"
티져,100,0,[]
idol,99,4,"['americanidol', 'idolbest', 'idollive', 'idolproducer']"
신곡,97,21,"['최신곡모음', '최신곡듣기', '최신곡', '최신곡노래모음', '멜론차트최신곡', '2018년5월2주차광고없는신곡모음연속듣기', '현아신곡', '방탄소년단신곡', '신곡모음', '4월4주차신곡', '빅스신곡', '마마무신곡', '2018년5월3주차광고없는신곡모음연속듣기', '2018년5월1주차광고없는신곡모음연속듣기', '2018년신곡최신가요연속듣기', '2018년최신곡', '2018년신곡', '최신곡연속듣기2018', '최신곡연속듣기2017', '딘신곡', '코트신곡']"
jin,97,12,"['jinyoung', 'kimseokjin', 'parkwoojin', 'baejinyoung', 'jinu', 'seokjin', 'hongjinyoung', 'woojin', 'parkhyunjin', 'jinsol', 'got7jinyoung', 'jinho']"
suga,94,2,"['rmsugaj-hopeddaenglyrics', 'rmsugaj-hopeddaeng']"
한류,93,0,[]
new,92,81,"['onew', 'btsnews', 'newhindisongs', '#breakingnews', '#latestnews', '#topnews', 'newsong', 'newsongs', 'newpunjabisongs2017', 'newrelease', 'hyunanewrelease', 'honeysinghnewsong', 'duanewvideo', 'lsdnewsong', 'diplonewmusic', 'sianewmusic', 'brandnew', 'mbcnews', 'newpunjabisongs', 'yoyohoneysinghnewsongs2017', 'neweminem', 'neweminem2017', 'newchapter#1:thechanceoflove', 'brandnewboys', 'brandnewpunjabisongs', 'neweyes', 'newpunjabisadsong', 'newsongs2017aatish', 'newpunjabisongs2017jannat', 'aatishnewpunjabisong2017', 'mankirtnewsong', ""dickclark'snewyearsrockin'eve2017"", ""bts-micdropperformance(dickclark’snewyear'srockin'evewithryanseacrest2018)"", 'btsnewyearperformance', 'drakenewmusic', 'brandnewgirl', 'newrules', 'calvinharrisnewsong', 'music&new', 'newhindisong2017haareyameindilhaareya', 'haareyameindilhaareyanewhindisongs2017', 'haareyameindilhaareyanewhindisong2017', 'newalbum', 'newsongs2018deepsidhu', 'punjabisongsnew2018thisweek', 'newpunjabisong2018', 'newpunjabi', 'newpunjabisongs2018', 'newpunjabisongsdeepsidhu', 'deepsidhunewpunjabisongs2018', 'punjabisongs2018new', 'newsongs2018', 'punjabisongsnew2018', 'punjabisongsnew', 'newpunjabisongs2017amanmehra', 'newjatnisong', 'newalbums', 'sajnavenewsong', 'newmoviesongs', 'amanmehranewpunjabisongs2017', 'rotiyannewpunjabisongs2017', 'rotiyannewpunjabisong2017', 'newpunjabisongs2017rotiyan', 'newpunjabisong2017rotiyan', 'newromanticsongs', 'gippynewsong', 'monstaxnewsong', 'newsong2017', 'gururandhawanewsong', 'newsongaliali', 'mikasinghnewsong', 'newhindisong2017', 'newbollywoodsongs', 'newsongs2017', 'amaalmalliknewsongs', 'arijitsinghnewsongs', 'newyearwishes', 'happynewyear2018', ""bts(방탄소년단)-'micdrop'(liveatdickclark’snewyearsrockin’eve)"", 'dickclark’snewyearsrockin’eve', 'newyearmessages']"
アイドル,91,0,[]
hallyu,89,0,[]
음악,88,8,"['음악다큐', '최신음악', '#멜론#최신음악#최신가요#실시간#노래#연속듣기#가사', '까페음악', '음악듣기', '좋은음악', '인기음악', '최신음악2018']"
ミュ?ジック,87,1,['ミュ?ジックビデオ']
ミュ?ジックビデオ,87,0,[]
ロエン,87,0,[]
韓流,87,0,[]
music,87,67,"['musicvideo', 'koreanmusic', 'cjenmmusic', 'koreamusic', 'twicemusicvideo', 'musicdocumentary', 'musician', 'dingomusic', 'heartshakermusicvideo', '트와이스musicvideo', 'btsmusic', 'kmusic', 'topmusic', 'whatislovemusicvideo', 'melonmusic', 'geniemusic', '하트셰이커musicvideo', 'ktmusic', 'americanmusicawards', 'musical', 'stonemusicentertainment', 'k-culturekoreanmusicmvmusicvideok-popkpop뮤비뮤직비디오', 'indigomusic', 'musicbank', 'officialmusicvideo', 'justmusic', 'melonmusicawards2017', 'diplonewmusic', 'lsdmusicvideo', 'lsdmusic', 'sianewmusic', 'christmasmusic(musicalgenre)', 'christmasmusic', 'thebells(musicalgroup)', 'rsiammusic', 'antennamusic', 'antenamusic', 'bugsmusic', 'k-music', 'h1ghermusic', 'highermusic', 'musicvideobichphuong', 'punjabimusicvideosaatish', 'punjabimusic', 'punjabibhangramusic', 'melonmusicawards', 'buayeumusicvideo', 'lookmusicvideo', 'got7musicvideo', 'drakenewmusic', ""[제27회서울가요대상]bts(방탄소년단)-intro+'dna'+'micdrop'live(2018seoulmusicawards)"", '27thseoulmusicawards', 'merry&happymusicvideo', '2018seoulmusicawards', 'popmusic', 'friendsmusicvideo', 'music&new', 'zeemusichitsongs', 'zeemusiccompany', 'jungkookfanboymelonmusicawards', 'humblemusic', 'btsjungkookwassoshywheniubowedtohim@melonmusicawards2017', 'btsmelonmusicawards2017', 'iumelonmusicawards2017', 'btsmelonmusicaward', 'nahaeunmelonmusic', '2017melonmusicawards']"
지민,85,5,"['박지민', '방탄지민', '지민라이', '방탄소년단지민', '지민솔로']"
koreanmusic,84,1,['k-culturekoreanmusicmvmusicvideok-popkpop뮤비뮤직비디오']
韓?,84,2,"['韓?の歌', '韓?の歌?']"
방탄,84,30,"['방탄소년단', '방탄소년단리액션', '방탄뮤비해석', '방탄소년단빌보드1위곡', '방탄소년단빌보드', '방탄소년단티저', '방탄소년단티저해석', '방탄컴백', '방탄소년단fakelove', '방탄소년단신곡', '방탄피땀눈물', '방탄안무영상', '방탄빌보드', '방탄티저', ""bts(방탄소년단)-'thetruthuntold'(feat.steveaoki)reaction"", ""bts(방탄소년단)-'thetruthuntold'(feat.steveaoki)"", ""bts(방탄소년단)-134340(fromloveyourself轉'tear')"", ""bts(방탄소년단)loveyourself轉'tear'"", '방탄소년단loveyourself:tear', ""[fullalbum]bts(방탄소년단)?loveyourself轉'tear'"", '방탄싸이퍼', ""[제27회서울가요대상]bts(방탄소년단)-intro+'dna'+'micdrop'live(2018seoulmusicawards)"", '방탄싸이퍼4', '방탄소년단컴백쇼', '방탄레이니즘', '방탄정국', '방탄소년단정국', '방탄지민', '방탄소년단지민', ""bts(방탄소년단)-'micdrop'(liveatdickclark’snewyearsrockin’eve)""]"
정국,83,5,"['정국춤', '방탄정국', '정국레이니즘', '방탄소년단정국', '전정국']"
슈가,82,9,"['슈가맨이현도', '슈가맨최진영', '슈가맨김성재', '슈가맨', '슈가맨스카이', '슈가맨듀스', '최진영슈가맨', '슈가네버마인드', '슈가nevermind']"
loen,82,1,['loenentertainment']
로엔,81,0,[]
최신가요,80,10,"['#멜론#최신음악#최신가요#실시간#노래#연속듣기#가사', '#멜론#최신가요#최신노래', '#최신가요', '최신가요연속듣기', '최신가요연속듣기2018', '광고없는최신가요', '2018최신가요', '2018년신곡최신가요연속듣기', '??멜론2018년1월5주차최신가요멜론차트연속듣기lkpoptop20l가사모음??', '최신가요2018']"
제이홉,79,0,[]
1thek,79,0,[]
韓?の歌,78,1,['韓?の歌?']
원더케이,77,0,[]
ケ?ポップ,77,0,[]
rapmonster,77,0,[]
진,74,70,"['김석진', '배진영', '박우진', '홍진영', '윤진영', '김진우', '최진희', '흑백사진', '전하지못한진심', '최진영스카이', '최진실', '최진영그때까지만', '박진영', '최진희뒤늦은후회-현이와덕이원곡', '최진영노래', '김성재최진영', '슈가맨최진영', '최진영사랑을그대품안에', '최진영최진실', '최진영sky', '최진영24시간의신화', '최진영영원', '최진영영원랩', '소진영', '최진영', '최진영슈가맨', '차진혁', '고등래퍼차진혁', '차진혁고등래퍼', '고등래퍼2차진혁', '최진영반전', '박현진', '태진노래방', '진호', '효진', '갓세븐진영', 'got7진영', '진영', '영화일진', '고등학생일진', '우리나라일진들', '일진이랑싸우면', '일진삥뜯기', '일진키스', '일진놀이', '일진영화', '일진꼬봉', '실제일진들', '일진줄거리', '일진패싸움', '일진싸움', '고딩일진', '한국일진영화', '일진연애', '전학생과일진', '한국일진', '학교일진패싸움', '일진꼬붕', '우리나라일진영화', '일진연기', '일진', '곽진언-내마음에비친내모습', '진리', '윤진영(clloud)', '토스트매거진', '최유진', '이재진', '박서진.정기현토박이', '석진', '진성']"
hiphop,72,3,"['hiphoplive', 'k-hiphop', 'hiphopplaya']"
뷔,72,3,"['코트가수데뷔', '코트데뷔', '데뷔']"
jfla,69,0,[]
랩몬스터,69,0,[]
cjenm,68,1,['cjenmmusic']
