Music_tags,number,overlap_num,overlap_word
엄정화,13,0,[]
축제,13,2,"['작천정벚꽃축제', '가요대축제']"
방송,13,4,"['라이브방송', '생방송', '노래방송', '게임방송']"
락,13,1,['블락비']
배드보이,13,0,[]
원우,13,1,['조원우']
kpopstar,13,0,[]
정한,13,0,[]
白,13,1,['羅小白']
백,13,17,"['백호', '컴백', '백현', '방탄컴백', '흑백사진', '현아컴백', '우소컴백', '첸백시', '컴백쇼', '컴백쇼강다니엘', '라소백', '백지헌', '정세운컴백', '방탄소년단컴백쇼', '몬스타엑스컴백', '몬엑컴백', 'cosmicgirlscomeback우주소녀컴백']"
벅스,13,2,"['벅스뮤직', '벅스차트']"
엑소,13,4,"['엑소일본', '워너원엑소', '나하은엑소', '엑소베스트댄스']"
라이브실화냐,13,0,[]
스타라이브,13,0,[]
실화냐,13,1,['라이브실화냐']
nct,13,6,"['nctdream', 'nct2018', 'nct127', 'nct2018empathy', 'nctu', ""nctubabydon'tstopmv""]"
ksinger,13,0,[]
kmusic,13,1,['lookmusicvideo']
피땀눈물,13,2,"['방탄피땀눈물', '피땀눈물안무']"
vinxen,13,0,[]
키,13,17,"['키프클랜', 'twice리패키지', '트와이스리패키지', '딕키즈', '터키', '위키미키', '옥키남', '빅스티비쿠키', '키노', '키드밀리', '일렉트릭키스', '일진키스', '고딩키스', '키프', '젝키', '엘키', '젝스키스']"
onew,13,1,['diplonewmusic']
노래방라이브,13,0,[]
kpoper,13,0,[]
topmusic,13,0,[]
지니,12,2,"['지니뮤직', '지니차트']"
로꼬,12,1,['로꼬화사주지마']
winner,12,2,"['winnereveryday', 'nahaeunwinner']"
singularity,12,0,[]
stagemix,12,0,[]
loveyourself,12,12,"['loveyourselftear', 'btsloveyourselftear', 'btsloveyourself', 'loveyourself轉', 'btsloveyourselftearlyrics', ""loveyourself'tear'"", ""btsloveyourself轉'tear'"", ""bts(방탄소년단)-134340(fromloveyourself轉'tear')"", ""bts(방탄소년단)loveyourself轉'tear'"", '방탄소년단loveyourself:tear', ""[fullalbum]bts(방탄소년단)?loveyourself轉'tear'"", 'loveyourselfher']"
r&b,12,1,['brunomarsandcardibfinesser&b']
key,12,5,"['bananaallergymonkey', 'ievenlikeyourshadow', 'turkey', 'likey', '#소녀시대#snsd#shinee#jonghyun#key#exo#태연#kimtaeyeon#taeyeon#32ndgoldendiskaward#gda2018']"
딘,12,3,"['딘인스타그램', '딘instagram', '딘신곡']"
taemin,12,1,['kaitaeminjimin']
향,12,2,"['빅스향', '소향']"
가수,12,8,"['가수라이브', '나는가수', '남가수', '여가수', '코트가수데뷔', '나가수', '최고의가수', '국민가수']"
iu,12,16,"['xiumin', 'jungkookiu', 'geniusvideo', 'geniussia', 'lsd-genius(officialvideo)', 'i’magenius', 'genius', 'geniusdiplo', 'geniuslsd', 'doncornelius', 'btsjungkookwassoshywheniubowedtohim@melonmusicawards2017', 'btsjungkookiu', 'iufanboy', 'jungkookiuff', 'iumelonmusicawards2017', 'jungkookiufanboy']"
도박,12,2,"['도박팀', '도박remix']"
교차편집,12,0,[]
수호,12,1,['수호랑']
別時,12,0,[]
우디고차일드,12,0,[]
full,12,20,"['fullalbum', 'fullperformance', 'asphyxiafull', 'asphyxiafullcover', 'lemonfull', 'faceyourselffull', 'btsfullalbum', ""[fullalbum]bts(방탄소년단)?loveyourself轉'tear'"", 'btsfaceyourselffull', 'fullalbumjonghyunpoet|artist', ""[fullalbum]jonghyun(종현)-'poet|artist'(posthumousalbum)"", 'fullalbumjonghyunpoet|artistposthumousalbum', 'fullh?p2penaltyhi?pph?', 'fullversion', 'letgofullversion', 'gururandhawalahorefullsong', 'maishaddafullsong', 'naishaddafullvideo', 'fullsongaliali', 'fullhdsongs']"
????????????,12,11,"['??????????????', '????????????????', '?????????????', '?????????????????', '????????????????????', '??????????????????', '?????????????????????????????', '?????????????????mv', '????????????????2', '???????????????', '???????????????????']"
jenga,12,1,['헤이즈jenga']
트와이스메리해피,12,0,[]
좋은노래,12,7,"['듣기좋은노래모음', '까페에서듣기좋은노래', '겨울에듣기좋은노래', '언제들어도좋은노래best40곡모음', '좋은노래best40곡', '좋은노래모음2018', '좋은노래모음']"
아는형님,12,0,[]
yangyoseop,12,0,[]
도전,12,0,[]
heartshakerm,12,5,"['heartshakermusicvideo', 'heartshakermv', 'reactiontoheartshakermv', 'twiceheartshakermvreaction', 'heartshakermvreaction']"
브라운아이즈,12,0,[]
정승환,12,0,[]
연예인,12,1,['연예인라이브']
온유,12,1,['아이즈온유']
각별,11,1,['칠각별']
twicewhat'slove,11,0,[]
트와이스티저,11,0,[]
미국,11,0,[]
왓츠러브,11,1,['트와이스왓츠러브']
what'slove,11,2,"[""twicewhat'slove"", ""트와이스what'slove""]"
twice왓이즈러브,11,0,[]
도도한친구들,11,3,"['도도한친구들우리이야기', '우리이야기도도한친구들', '도도한친구들mv']"
웟이즈러브,11,0,[]
트와이스teaser,11,0,[]
minho,11,0,[]
먹방,11,1,['술먹방']
트와이스왓이즈러브,11,0,[]
별이빛나는밤,11,1,['마마무별이빛나는밤']
댄스,11,22,"['댄스신동', '커버댄스', '하트셰이커댄스비디오', '트와이스댄스비디오', '다니엘댄스', '강다니엘댄스', '콜라텍사교댄스', '사교댄스', '피카부댄스커버', '피카부댄스', '세로댄스', '워너원커버댄스', '최신댄스곡모음2018', '안무커버댄스', '나하은세븐틴박수댄스커버', '세븐틴박수댄스커버', '나하은댄스커버', '댄스커버', '트와이스물음표댄스', '엑소베스트댄스', '트와이스배스트댄스', '멜론뮤직어워드베스트댄스상']"
parkjihoon,11,0,[]
민호,11,1,['송민호']
유튜버,11,2,"['노래유튜버', '한국유튜버']"
도티,11,4,"['도티우리이야기', '우리이야기도티', '도티뮤직비디오', '도티mv']"
이홍빈,11,0,[]
차학연,11,0,[]
twice티저,11,0,[]
이재환,11,0,[]
sik-k,11,0,[]
하선호,11,0,[]
우주소녀,11,9,"['우주소녀꿈꾸는마음으로', '우주소녀dreamscometrue', '우주소녀뮤비', '우주소녀mv', '우주소녀마법학교', 'cosmicgirlscomeback우주소녀컴백', '우주소녀4번째미니앨범', '우주소녀마기코스', '우주소녀미니앨범']"
그림자까지좋아,11,0,[]
twicewhatislove?,11,0,[]
식케이,11,0,[]
hyuna,11,4,"['hyunaofficial', 'hyunacomeback', 'hyunamv', 'hyunanewrelease']"
현아,11,5,"['현아official', '현아신곡', '현아립앤힙', '현아뮤비', '현아컴백']"
붕붕,11,1,['붕붕가사']
트와이스왓츠러브,11,0,[]
officialvideo,11,2,"['lsd-genius(officialvideo)', 'lsd-audio(officialvideo)']"
딥플로우,11,0,[]
twiceteaser,11,0,[]
wjsn,11,2,"['wjsncomeback', 'wjsndreamscometrue']"
컴백,11,10,"['방탄컴백', '현아컴백', '우소컴백', '컴백쇼', '컴백쇼강다니엘', '정세운컴백', '방탄소년단컴백쇼', '몬스타엑스컴백', '몬엑컴백', 'cosmicgirlscomeback우주소녀컴백']"
허망로맨스,11,0,[]
찬열,11,0,[]
heartshaker뮤비,11,0,[]
한상혁,11,0,[]
wolves,11,1,['marshmellowolves']
김원식,11,0,[]
발라드모음,11,3,"['좋은발라드모음2018', '발라드모음2018', '2018년발라드모음']"
하트셰이커mv,11,0,[]
selenagomez,11,0,[]
쵸쵸우,11,0,[]
겨울노래,11,1,['신나는겨울노래']
불러보았다,11,0,[]
jisung,11,1,['yoonjisung']
가요,11,24,"['최신가요', '인기가요', '#멜론#최신음악#최신가요#실시간#노래#연속듣기#가사', '#멜론#최신가요#최신노래', '가요대제전', '가요순위', '섬으로가요', '가요대축제', '#최신가요', ""[제27회서울가요대상]bts(방탄소년단)-intro+'dna'+'micdrop'live(2018seoulmusicawards)"", '제27회서울가요대상', '최신가요연속듣기', '최신가요연속듣기2018', '광고없는최신가요', '2018최신가요', '가요모음2018', '가요모음', '2018년신곡최신가요연속듣기', '??멜론2018년1월5주차최신가요멜론차트연속듣기lkpoptop20l가사모음??', '최신가요2018', '2017sbs가요대전', '2017sbs가요대전아이유', 'sbs가요대전아이유내사랑내곁에', '가요대전아이유유희열']"
tvxq!,11,0,[]
max,11,1,['mcthemax']
잠뜰,11,0,[]
코아,11,0,[]
한국유튜버,11,0,[]
뮤비해석,11,1,['방탄뮤비해석']
순애몽,11,0,[]
빅스노래,11,0,[]
스코프,11,0,[]
선미,11,1,['선미주인공sunmiheroine셰릴콜cherylcolefightforthislove표절표절논란표절의혹']
첸,10,2,"['빈첸', '첸백시']"
아이콘티비,10,0,[]
ikontv,10,0,[]
baekhyun,10,0,[]
english,10,0,[]
peekaboo,10,5,"['peekaboodancecovernahaeun', 'nahaeunpeekaboo', 'peekaboodancecover', 'peekaboodance', 'redvelvetpeekaboo']"
스윙스,10,0,[]
밤,10,14,"['별이빛나는밤', '마마무별이빛나는밤', '밤노래', '널부르는밤', '여자친구밤', '밤이되니까', '오늘밤도', '밤편지', '내일의밤하늘초계반커버', '내일의밤하늘초계반', '라온내일의밤하늘초계반', '이라온내일의밤하늘초계반', '내일의밤하늘초계반cover', '낮과밤']"
민서,10,1,['민서(jongshinyoon']
고맙다,10,3,"['세븐틴고맙다', 'seventeen고맙다', '디렉터스컷고맙다']"
시우민,10,0,[]
scentist,10,1,['vixxscentist']
chen,10,2,"['chenle', 'chengxiao']"
마크,10,2,"['갓세븐마크', 'got7마크']"
xiumin,10,0,[]
final,10,0,[]
백현,10,0,[]
해석,10,3,"['뮤비해석', '방탄뮤비해석', '방탄소년단티저해석']"
최신,10,29,"['최신가요', '최신노래', '최신노래모음', '최신노래듣기', '최신곡모음', '최신곡듣기', '최신곡', '최신곡노래모음', '멜론차트최신곡', '최신음악', '#최신뉴스', '#멜론#최신음악#최신가요#실시간#노래#연속듣기#가사', '#멜론#최신가요#최신노래', '#최신가요', '최신가요연속듣기', '최신가요연속듣기2018', '광고없는최신가요', '2018최신가요', '최신발라드연속듣기2018', '최신노래모음2018', '최신발라드', '2018년신곡최신가요연속듣기', '2018년최신곡', '??멜론2018년1월5주차최신가요멜론차트연속듣기lkpoptop20l가사모음??', '최신댄스곡모음2018', '최신곡연속듣기2018', '최신곡연속듣기2017', '최신음악2018', '최신가요2018']"
약속해요,10,0,[]
좋아,10,3,"['그림자까지좋아', 'minseo)-좋아(yes)mv', '남자들이좋아하는노래']"
??????,10,20,"['???????', '???????????', '??????????????', '????????????', '?????????', '????????????????', '????????', '?????????????', '?????????????????', '????????????????????', '??????????????????', '??????????', '?????????????????????????????', '???????????2017', '?????????????????mv', '????????????????2', '#1???????', '???????????????', '#??????????', '???????????????????']"
jimmykimmellive,10,1,['btsjimmykimmellive']
hyukoh,10,0,[]
bj,10,3,"['jbj', 'bjbubbledia', 'bj버블디아']"
칵션,10,0,[]
유노윤호,10,0,[]
30,10,3,"['20180430', '월간멜론top30', '멜론실시간차트2018년5월1주차top30']"
넉살,10,1,['넉살디스곡']
동방신기,10,0,[]
50,10,6,"['50주년축하인터뷰', '50th', '조용필50주년', '50곡', '50주년', '50주년콘서트']"
100,10,5,"['top100', '멜론top100', '멜론100', '100세', '100초']"
?????????,10,16,"['???????????', '??????????????', '????????????', '????????????????', '?????????????', '?????????????????', '????????????????????', '??????????????????', '??????????', '?????????????????????????????', '???????????2017', '?????????????????mv', '????????????????2', '???????????????', '#??????????', '???????????????????']"
grammygold,10,0,[]
트와이스what'slove,10,0,[]
u-know,10,0,[]
주지마,10,2,"['로꼬화사주지마', '주지마듣기']"
gmmgrammyofficial,10,0,[]
최강창민,10,0,[]
????????????????,10,7,"['?????????????????', '????????????????????', '??????????????????', '?????????????????????????????', '?????????????????mv', '????????????????2', '???????????????????']"
thestoryoflight,10,0,[]
20176월멜론차트,10,0,[]
공연,10,7,"['힙합공연', '평양공연아름다운강산', '이선희아름다운강산평양공연', '이선희평양공연', 'twice공연', '트와이스공연', '공연.']"
sunmi,10,1,['선미주인공sunmiheroine셰릴콜cherylcolefightforthislove표절표절논란표절의혹']
여자친구,10,2,"['여자친구티저', '여자친구밤']"
위너,10,0,[]
이수,9,1,['이수근']
brunomarssongs,9,0,[]
charlieputhbestof,9,0,[]
안무영상,9,9,"['트와이스안무영상', 'twice안무영상', '하트셰이커안무영상', 'heartshaker안무영상', 'whatislove안무영상', '세븐틴안무영상', '왓이즈러브안무영상', '방탄안무영상', '거침없이안무영상']"
카이,9,4,"['최진영스카이', '스카이영원랩', '슈가맨스카이', '스카이영원']"
naul,9,0,[]
성장,9,1,['성장다큐']
빅스뮤비,9,0,[]
big,9,8,"['bighit', 'bigbang', 'bigbang꽃길', 'bigbangflowerroad', 'bigbang-꽃길(flowerroad)', 'agreatbigworld', 'bigwave', 'bighitentertainment']"
theperfectredvelvet,9,0,[]
가오리,9,0,[]
bestcharlieputh,9,0,[]
스트리밍,9,0,[]
columbia,9,0,[]
mvteaser,9,0,[]
performance,9,5,"['fullperformance', 'firstusperformance', ""bts-micdropperformance(dickclark’snewyear'srockin'evewithryanseacrest2018)"", 'btsnewyearperformance', 'btsperformance']"
hoshi,9,0,[]
woozi,9,0,[]
디렉터스컷,9,1,['디렉터스컷고맙다']
marshmello,9,6,"['marshmellospotlight', 'marshmelloalone', 'marshmellofriends', 'marshmellowolves', 'marshmellosilence', 'marshmelloannemarie']"
24시간,9,1,['최진영24시간의신화']
deepflow,9,0,[]
????????,9,17,"['???????????', '??????????????', '????????????', '?????????', '????????????????', '?????????????', '?????????????????', '????????????????????', '??????????????????', '??????????', '?????????????????????????????', '???????????2017', '?????????????????mv', '????????????????2', '???????????????', '#??????????', '???????????????????']"
remix,9,8,"['finesseremix', 'lifeisagambleremix', '도박remix', 'birthdayremix', 'btsmicdropremix', 'micdropremix', 'calvinharrisdualipaonekisszhuremix', 'calvinharrisonekisszhuremix']"
エクソ,9,0,[]
디오,9,19,"['뮤직비디오', '트와이스뮤직비디오', 'twice뮤직비디오', 'heartshaker뮤직비디오', '하트셰이커뮤직비디오', '비디오', '도티뮤직비디오', '우리이야기뮤직비디오', '숙녀뮤직비디오', '유빈뮤직비디오', '라디오', 'k-culturekoreanmusicmvmusicvideok-popkpop뮤비뮤직비디오', '하트셰이커댄스비디오', '트와이스댄스비디오', '힙플라디오', '오디오', 'whatislove뮤직비디오', '메리앤해피뮤직비디오', 'merry&happy뮤직비디오']"
jaypark,9,0,[]
gray,9,0,[]
machine,9,0,[]
kai,9,5,"['ucrxmrkai8lr405kj8p1x8dw', 'kaitaeminjimin', 'jiminkai', 'kaijimin', 'raonasunoyozorashoukaihan']"
운명,9,0,[]
smentertainment,9,0,[]
brunomarschristmassong,9,0,[]
여름,9,1,['여름노래']
director'scut,9,1,"[""director'scutthanks""]"
perfectvelvet,9,1,['[album]perfectvelvet-redvelvetthe2ndalbum']
vernon,9,0,[]
뿜뿜,9,1,['모모랜드뿜뿜']
grenade,9,0,[]
brunomarsgreatest,9,0,[]
jeonghan,9,0,[]
2017,9,83,"['20176월멜론차트', 'amas2017livestream', 'btsdnaamas2017', 'amas2017btslive', 'latestpunjabisongs2017', 'newpunjabisongs2017', 'melonmusicawards2017', '201712월멜론차트', '???????????2017', 'honeysinghsongs2017', 'btsmama2017', 'btsamas2017', 'bts2017', 'songs2017', 'btsrewind2017', 'yoyohoneysinghnewsongs2017', 'eminemsingle2017', 'neweminem2017', 'revival2017', 'eminem2017', 'newsongs2017aatish', 'lovesong2017', 'bestpunjabisongs2017', 'punjabisongs2017', 'punjabisongs2017aatish', 'jannatpunjabisong2017', 'newpunjabisongs2017jannat', 'latestpunjabisongs2017aatish', 'latestpunjabisong2017jannat', 'latestsong2017aatish', 'aatishnewpunjabisong2017', 'mma2017', '2017멜론뮤직어워드', ""dickclark'snewyearsrockin'eve2017"", 'mbcgayodaejeon2017', 'btsatmbcgayo2017', 'btssbsgayodaejun2017', 'btsmma2017', 'btsmbcgayodaejejeon2017', 'newhindisong2017haareyameindilhaareya', 'latesthindisong2017haareyameindilhaareya', 'haareyameindilhaareyalatesthindisongs2017', 'haareyameindilhaareyanewhindisongs2017', 'haareyameindilhaareyanewhindisong2017', 'rotiyanlatestpunjabisongs2017', '최신곡연속듣기2017', 'newpunjabisongs2017amanmehra', 'rotiyanlatestpunjabisong2017', 'upcomingmovies2017', 'amanmehranewpunjabisongs2017', 'latestpunjabisong2017rotiyan', 'rotiyannewpunjabisongs2017', 'rotiyannewpunjabisong2017', 'newpunjabisongs2017rotiyan', 'newpunjabisong2017rotiyan', 'latestpunjabisongs2017rotiyan', 'rotiyanhitpunjabisongs2017', 'jungkookcute2017', 'btsjungkook2017', 'latestpunjabisong2017', 'newsong2017', 'christmas2017', 'lahoresongguru2017', 'newhindisong2017', 'latesthindisong2017', 'latestsongs2017', 'latestpunjabimovie2017', 'newsongs2017', 'bollywoodsongs2017', 'hindisongs2017', 'btsjungkookwassoshywheniubowedtohim@melonmusicawards2017', 'amas2017', 'mama2017', 'btsmelonmusicawards2017', 'iumelonmusicawards2017', '멜론뮤직어워드2017', '스타쉽플래닛2017', 'starshipplanet2017', '2017sbs가요대전', '2017melon', '2017sbs가요대전아이유', '2017멜뮤', '2017melonmusicawards']"
wonwoo,9,0,[]
scoups,9,0,[]
comeback,9,11,"['comebackstage', 'hyunacomeback', 'wjsncomeback', 'btscomeback', 'cosmicgirlscomeback', 'comebacktrailer', 'fakelovecomeback', 'fakelovecomebackstage', 'btscomebackstage', 'btscomebackshow', 'cosmicgirlscomeback우주소녀컴백']"
전혀,9,0,[]
이효리,9,0,[]
charlieputhch,9,1,['charlieputhchristmasalbum']
빅스정규,9,2,"['빅스정규3집', '빅스정규앨범']"
혁오,9,0,[]
brunomarstopsongs,9,0,[]
빅스센티스트,9,0,[]
mark,9,3,"['markers', 'got7mark', 'hwagemarket']"
superjunior,9,0,[]
merry&happy,9,7,"['트와이스merry&happy', 'twicemerry&happy', 'merry&happy뮤비', 'merry&happy뮤직비디오', 'merry&happym', 'merry&happymv', 'merry&happymusicvideo']"
걸그룹,9,0,[]
demilovato,9,0,[]
빅스3집,9,0,[]
wedon'ttalkanymore,9,0,[]
?????????????,9,10,"['??????????????', '????????????????', '?????????????????', '????????????????????', '??????????????????', '?????????????????????????????', '?????????????????mv', '????????????????2', '???????????????', '???????????????????']"
메리해피,9,1,['트와이스메리해피']
고음,9,2,"['초고음', '미친고음']"
vixxscentist,9,0,[]
임창정,9,0,[]
mingyu,9,0,[]
세븐틴고맙다,9,0,[]
빅스향,9,0,[]
빅스정규3집,9,0,[]
정세운,9,12,"['정세운애프터', '정세운after', '정세운컴백', '정세운teaser', ""정세운babyit'syou"", '정세운베이비잇츠유', '정세운베이비잇츄', ""정세운babyit'su"", '정세운justu', '정세운티저', '정세운뮤비', '정세운베비츄']"
dino,9,0,[]
charlieputhgreatest,9,0,[]
joshua,9,0,[]
빅스음원,9,0,[]
젤리피쉬,9,0,[]
jun,9,42,"['jungkook', 'june', 'superjunior', 'renjun', 'yongjunhyung', 'yeonjung', 'jungseunghwan', 'jungilhoon', 'jungseung-hwan', 'jeonjungkook', 'junghoseok', 'jungwoo', 'jungsewoon', 'hyungdon&daejune', 'daejune', 'btsjungkook', '#kimjunsu', 'limchangjung', 'sewoonjung', 'jungkookiu', 'junggigo', 'btssbsgayodaejun2017', 'sunwoojunga', 'diljungleesongs', 'jungkookfanboymelonmusicawards', 'jiminjungkook', 'jungkookcute', 'sleepyjungkook', 'jungkookfunnyandcute', 'jungkookcutemoments', 'jungkookfunny', 'jungkookcute2017', 'jungkooksleepy', 'jungkookcutebts', 'btsjungkook2017', 'jungkookcutemomentsengsub', 'jungkookmaknae', 'btsjungkookwassoshywheniubowedtohim@melonmusicawards2017', 'btsjungkookiu', 'jungkookiuff', 'jungkookfanboy', 'jungkookiufanboy']"
charlieputhchristmasalbum,9,0,[]
꿈,9,7,"['꿈꾸는마음으로', '우주소녀꿈꾸는마음으로', '두번째꿈', '빅스레오꿈', '정택운꿈', '레오꿈', '꿈레오']"
smtown,9,0,[]
edsheeranlive,9,0,[]
shapeofyou,9,0,[]
brunomarsplaylist,9,0,[]
charlieputhsongs,9,0,[]
brunomarsbestof,9,0,[]
빅스정규앨범,9,0,[]
아이유,9,6,"['아이유유희열내사랑내곁에', '아이유유희열', '2017sbs가요대전아이유', 'sbs가요대전아이유내사랑내곁에', '가요대전아이유유희열', '아이유내사랑내곁에']"
센티스트,9,1,['빅스센티스트']
한국힙합,9,0,[]
marvingaye,9,0,[]
timeforthemoonnight,9,0,[]
fake_love,9,0,[]
the8,9,0,[]
charlieputhalbum,9,0,[]
gfriend,9,1,['gfriendmashup']
jellyfish,9,0,[]
brunomarschristmasalbum,9,0,[]
하나나,8,0,[]
지라라,8,0,[]
바코드,8,2,"['바코드가사', '김하온바코드']"
크리스마스캐롤,8,0,[]
nctdream,8,0,[]
제노,8,0,[]
강지,8,0,[]
감성적인노래,8,0,[]
#오마이걸,8,0,[]
엔시티,8,3,"['엔시티드림', '엔시티유', '엔시티일이칠']"
renjun,8,0,[]
hello,8,7,"['hello(feat.ph-1)', 'raonhello', 'hellohowareyou', '라온hellohowareyou', 'raonleehellohowareyou', 'raonhellohowareyou', '라온hello']"
겨울소리,8,0,[]
씨스타,8,0,[]
윤하,8,0,[]
재민,8,2,"['방재민', '방재민(a.mond)']"
홍진영,8,0,[]
omg,8,1,['aomg']
설레임,8,6,"['설레임에디션', '설레임웹툰', '설레임벚꽃의비', '설레임툰', '벚꽃빛설레임', '벚꽃색설레임']"
바람기억,8,0,[]
엔단,8,0,[]
설레임에디션,8,0,[]
ohmygirl,8,1,['ohmygirlbanhana']
천러,8,0,[]
dok2,8,0,[]
nct2018,8,1,['nct2018empathy']
sexy,8,0,[]
whatislovemusicvideo,8,0,[]
whatislovemv,8,0,[]
8thalbum,8,0,[]
gloveent,8,1,['gloveentertainment']
8집,8,0,[]
글러브엔터테인먼트,8,0,[]
gloveentertainment,8,0,[]
멜론차트최신곡,8,0,[]
자이언티,8,6,"['자이언티눈', '자이언티눈반복', '자이언티반복', '자이언티이문세눈', '자이언티눈1시간', '자이언티이문세눈반복']"
윤진영,8,1,['윤진영(clloud)']
jeongsewoon,8,2,"['jeongsewoonjustu', 'jeongsewoonmiracle']"
aomg,8,0,[]
mma,8,6,"['mma2017', 'btsmma2017', 'pamma', 'pammadumewal', 'nahaeunmma', '171202mma']"
레전드,8,2,"['김하온레전드', '일반인이부른노래레전드']"
멜론실시간,8,3,"['멜론실시간차트2018년', '멜론실시간차트', '멜론실시간차트2018년5월1주차top30']"
최신음악,8,2,"['#멜론#최신음악#최신가요#실시간#노래#연속듣기#가사', '최신음악2018']"
bigbang꽃길,8,0,[]
jeno,8,0,[]
지성,8,1,['윤지성']
chenle,8,0,[]
비디오,8,15,"['뮤직비디오', '트와이스뮤직비디오', 'twice뮤직비디오', 'heartshaker뮤직비디오', '하트셰이커뮤직비디오', '도티뮤직비디오', '우리이야기뮤직비디오', '숙녀뮤직비디오', '유빈뮤직비디오', 'k-culturekoreanmusicmvmusicvideok-popkpop뮤비뮤직비디오', '하트셰이커댄스비디오', '트와이스댄스비디오', 'whatislove뮤직비디오', '메리앤해피뮤직비디오', 'merry&happy뮤직비디오']"
엠넷,8,0,[]
merryhappy,8,2,"['twicemerryhappy', '트와이스merryhappy']"
현빈,8,2,"['권현빈', '종현빈소']"
런쥔,8,0,[]
kcm,8,0,[]
jaemin,8,0,[]
yongjunhyung,8,0,[]
용준형,8,1,['용준형소나기']
보라,8,0,[]
serolive,8,0,[]
verticallive,8,0,[]
신나는노래,8,1,['신나는노래모음2018']
이로한,8,3,"['고등래퍼2이로한북', '고등래퍼2이로한', '이로한가사']"
한국,8,9,"['한국유튜버', '한국힙합', '한국일보1.368.919', '한국래퍼', '한국랩퍼', '한국어', '한국일진영화', '한국일진', '한국어자막']"
노래방,8,4,"['노래방라이브', '노래방송', 'tj노래방', '태진노래방']"
해쉬스완,8,0,[]
빌스택스,8,0,[]
everyday,8,3,"['winnereveryday', '모든순간(everyday', 'everyday듣기']"
빈지노,8,0,[]
btsdna,8,3,"['btsdnaamas2017', 'btsdnaamas', 'btsdnalive']"
우리이야기mv,8,0,[]
엔트레인보이,8,0,[]
arohamelon,8,0,[]
멜론실시간차트2018년,8,1,['멜론실시간차트2018년5월1주차top30']
인기동요베스트,8,0,[]
5월,8,11,"['2018년5월2주차광고없는신곡모음연속듣기', '2018년5월3주차광고없는신곡모음연속듣기', '2018년5월1주차광고없는신곡모음연속듣기', '멜론실시간차트2018년5월1주차top30', '5월멜론차트', '2018년5월멜론차트', '5월멜론차트듣기', '5월2주차멜론', '5월2주차멜론차트', '5월멜론', '5월1주차멜론차트']"
도도한친구들우리이야기,8,0,[]
사랑을했다,8,1,['ikon사랑을했다lovescenario']
꽃길,8,3,"['bigbang꽃길', '빅뱅꽃길', 'bigbang-꽃길(flowerroad)']"
월간멜론,8,4,"['월간멜론top30', '월간멜론top15', '월간멜론top20', '월간멜론차트']"
melonmusic,8,9,"['melonmusicawards2017', 'melonmusicawards', 'jungkookfanboymelonmusicawards', 'btsjungkookwassoshywheniubowedtohim@melonmusicawards2017', 'btsmelonmusicawards2017', 'iumelonmusicawards2017', 'btsmelonmusicaward', 'nahaeunmelonmusic', '2017melonmusicawards']"
도티우리이야기,8,0,[]
우리이야기도티,8,0,[]
우리이야기도도한친구들,8,0,[]
도티뮤직비디오,8,0,[]
도도한친구들mv,8,0,[]
도티mv,8,0,[]
the,8,83,"['1thek', 'thestoryoflight', 'theperfectredvelvet', 'timeforthemoonnight', 'the8', 'mcthemax', 'beyondthescene', 'themiddle', 'thechanceoflove', 'onlythen', 'mvtheory', 'thechainsmokers', 'theunit', 'thesing-off', 'thevoice', 'theotherday', 'thesnowman', 'neverbethesame', 'theclouddreamofthenine', 'lethergo', 'thetruthuntold', 'beyondthescenes', 'thegsd', 'healtheworld', 'thebells(musicalgroup)', 'themiddlelyrics', 'themiddlezeddmarenmorrisgrey', 'themiddlezedd', 'whydon’tyoumeetmeinthemiddle', 'zeddthemiddlelyrics', 'marenmorriszeddgreythemiddle', 'marenmorriszeddthemiddle', 'thekingofsingerwithamask', 'thekingofmath', 'thechainsmokers&drewlove', 'zeddthemiddle', 'greythemiddle', 'themiddlegrey', 'themiddlemarenmorriszedd', 'burnthestageep5', 'burnthestage5', 'btsburnthestage', 'burnthestage', 'burnthestageep4', 'burnthestageepisode', 'newchapter#1:thechanceoflove', 'ratherbe', ""bts(방탄소년단)-'thetruthuntold'(feat.steveaoki)reaction"", ""bts(방탄소년단)-'thetruthuntold'(feat.steveaoki)"", 'bestsongoftheweek', 'brothersu', 'thegoodside', 'withouttherhythm', ""wecan'tliveonwithouttherhythm"", 'thegreatestshowman', 'thecut', 'showmethemoney', 'gisthemagicnumber', 'thenownow', 'gorillazthenownow', 'thefeeling', 'thetodayshow', '[album]perfectvelvet-redvelvetthe2ndalbum', 'stoletheshow', 'artistoftheyear', 'theshow', 'theeve', 'btsontheellenshow', 'theellenshow', 'charlieputh-thewayiamlyricvideo', 'thewayiamofficiallyricvideo', 'charlie-thewayiam', 'thewayiamlyrics', 'charliethewayiamlyricvideo', 'charliethewayiam', 'charliepuththewayiam', 'charlieputh-thewayiam', 'charlieputh-thewayiam[officiallyricvideo]', 'thewayiamputh', 'charlie-thewayiamlyricvideo', 'thewayiam', 'thewayiamlyricvideo', 'friendzoneanthem']"
우리이야기뮤직비디오,8,0,[]
steveaoki,8,3,"[""bts(방탄소년단)-'thetruthuntold'(feat.steveaoki)reaction"", ""bts(방탄소년단)-'thetruthuntold'(feat.steveaoki)"", 'btssteveaoki']"
disruptorrecords,8,0,[]
bestkoreasongsplaylist2018,8,0,[]
고화질,8,0,[]
nickiminaj,8,0,[]
음색,8,0,[]
가창력,8,0,[]
