Comedy_tags,number,overlap_num,overlap_word
메이크업,131,115,"['한국메이크업', '메이크업튜토리얼', '이사배메이크업', '메이크업아티스트', '포니메이크업', '데일리메이크업', '로드샵메이크업', '메이크업강좌', '베이스메이크업', '겨울메이크업', '데이트메이크업', '청순메이크업', '코랄메이크업', '봄메이크업', '메이크업팁', '메이크업포에버', '아이유메이크업', '피부메이크업', '메이크업브러쉬', '브릭메이크업', '연말메이크업', '퓨어메이크업', '깨끗한메이크업', '아이돌메이크업', '입술성형메이크업', '왕초보메이크업', '성형메이크업', '초보메이크업', '퍼플메이크업', '간단메이크업', '핑크메이크업', '하트메이크업', '학생메이크업', '일본메이크업', '이가리메이크업', '촉촉한베이스메이크업', '키라키라메이크업', '겨울베이스메이크업', '써니메이크업', '윤곽성형메이크업', '안경메이크업', '눈이커보이는메이크업', '아련한분위기메이크업', '눈이길어보이는메이크업', '윤곽메이크업', '눈성형메이크업', '브라운메이크업', '글리터메이크업', '크리스마스메이크업', '메이크업도구', '메이크업브러쉬세척', '누드메이크업', '속촉촉겉보송메이크업', '보송메이크업', '촉촉메이크업', '매트메이크업', '헤이즐메이크업', '고양이메이크업', '국적변경메이크업', '벚꽃메이크업', '인형메이크업', '청순보스메이크업', '연한메이크업', '내추럴메이크업', '예쁜메이크업', '세련된메이크업', '콜라보메이크업', '일본스타일메이크업', '일본유행메이크업', '레드립메이크업', '스모키메이크업', '뮤비메이크업', '오렌지메이크업', '메이크업아티스트브러쉬', '간절기메이크업', '선배메이크업', '스트릿메이크업', '지속력메이크업', '펄메이크업', '술자리메이크업', '반짝이메이크업', '블링블링메이크업', '술메이크업', 'mlbb메이크업', '홀리데이메이크업', '개강메이크업', '여름메이크업', '새해메이크업', '파티메이크업', '골드메이크업', '가시나메이크업', '커버메이크업', '연예인메이크업', '이사배커버메이크업', '선미메이크업', '수지메이크업', '현아메이크업', '씨엘메이크업아티스트', '새내기메이크업', '셀피메이크업', '무쌍메이크업', '간단한메이크업', '새내기무쌍메이크업', '홑꺼풀메이크업', '로드샵셀카메이크업', '남친더빙메이크업', '더빙메이크업', '남자친구더빙메이크업', '립메이크업', '무화과메이크업', '스페인어메이크업', '과즙상메이크업', '가을메이크업', '과일메이크업', '인스타그램메이크업']"
tutorial,96,3,"['makeuptutorial', 'koreamakeuptutorial', 'makeuptutorialasian']"
화장,93,39,"['화장법', '라뮤끄화장', '화장품', '화장품리뷰', '포니화장법', '화장하는법', '화장품추천', '화장기술', '같이화장해요', '화장팁', '화장잘하는법', '화장덕후', '여자의화장에는이유가있다', '집팔아화장품', '트러블피부화장', '화장튜토리얼', '화장품하울', '집팔아화장품사는깡나', '화장품후기', '기초화장', '10대화장', '학생화장', '로드샵화장품', '화장빨', '코랄화장법', '성형화장', '추천화장품', '곽윤기화장품', '남자화장품', '커버화장', '선미화장', '아이유화장', '현아화장', '연예인화장', '이사배화장', '수지화장', '화장배우기', '무쌍눈화장', '스페인어화장']"
makeuptutorial,86,2,"['koreamakeuptutorial', 'makeuptutorialasian']"
beauty,85,14,"['kbeauty', 'k-beauty', 'beautydrawing', 'beautyyoutuber', 'dingobeauty', 'beautycloud', 'beautycreator', 'kbeautymakeup', 'innerbeauty', 'koreanbeauty', 'koreabeauty', 'beautytip', 'beautyguru', ""yoo'sbeauty""]"
화장법,75,2,"['포니화장법', '코랄화장법']"
라뮤끄,68,5,"['라뮤끄의매직업', '라뮤끄화장', '라뮤끄성형외과', '라뮤끄추천', '라뮤끄템']"
koreanmakeup,65,0,[]
[none],65,0,[]
한국메이크업,64,0,[]
