People_tags,number,overlap_num,overlap_word
벤쯔,167,0,[]
방탄소년단,166,60,"['#방탄소년단', '방탄소년단해외반응', '방탄소년단팬싸인회', '방탄소년단팬사인회', '방탄소년단micdrop', '#bts#방탄소년단#박지민#김남준#정호석#김태형#전정국#김석진#민윤기#아메리칸뮤직어워드#뷔#슈가#rm', '#방탄소년단#bts#amas#방탄미국#jimin', '방탄소년단reaction', '방탄소년단꿀밤', '방탄소년단씨받이', '방탄소년단아미', '방탄소년단소속사', '방탄소년단싸이퍼', '방탄소년단미국tv', '방탄소년단일본반응', '방탄소년단예능', '방탄소년단dna일본', '방탄소년단깔창', '방탄소년단no', '방탄소년단꼬툭튀', '방탄소년단다큐', '방탄소년단뜬이유', ""bts(방탄소년단)'fakelove'officialmv"", '방탄소년단리액션자막', '방탄소년단쩔어', '방탄소년단쩔어리액션자막', '방탄소년단리액션', '방탄소년단해외반응자막', '방탄소년단자막', '방탄소년단애완동물', '방탄소년단영국', '방탄소년단뜻', '방탄소년단미국인기', '방탄소년단슈가', '방탄소년단엘렌쇼', '방탄소년단bbc', '방탄소년단철벽', '방탄소년단미국토크쇼', '방탄소년단일본인기', '비스트_방탄소년단', '하이라이트_방탄소년단', '방탄소년단뷔', ""bts(방탄소년단)loveyourself轉tear'singularity'comebacktrailer"", 'bts(방탄소년단)', '방탄소년단dna', '방탄소년단상암팬사인회', '방탄소년단상암팬싸인회', '방탄소년단airplanepart.2', '비프리방탄소년단디스', '방탄소년단비프리디스', '비프리방탄소년단', '방탄소년단봄날', '방탄소년단본보야지', '171126방탄소년단', '섹션방탄소년단', 'cnco방탄소년단', '외국인방탄소년단', '외국여자방탄소년단', '방탄소년단개막식dna', '#방탄소년단#bts#방탄미국#e뉴스#jimin']"
kpop,162,23,"['kpopnews', 'kpopreaction', 'kpopsongs', 'kpoplyrics', 'rttvreactionskpop', 'vixxnkpop', 'rttvkpopreaction', 'kpopreaction한글자막', '대만kpop', 'kpopviralz', 'kpopdance', 'reacttokpop', 'kpop2017', 'kpopreact', 'kpopplaylist', 'kpopp', 'kpopplaylist2016', 'dr.kpop', 'kpopup', 'kpopidol', 'kpopfancam', 'kpopstage', 'btsamasjinjiminvtaeyangkpopkoreajungkooksugarapmonsterrm']"
카톡,155,11,"['카톡대화', '카톡으로말해요', '양예원스튜드오카톡대화', '양예원스튜드오카톡', '스튜드오카톡대화', '카톡레전드', '빡침카톡', '레전드카톡', '카카톡버드리', '조재현카톡', '조재현카톡내용']"
창현,154,1,['bj창현']
eatingshow,154,1,['#eatingshow']
korean,150,28,"['koreanews', 'koreangirl', 'koreanasmr', 'koreanmukbang', 'koreantravel', 'koreanpop', '#koreanewsdaily', 'koreanbroadcasting', 'modeltryingkoreanconveniencestoregoodies!', 'gossipkorean', 'koreanarmy24h', '24hkoreanarmy', 'koreanarmy', 'koreanyoutuber', 'koreanmakeup', 'koreantutorials', 'koreandrama', 'koreanfood', 'koreanbeauty', 'koreansubtitles', '#koreanews', 'koreanchristmas', 'koreanmusic', '#koreanew247', '#koreanews247', 'americantrieskoreandunkindonuts!!!', 'koreanconveniencestore', 'danishmanmeetskoreanspicyribs!']"
benzz,149,2,"['benzzengsub', 'benzzmukbang']"
banzz,147,4,"['banzzengsub', 'banzzenglishsub', 'banzzasmr', 'banzzcake']"
철구,145,1,['bj철구']
