People_tags,number,overlap_num,overlap_word
(337,6,0,[]
즙벤져스,6,0,[]
인간,6,7,"['인간극장', '인간극장중2농부', '인간극장태웅이', '#한태웅#태웅이네#소#농부#농촌#인간극장', '인간극장레전드', '인간극장브금', '인간극장농부']"
잠자기,6,0,[]
나무모기,6,0,[]
기부,6,3,"['태극기부대', '추위참기부심', '동기부여']"
k3,6,0,[]
mbro,6,0,[]
야인시대,6,0,[]
용천당,6,1,['점집용천당']
지드래곤,6,6,"['지드래곤무한도전', '지드래곤남팬', '지드래곤정형돈', '지드래곤무도', '지드래곤영어', '지드래곤외국어']"
미녀세끼,6,0,[]
서울용한점집,6,0,[]
야킹,6,0,[]
개밥끼,6,0,[]
김기훈,6,2,"['아프리카김기훈', '사나이김기훈']"
koreantravel,6,0,[]
점집썰,6,0,[]
모기,6,1,['나무모기']
(336,6,0,[]
마호요메,6,0,[]
휴대폰,6,0,[]
점집테스트,6,0,[]
영국요리사의한국음식투어,6,0,[]
주먹,6,3,"['주먹밥', '주먹밥먹방', '명란마요주먹밥']"
점집추천,6,1,['유명한점집추천']
베베,6,1,['핀덴스베베선스틱']
s라인,6,0,[]
샌드백,6,0,[]
tjd인영화,6,0,[]
향이,6,0,[]
리니지m,6,0,[]
폭력,6,2,"['성폭력', '학교폭력']"
monsta,6,3,"['monsta-x', 'monstax', 'btobmonstax']"
modeltriesmudfishsoup!!lol,6,0,[]
아프리카김기훈,6,0,[]
britishmum,6,0,[]
재미있는영상,6,0,[]
지디,6,9,"['지디남팬', '지디무한도전', '지디무도', '지디형돈', '지디노래', '지디일어', '지디영어', '지디외국어', '지디일본어']"
점집유인나,6,0,[]
100인의무당,6,1,['신이선택한100인의무당']
드슬,6,1,['정현그랜드슬램']
최세대,6,1,['최세대기훈']
점집용천당,6,0,[]
미인,6,0,[]
케도끼,6,0,[]
britishfamily,6,0,[]
성인영화,6,0,[]
사주팔자,6,0,[]
노출,6,0,[]
간컴퍼니,6,0,[]
mahoyome,6,0,[]
딸기모찌와짱뚱어탕을처음먹어본모델!!ㅋㅋㅋ,6,0,[]
조효진,6,1,['조효진파우치']
킹기훈,6,0,[]
멜론,6,13,"['멜론뮤직어워드', '#멜론차트', '#멜론라이브', '#멜론', '#멜론방송', '2017멜론뮤직어워드티저', '멜론뮤직어워드티저', '멜론시상식', '#멜론최신차트', '멜론뮤직', '멜론차트', '멜론차트연속듣기', '멜론차트노래모음']"
강남점집,6,0,[]
모공피부커버,6,0,[]
피부좋아지는,6,1,['피부좋아지는법']
배민찬,6,0,[]
옷,6,19,"['김정숙옷값', '옷값', '래퍼옷', '남자옷', '옷잘입는방법', '보이비옷', '빈첸옷', '치타옷', '여자옷잘입는법', '옷코디', '여자이쁜옷', '옷추천', '윤병호옷', '단체옷', '핫도그잠옷', '고두림속옷가게', '고두림속옷', '짱구잠옷', '꿀벌옷']"
차돌된장찌개,6,0,[]
백반먹방,6,0,[]
떡갈비,6,1,['순천만국가정원!!+미국모델의떡갈비첫입!']
브랜드,6,11,"['스포츠브랜드', '백화점브랜드', '고수노브랜드', '이마트노브랜드', '노브랜드후기', '노브랜드파스타', '노브랜드냉동흰다리새우', '노브랜드추천', '노브랜드로제파스타소스', '이마트노브랜드냉동새우', '한국치킨브랜드']"
의류,6,1,['남자의류']
서울유명한점집,6,0,[]
이더리움,6,0,[]
촉촉,6,3,"['촉촉쿠션', '촉촉메이크업', '에뛰드하우스유브이더블컷촉촉톤업선플루이드']"
컨실러,6,1,['커버컨실러']
워너원광고,6,0,[]
간장새우,6,0,[]
브랜뉴뮤직,6,0,[]
임영민,6,0,[]
김동현,6,0,[]
bnmboys,6,0,[]
권지용,6,0,[]
엠엑스엠,6,0,[]
사나이,6,2,"['사나이김기훈', '팔각모사나이']"
인아짱,6,0,[]
점집후기,6,1,['용한점집후기']
영국가족,6,0,[]
최세대기훈,6,0,[]
대구,6,5,"['대구유명한점집', '대구용한점집', '대구니', '대구뽈찜', '대구찜']"
빗소리,6,0,[]
(338,6,0,[]
(334,6,0,[]
창원,6,0,[]
sexy,6,0,[]
점집닷컴,6,0,[]
사나이김기훈,6,0,[]
애니요약,6,0,[]
daytravellinginkorea!crabs&mud!,6,0,[]
인호,6,1,['고두림김인호']
복싱,6,0,[]
공부,6,8,"['#공부할때좋은노래', '공부asmr', '카페공부asmr', 'asmr공부', '공부롤플', '공부잘하는법', '공부집중음악', '공부하기싫을때']"
fakelovebtsreaction,6,1,['rttvfakelovebtsreaction']
드래곤슬레이어,6,0,[]
점집asmr,6,0,[]
서울점집,6,0,[]
최악의세대,6,0,[]
지속력,6,0,[]
추가을,6,0,[]
경상도,6,0,[]
정국도령,6,0,[]
커버력,6,2,"['커버력좋은쿠션', '파운데이션추천커버력']"
신점,6,0,[]
등에,6,1,"[""'대풍수'등에출연했다""]"
영화명장면,6,0,[]
싣니투유,6,0,[]
heavy.com,6,0,[]
heavy,6,1,['heavy.com']
#breaking,6,3,"['#breakingnews', '#breakingnews24h', '#breakingnews247']"
daum,6,0,[]
#korea,6,6,"['#koreanewsdaily', '#koreagrandma', '#koreanews', '#koreanew247', '#koreanews247', '#koreafood']"
#english,6,0,[]
개인방송,6,1,['인터넷개인방송']
슘짱,6,0,[]
화장품추천,6,0,[]
아줌마,6,2,"['시발아줌마', '대치동시발아줌마']"
패션피플,6,1,['패션피플되는법']
인터넷개인방송,6,0,[]
cf,6,7,"['musicfilm', '가나cf', '2017mbcmusicfestival', '[2017mbcmusicfestival]bts-gogo-고민보다go20171231', 'bts-gogo(mbcmusicfestival2017)reaction', 'mbcmusicfestival2017', ""xhkxhkpcf'""]"
uc9yjvbwxvvivzy2uf013b8a,6,0,[]
시드니투유,6,0,[]
유튜버시드니,6,0,[]
유투버시드니,6,0,[]
종현빈소,6,1,['종현빈소조문']
seonozzi,6,0,[]
여자,6,38,"['광저우사는여자', '여자친구', '여자계주', 'roleplayasmr마이크한국어asmr한국인asmrasmr여자', '여자컬링팀', '윤성빈여자친구', '여자bj', '주간아이돌여자친구', '여자먹방', '대만여자', '여자몰래', '여자패션', '여자옷잘입는법', '여자이쁜옷', '여자스트릿', '여자친구신비', '주간아이돌여자친구신비', '서양여자들', '여자하키', '여자대표팀', '컬링여자', '여자쇼트트랙', '선물여자키', '걸그룹여자친구', '여자친구밤mv', '여자친구뮤비', '여자친구밤뮤비', '여자친구은하', '여자머리', '여자긴머리', '서양여자들반응', 'bts서양여자들', '외국여자들반응', '외국여자들', '외국여자방탄소년단', '#여자먹방레전드', '#여자먹방', '여자컬링']"
궁합,6,1,['속궁합']
반칙,6,1,['캐나다반칙']
돈,6,36,"['정형돈', '돈까스', '돈가스', '용돈', '치즈돈까스', '주간아이돌정형돈', '주간아이돌정형돈레전드', '치즈돈가스', '형돈', '지드래곤정형돈', '지디형돈', '돈가스카레', '돈안값음', '강식당돈까스', '돈스테이크', '디진다돈까스', '에드머온정돈까스', '용돈카드', '돈아끼는꿀팁', '최승돈', '홍대대왕돈까스', '홍대대왕돈가스', '도전돈가스', '돈까스도전먹방', '홍대돈가스', '돈까스먹방', '대왕돈까스전', '대왕돈까스', '김경수갈상돈', '빌린돈', '돈몰카', '돈키호테하울', '돈키호테', '돈가스먹방', '강호돈까스', '돈복']"
남한,6,1,['남한정착']
점,6,104,"['점심', '편의점', '유명한점집', '용한점집', '소문난점집', '용한점집레전드', '용한점집후기', '수원용한점집', '용한점집찾기', '편의점먹방', '점집', '큰이점', '점집복채', '서울용한점집', '점집썰', '점집테스트', '점집추천', '점집유인나', '점집용천당', '강남점집', '서울유명한점집', '점집후기', '점집닷컴', '점집asmr', '서울점집', '신점', 'cu편의점', '김정민x김정민박사x자연사박물관x북미회담x판문점x마이바흐x김정은x마이니치x빌트x벤츠xs600xpullmanguardx풍계리x인공지진x남북통일', '박여사점', '용한점집월악산꽃도령', '용한점쟁이', '경기도점집', '점괘', '대구유명한점집', '연예인점집', '대구용한점집', '구미용한점집', '부산용한점집', '유명한점집동네', '대전용한점집', '인천점집', '유명한점집추천', '정치인점집', '인천용한점집', '용한점집강림도령', '백화점', '백화점브랜드', '음식점', '도티점프맵', '한국편의점의10가지음식을먹어본모델의반응!!', '백화점쿠션', '바가지평창음식점에외국인이항의하자식당주인이한말', '판문점', '백화점쿠션비교', '지점장', '전지적참견시점', '점팔이', '점칠이', '정점', '점팔이품바', '점칠이품바', '패션점검', '일본편의점', '밴쯔편의점먹방', '밴쯔편의점', '밴쯔cu편의점', '한국일본문화공통점', '한국일본식문화공통점', '한국일본공통점', '한국의좋은점', '편의점떡', '세븐일레븐편의점', '편의점신상리뷰', '편의점신메뉴리뷰', '편의점털기', '편의점음식', '편의점리뷰', '편의점떡먹방', 'gs편의점', '편의점간식', '비핵화vs.판문점선언', '편의점먹방밴쯔', 'cu편의점추천', '편의점털이', '씨유편의점', '우리정육점', '점프', '헤이세이점프', '치킨점유율', '치킨체인점순위', '중화반점도시락', '중화반점', '영점', '액점', '백화점쇼핑', '백화점vvip', '백화점하울', '백화점립스틱', '백화점슬라임', '백화점vip', '백화점화장품', '백화점립', '백화점판매원', '끓는점']"
삼재,6,3,"['삼재막는법', '삼재풀이', '삼재피하는법']"
만신,6,0,[]
세로그,6,0,[]
도티마인크래프트,6,0,[]
이성주,6,0,[]
부적,6,0,[]
임효준,6,0,[]
코미디,6,2,"['코미디빅리그', '러브코미디']"
아나운서,6,3,"['정현인터뷰아나운서', '박주영아나운서', '배현진아나운서']"
역관광,6,0,[]
누구,6,1,['오연준누구']
팔자,6,1,['사주팔자']
싣니,6,4,"['싣니투유', '유투버싣니', '프롬싣니', '유튜버싣니']"
프롬시드니,6,0,[]
운세,6,7,"['신년운세', '띠별운세', '2018년운세', '1월운세', '3월운세', '타로운세', '대박운세']"
유투버싣니,6,0,[]
사투리,6,0,[]
말투,6,3,"['배진영현실말투', '현실말투', '어르신말투']"
암호화폐,6,0,[]
농부,6,12,"['안녕하세요중2농부', '중2농부', '중2농부태웅이', '15살농부', '인간극장중2농부', '#한태웅#태웅이네#소#농부#농촌#인간극장', '소년농부', '15세중학생농부', '15세농부', '중딩농부', '중학생농부', '인간극장농부']"
멕시카나,6,3,"['워너원멕시카나', '강다니엘멕시카나', '멕시카나차']"
평양올림픽,6,1,['평양올림픽반대']
kissscene,6,0,[]
lifestyle,6,0,[]
샤이니종현사망,6,1,['샤이니종현사망이유']
우원재,6,0,[]
푸른거탑제로,6,0,[]
팬캠,6,0,[]
cu편의점,6,2,"['밴쯔cu편의점', 'cu편의점추천']"
쇼미,6,4,"['쇼미더머니', '쇼미5', '쇼미6', '쇼미7']"
거대한미식가,6,0,[]
쌀국수,6,0,[]
전희경,6,1,['전희경의원']
필리핀,6,0,[]
할머니,6,6,"['할머니유튜브', '공대생할머니', '이경자할머니', '경자할머니', '박막례할머니', '영원할머니']"
비트,6,6,"['비트코인', '비트코인가격', '비트코인캐시', '김정민x김정민박사x자연사박물관x비트코인x금융위기x금융제재xclsx뉴욕금융청x미재무부x트럼프x한미ftax국제정세x국제관계', '비트코인뉴스', '김정민x김정민박사x자연사박물관x비트코인x대북송금x달러환전x반중x반중데모x반중집회x비트코인정부기관x중국x2030xcls은행xswiftcodex자금세탁']"
올로드샵,6,0,[]
프롬싣니,6,0,[]
london,6,0,[]
유튜버싣니,6,0,[]
바로,6,1,['꿔바로우']
기아,6,2,"['기아타이거즈', '강호동이승기아는형님']"
기아타이거즈,6,0,[]
america,6,8,"['unitedstatesofamerica', 'americanmusicawards', 'american', 'btsamericanmusicawards', 'americantrieskoreandunkindonuts!!!', 'captainamerica', 'americansreacttobts', 'americanmusicawardsbts']"
빛베리,6,0,[]
rap,6,9,"['rapmonster', 'rapmon', '#rapmonster', 'rappeler', 'cameraphone', 'newbtsrapsong', 'choreography', 'rapmonster中字', 'btsamasjinjiminvtaeyangkpopkoreajungkooksugarapmonsterrm']"
평창올림픽선수촌,6,2,"['평창올림픽선수촌아파트', '강릉평창올림픽선수촌']"
걸림,6,0,[]
해운대,6,0,[]
꿀보이스,6,0,[]
현장적발,6,0,[]
넘어졌다고비웃다가'1등'한한국쇼트트랙에'멘붕'온일본인들한국24,6,0,[]
아내,6,16,"['이재명아내', '정찬우아내', '김준호아내', '안희정비서성폭행김지은정무비서학력프로필및나이남편아내부인민주원', '허준호전아내', '허준호아내자살', '허준호아내', '김생민아내', '아내의유혹', '김생민아내유지희', '5살아이혼자냅두고커피마시러다니는아내에게이혼요구하는남편', '외국인아내', '외국아내', '한국아내', '백종원아내', '쟈니윤아내']"
아이야,6,0,[]
실시간,6,3,"['버드리실시간', '버드리실시간스트리밍', '실시간검색어']"
안녕하세요중2농부,6,0,[]
리바이스,6,4,"['리브인리바이스', '2018리바이스', '카이리바이스', '리바이스카이']"
wearethefuture,6,0,[]
americanmusicawards,6,2,"['btsamericanmusicawards', 'americanmusicawardsbts']"
ama's,6,1,"[""btsama's""]"
베일블레이드버스트신,6,0,[]
jewelsreacts,6,0,[]
beybladeburstevolution,6,0,[]
бейблейдвзрываетбога,6,0,[]
burstgod,6,15,"['beybladeburstgodamv', 'beybladeburstgod', 'beybladeburstgod50', 'beybladeburstgodep50', 'beybladeburstgodep51', 'beybladeburstgodepisode51', 'beybladeburstgodepisode50', 'beybladeburstgodepi50', 'beybladeburstgodepisode44', 'beybladeburstgodepisode48', 'beybladeburstgodepisode49', 'beybladeburstgod48', 'beybladeburstgodepi48', 'beybladeburstgodep48', 'beybladeburstgodep49']"
beybladeburstgod,6,14,"['beybladeburstgodamv', 'beybladeburstgod50', 'beybladeburstgodep50', 'beybladeburstgodep51', 'beybladeburstgodepisode51', 'beybladeburstgodepisode50', 'beybladeburstgodepi50', 'beybladeburstgodepisode44', 'beybladeburstgodepisode48', 'beybladeburstgodepisode49', 'beybladeburstgod48', 'beybladeburstgodepi48', 'beybladeburstgodep48', 'beybladeburstgodep49']"
爆旋陀螺爆裂了神,6,0,[]
ベイブレ?ドバ?スト神,6,2,"['ベイブレ?ドバ?スト神エピソ?ド50', 'ベイブレ?ドバ?スト神エピソ?ド48']"
빅뱅승리,6,0,[]
koreanpop,6,0,[]
rapmon,6,4,"['rapmonster', '#rapmonster', 'rapmonster中字', 'btsamasjinjiminvtaeyangkpopkoreajungkooksugarapmonsterrm']"
jewels,6,1,['jewelsreacts']
challenge,6,3,"['infinitychallenge', 'frychallenge', 'decibelchallenge']"
버드리실시간,6,1,['버드리실시간스트리밍']
가요대전,6,3,"['sbs가요대전', '171225가요대전', '2017가요대전']"
boomerang,6,2,"['boomerangmovie', 'boomerangmv']"
라디오스타,6,2,"['라디오스타이승기', '승리라디오스타']"
갓다니엘,6,0,[]
#미투(metoo),6,0,[]
던말릭,6,0,[]
방송연예일반,6,0,[]
대풍수,6,1,"[""'대풍수'등에출연했다""]"
'#미투',6,0,[]
만들기,6,15,"['떡국만들기', '도티떡국만들기', '탕후루만들기', '쿠키만들기', '매실청만들기', '캔디쿠키만들기', '빵만들기', '카레만들기', '로제파스타만들기', '햄버거만들기', '수영장만들기', '주스만들기', '핫도그만들기', '코하쿠토만들기', '양갱만들기']"
투윅스,6,1,"[""'투윅스'""]"
출연했다,6,1,"[""'대풍수'등에출연했다""]"
banzzengsub,6,0,[]
가요계,6,0,[]
밴쯔짜장면,6,1,['밴쯔짜장면푸파']
#미투,6,2,"['#미투(metoo)', ""'#미투'""]"
신웅,6,0,[]
무한리필먹방,6,0,[]
자영업자,6,0,[]
영비,6,3,"['고등래퍼2영비cut', '고등래퍼2영비컷', '고등래퍼2영비']"
리브인리바이스,6,0,[]
levis,6,1,['liveinlevis']
嵐にしやがれ,6,0,[]
liveinlevis,6,0,[]
전진,6,0,[]
wheein,6,0,[]
불고기,6,7,"['한우불고기', '불고기피자', '한우불고기버거', '연탄불고기', '한우불고기버거먹방', '불고기백반', '돼지불고기']"
lookbook,6,1,['lalookbook']
비핵화,6,1,['비핵화vs.판문점선언']
asia,6,2,"['asiandrama', 'asian']"
박원순,6,1,['문재인대통령영부인박원순안희정박원순안희정최순실박원순']
농심,6,1,['농심라면']
알엠,6,0,[]
돈가스,6,6,"['치즈돈가스', '돈가스카레', '홍대대왕돈가스', '도전돈가스', '홍대돈가스', '돈가스먹방']"
주먹밥,6,2,"['주먹밥먹방', '명란마요주먹밥']"
여자컬링팀,6,0,[]
더로얄라이브,6,1,['더로얄라이브밴쯔']
뮤직비디오,6,0,[]
무서운,6,0,[]
영미,6,7,"['안영미', '김영미', '안영미섹드립', '안영미욕드립', '안영미드립', '영미네팀', '영미야']"
중독,6,1,['쇼핑중독영태형']
송영선시사360,6,2,"['#송영선시사360', '#송영선시사360-왜']"
한국당,6,0,[]
워너원고2,6,0,[]
시즌1,6,2,"['손흥민시즌16호골', '2018손흥민시즌14-15호골']"
뉴발란스,6,1,['뉴발란스슬리퍼']
비빔밥,6,4,"['에드머비빔밥', '곱창비빔밥', '열무비빔밥', '비빔밥먹방']"
버드리실시간스트리밍,6,0,[]
4대강,6,0,[]
ioi,6,1,['oioi여권지갑']
샌드박스,6,4,"['샌드박스네트워크', '샌드박스프렌즈', '샌드박스팬무비', '샌드박스컬러']"
usa,6,10,"['drainfafnirvsnightmarelonginusamv', 'nightmarelonginusamv', 'accusation', 'hojusara', 'wannaoneinbusan', 'wannaonefanconinbusan', 'wannaonepremierfanconcertinbusan', 'wannaoneatbusanforfancon', 'wannaonefanconcertinbusan', 'jerusalembagel']"
외국인반응,6,3,"['셀럽파이브외국인반응', '한국치킨외국인반응', 'bts외국인반응']"
미친개,6,0,[]
losangeles,6,0,[]
오므라이스,6,3,"['오므라이스먹방', '강식다오므라이스', '안재현오므라이스']"
김밥,6,10,"['김밥먹방', '대왕김밥', '일본김밥', '꼬마김밥', '왕김밥', '팔뚝김밥', '팔뚝김밥먹방', '왕김밥먹방', '신전김밥', '참치김밥']"
페미,6,3,"['페미니즘', '페미니스트', '두번째별페미니즘']"
울산경찰청,6,0,[]
갈등,6,1,['윰댕김이브갈등']
장제원,6,0,[]
태웅이,6,6,"['인생50년태웅이', '인생2회차태웅이', '안녕하세요태웅이', '중2농부태웅이', '인간극장태웅이', '#한태웅#태웅이네#소#농부#농촌#인간극장']"
한태웅,6,1,['#한태웅#태웅이네#소#농부#농촌#인간극장']
인생2회차,6,2,"['인생2회차태웅이', '서준이인생2회차']"
셀럽파이브,6,8,"['셀럽파이브춤', '셀럽파이브리액션', '셀럽파이브뮤비', '셀럽파이브댄스', '셀럽파이브외국인반응', '셀럽파이브서양인반응', '셀럽파이브서양', '셀럽파이브(celebfive)']"
한국일본차이,6,0,[]
김정민x김정민박사x자연사박물관x북미회담x판문점x마이바흐x김정은x마이니치x빌트x벤츠xs600xpullmanguardx풍계리x인공지진x남북통일,6,0,[]
다영,6,1,['김다영']
chobee,6,0,[]
지아,6,2,"['민지아', '조지아']"
goboogi,6,0,[]
먼치킨,6,0,[]
munchkin,6,0,[]
주인공,6,1,['선미주인공비교']
꼬부기,6,0,[]
jia,6,3,"['zhangjiayi', 'jiangshan', 'jiartarzan']"
쵸비,6,0,[]
선블록,6,0,[]
uv,6,8,"['ucvdwvmknsmkhd5cbqsuvrka', '축구사랑iluvsoccer', 'shuvskurtzamv', 'shuvskurtz', 'shuvsvalt', 'shuvslui', '시세이도퍼펙트uv프로텍터', 'muvik']"
성대모사달인,6,0,[]
ellen,6,2,"['theellenshow', 'ellenshow']"
혼합자차,6,0,[]
베이스메이크업,6,0,[]
두유,6,0,[]
top10,6,2,"['top10crash', 'top10s']"
훈련병,6,0,[]
ikon,6,1,['ikoncover']
uch3mmjhpa0dyvgrwsm4ar7a,6,0,[]
hotnews24h,6,0,[]
현실남매,6,0,[]
버블비,6,0,[]
치밥,6,1,['지코밥치밥']
박여사점,6,0,[]
인생50년태웅이,6,0,[]
기록,6,2,"['기록?', '신기록먹방']"
선인모드,6,0,[]
love,6,64,"['fakelove', 'btsfakelove', 'btsfakelovereaction', 'ilovesoccer', 'fakelovebtsreaction', 'btsfakelovefirstreaction', 'fakelovereviewbts', 'btsfakelovecomeback', 'rttvfakelovebtsreaction', ""bts(방탄소년단)'fakelove'officialmv"", 'loveyourselfher', 'lovelyz', 'lovebug', 'lovelyzepisode', 'lovelyzshowcase', 'lovelyzdancemirror', 'lovelyzengsub', 'lovelyzlyrics', 'lovelyzaudio', 'lovelyzthatdaylyrics', 'lovelyzlive', 'lovelyzmv', 'lovelyzthatday', 'lovelydance', ""loveyourselftear'singularity'comebacktrailerreaction"", ""bts(방탄소년단)loveyourself轉tear'singularity'comebacktrailer"", '문별love', 'foodlovers', 'dancereactionbtsfakelove', 'btsfakelovedancereaction', 'fakelovedancepractice', 'btsfakelovedancepracticereaction', 'fakelovebtsdancereaction', 'btsfakelovedancepractice', 'justbetweenlovers', 'cherylcole-fightforthislove', 'doglovegirl', 'sbslovefmfamilyconcert', ""i'minlove"", 'btsloveyourselfher', 'lovescenario', 'btsfakelovereact', 'fakelovereact', 'btsfakelovereactors', 'btsfakelovecouplereacts', 'jrekmlbtsfakelove', 'couplereactsfakelovebtsmv', 'fakelovedance', 'btsreactionfakelove', 'couplesreactbtsfakelove', 'fakelovemv', 'btsfakelovedance', 'btsloveyourselftear', 'fakelovebts', 'lovewhisper', 'loveme', 'violincoversoflovesongs', 'gloveent', 'whatislove', 'lovelysmartgirl', 'lovelysmartgirlplayingbabycutedogsonricefields||howtoplaywithdog&feedbabydogs', 'temperatureoflove', 'lovelymakeup', 'lovely']"
예토전생,6,0,[]
박항서감독,6,2,"['훈련힘들다고반항하던선수들눈물쏟게만든박항서감독의한마디', '결승전서패하고기죽은베트남선수들을울린박항서감독']"
sejeong,6,1,['kimsejeong']
고기만두,6,0,[]
블랙팬서,6,0,[]
톰홀랜드,6,0,[]
spf,6,0,[]
명탐정코난키드,6,0,[]
solo,6,0,[]
이승기안재현,6,0,[]
예리,6,0,[]
매운먹방,6,0,[]
짱구,6,6,"['짱구더빙', '짱구는못말려', '스파오짱구수면망토', '짱구망토', '짱구수면망토', '짱구잠옷']"
발,6,61,"['족발', '신발', '통발', '시발아줌마', '발렌타인', '현장적발', '뉴발란스', '종현발인', '삭발', '불족발', '단발메이크업', '샷발', '발칙한동거워너원', '발칙한동거강다니엘', '손흥민선발', '냉채족발', '그린티발란싱스킨', '자기계발', '미투고발', '대치동시발아줌마', '이강인발렌시아', '아발론오가닉스', '평창문화원문화동아리작품발표송년음악회', '단체흑발', '단발머리', '방탄흑발', '흑발', '육개장사발면', '외국어발음', '신비발가락', '금발', '발칙한동거', '발칙한동거김재환', '발칙한동거옹성우', '발칙한동거옹녤환', '카니발중고', '발착한동거', '고발', '트럼프의이스라엘수도발언분석', '데이브발음차이', '발음차이', '발냄새', '사쿠라이쇼가발', '마츠모토준가발', '쇼짱가발', '마츠준가발', '발가락보정보호기', '3d엄지발가락고정보호기', '발가락교정기', ""'트'돌발회견"", '불불이족발', '왕족발', '이승우베로나첫선발', '족발먹방', '족발보쌈', '발수건', '영어발음', 'mbc박상후시사제작국전부국장발언', '립밤발암물질', '뉴발란스슬리퍼', '발가락보호기']"
헤라,6,2,"['헤라쿠션', '헤라루즈홀릭']"
쿨톤메이크업,6,0,[]
연어초밥,6,0,[]
영국남자,6,1,['영국남자먹방']
윤식당2이서진,6,0,[]
양념,6,5,"['양념치킨', '양념치킨컵라면', '양념통닭', '양념치킨일본', '#양념게장']"
english,6,7,"['#english', 'englishsub', 'banzzenglishsub', 'bigbangenglish', 'gdenglish', 'gdragonenglish', 'borutonarutonextgenerationsepisode60englishsubhd']"
카라,6,5,"['카라치코', '카라스코', '마스카라', '카라아게', '마스카라하는법']"
태양,6,2,"['태양계', '#태양']"
맏내,6,0,[]
inkigayo,6,0,[]
웃음지뢰,6,0,[]
유잼,6,7,"['대유잼', '옹성우유잼', '마마무유잼', '화사유잼', '옹성우대유잼', '워너원대유잼', '대유잼엑소']"
신서유기레전드,6,0,[]
이수근도박,6,0,[]
혜리,6,1,['한혜리']
1박2일이승기,6,2,"['1박2일이승기이수근', '1박2일이승기강호동']"
이승기설현,6,0,[]
1박2일레전드,6,0,[]
승기야,6,0,[]
이승기트와이스,6,0,[]
이승기이수근,6,2,"['1박2일이승기이수근', '강호동이승기이수근은지원']"
이승기예언,6,0,[]
1박2일이수근,6,0,[]
1박2일이승기이수근,6,0,[]
이수근면회,6,0,[]
도박예언,6,0,[]
아는형님이승기,6,0,[]
이승기편지,6,0,[]
이수근이승기,6,0,[]
신서유기5,6,1,['신서유기5이승기']
라디오스타이승기,6,0,[]
신서유기5이승기,6,0,[]
나영석이승기,6,0,[]
bobby,6,0,[]
이별,6,4,"['현실이별', '커플이별', '호랑이별', '이별레전드']"
champion,6,1,['showchampion']
장원재,6,0,[]
닭갈비,6,7,"['치즈닭갈비', '봄내닭갈비', '닭갈비먹방', '닭갈비tv', '춘천닭갈비덮밥', '워너원닭갈비', '치즈닭갈비일본']"
ㅂㅇㄹ,6,0,[]
오연준남북정상회담,6,1,['오연준남북정상회담공연']
고향의봄,6,1,['오연준고향의봄']
오연준고향의봄,6,0,[]
오연준바람이불어오는곳,6,0,[]
광어,6,2,"['광어제철', '광어우럭']"
참다랑어,6,1,['참다랑어생참치']
바람이불어오는곳,6,1,['오연준바람이불어오는곳']
생참치,6,1,['참다랑어생참치']
2018남북정상회담,6,0,[]
부산맛집,6,0,[]
강단이,6,0,[]
감동tv,6,0,[]
쫄면,6,2,"['온쫄면', '나드리쫄면']"
엘렌쇼,6,1,['방탄소년단엘렌쇼']
#metoo,6,0,[]
로키,6,0,[]
song,6,21,"['kpopsongs', 'songminho', 'heungminsongoal', 'songoal', 'coversong', 'songs', 'songhyekyo', 'songjoongki', 'songjoong-ki', 'songhye-kyo', 'songminhomoment', 'newbtssong', 'newbtsrapsong', 'btsddaengdisssong', 'seasongreeting', 'twicesongs', 'violincoversoflovesongs', 'mostpopularviolincoversofpopularsongs', 'violincoversofpopularsongsplaylist', 'violincoversofpopularsongs', 'mostpopularviolincoversofpopularsongs2018']"
produce101season2,6,0,[]
btsrm,6,2,"['btsrmsugajhopeddaeng', 'btsrmsugajhopeddaengreaction']"
3위,6,0,[]
#bts,6,3,"['#bts#방탄소년단#박지민#김남준#정호석#김태형#전정국#김석진#민윤기#아메리칸뮤직어워드#뷔#슈가#rm', '#방탄소년단#bts#amas#방탄미국#jimin', '#방탄소년단#bts#방탄미국#e뉴스#jimin']"
letgo,6,2,"['지민letgo', 'jiminletgo']"
아이스크림,6,5,"['아이스크림먹방', '밴쯔아이스크림먹방', '휘인아이스크림', '아이스크림팬', '철판아이스크림']"
대통령,6,20,"['문재인대통령', '박대통령', '박근혜대통령', '검찰이박대통령에게제안했다!', '박대통령무죄석방!', '박대통령의단호함!', '박대통령중국방문', '박대통령판사김세윤의운명', '대통령충격적지지율', '문대통령이', '대만대통령', '문재인대통령영부인박원순안희정박원순안희정최순실박원순', '대통령부인', '대통령전용기로매국노짓', '박근혜대통령복권', '박대통령복권이현실이될지도!', '임종석대통령전용기로북한송금?', '미국은문재앙을대통령으로인정안함', '문재인가짜대통령', '문대통령님보세요-신소걸목사']"
wannaonehasungwoon,6,0,[]
아이스크림먹방,6,1,['밴쯔아이스크림먹방']
인생2회차태웅이,6,0,[]
안녕하세요태웅이,6,0,[]
중2농부,6,3,"['안녕하세요중2농부', '중2농부태웅이', '인간극장중2농부']"
중2농부태웅이,6,0,[]
서준이인생2회차,6,0,[]
15살농부,6,0,[]
인간극장중2농부,6,0,[]
인간극장태웅이,6,0,[]
인생최소50년,6,0,[]
인생50년,6,1,['인생50년태웅이']
나경원,6,0,[]
신봉선,6,0,[]
produce101hasungwoon,6,0,[]
육군,6,1,['육군군가']
23일,6,1,['베트남은23일']
