Comedy_tags,number,overlap_num,overlap_word
단,162,45,"['단점', '방탄소년단', '엔단', '로켓단', '간단한', '방탄소년단해외방송', '방탄소년단미국진출', '방탄소년단미국공연', '방탄소년단해외', '방탄소년단해외반응', '방탄소년단미국인터뷰', '방탄소년단해외공연', '방탄소년단해외팬', '방탄소년단미국반응', '방탄소년단미국인기', '방탄소년단미국', '방탄소년단미국방송', '방탄소년단해외인기', '방탄소년단해외공연2017', '방탄소년단해외반응한글자막', '방탄소년단해외반응자막', '창단식', '무단투기', '단아냥', '방탄소연단아메리칸', '방탄소년단최신영상', '방탄소년단예능', '방탄소년단지미키멜쇼', '지미키멜방탄소년단', '지미키멜쇼방탄소년단', '방탄소년단토크쇼', '방탄소년단지미', '방탄소년단지미키멜', '단추', '유형별계단내려가는방법', '계단유형', '계단내려가는유형', '계단내려갈때유형', '계단내려갈때꼭있는유형', '유형별계단', '웃소계단유형', '계단내려가기', '계단내려가는방법', '웃소계단', '서울가요대상방탄소년단']"
조엘,162,0,[]
바다,162,1,['바다낚시']
댄,162,6,"['댄스', '댄스팀', '김지선댄스', '커버댄스', '2배속댄스', '토미오카고교댄스']"
문과1등,161,3,"['문과1등이과1등', '웃찾사문과1등이과1등', '웃찾사문과1등']"
이과1등,161,4,"['문과1등이과1등', '웃찾사문과1등이과1등', '웃찾사이과1등', '이과1등가출']"
이그젝틀리,161,0,[]
시골풍경,160,0,[]
군필bj,160,0,[]
요리먹방,160,0,[]
베어그릴스,160,0,[]
민물낚시,160,0,[]
유명bj,160,0,[]
작약꽃,160,0,[]
가류탄,160,0,[]
마을회관,160,0,[]
취사병,160,0,[]
바다낚시,160,0,[]
jtbc,160,0,[]
시골촌동네,160,0,[]
민물,160,1,['민물낚시']
eugbak,160,0,[]
국민바보,160,0,[]
자연인,160,1,['자연인하와수']
생생정보통,160,0,[]
불로켓,160,0,[]
시골사람,160,0,[]
말이씨가됬네,160,0,[]
커디스미디어,159,0,[]
불닭볶음면,159,4,"['불닭볶음면치즈', '불닭볶음면신상', '짜장불닭볶음면', '불닭볶음면짜장']"
워너비,158,0,[]
fried,158,3,"['koreanfriedchicken', 'friedrice', 'friedchicken']"
조니,158,0,[]
크리스,158,14,"['크리스마스', '크리스피', '메리크리스마스', '크리스마스노래', '크리스마스를보내는', '크리스마스선물', '크리스마스영상', '크리스마스캐롤', '유형별크리스마스', '크리스마스카드', '웃소크리스마스', '웃소크리스마스유형', '크리스마스유형', '크리스마스메이크업']"
올리아빠,158,0,[]
해물,158,0,[]
신부님,158,0,[]
이과젝틀리,157,0,[]
미친남자,155,0,[]
여캠,146,2,"['섹시여캠', '아프리카tv여캠']"
아프리카,145,9,"['아프리카tv', '아프리카철구', '아프리카bj', '아프리카비제이', '아프리카tv시상식', '아프리카tv여캠', '아프리카티비', '아프리카시상식', '아프리카tv대상']"
연애,138,5,"['연애플레이리스트', '그리고연애', '연애상담사', '연애상담', '공개연애']"
여름,132,2,"['석준여름', '여름방학']"
red,131,4,"['imp_red', 'redbull', 'redvelvet', 'seoulmusicawardsredvelvet']"
대도서관,130,1,['타노스.대도서관']
남녀,130,2,"['남녀탐구생활', '남녀탐구']"
성인,130,0,[]
imp,129,1,['imp_red']
imp_red,129,0,[]
석준,129,1,['석준여름']
임프레드,129,0,[]
리플에스,129,0,[]
임프,129,1,['임프레드']
ripple_s,129,0,[]
ripple,129,1,['ripple_s']
상담,129,4,"['가정상담', '고민상담', '연애상담사', '연애상담']"
서영,129,1,['피서영']
리플레이,129,0,[]
마태,129,2,"['마태진아', '진아마태']"
심리,129,1,['카톡상메심리']
민욱,129,1,['미나민욱']
미나민욱,129,0,[]
진아,129,2,"['마태진아', '진아마태']"
미나,129,2,"['미나민욱', '스테미나']"
석준여름,129,0,[]
예능,107,4,"['웹예능', '예능티비', '예능프로', '방탄소년단예능']"
감스트,105,2,"['감스트탱구', '탱구감스트']"
엽기,105,2,"['엽기떡볶이', '엽기조합']"
보겸,104,3,"['김보겸', '보겸tv', '배틀그라운드보겸']"
병맛,103,5,"['병맛노래', '병맛광고', '병맛영상', '병맛꽁트', '병맛동영상']"
봉준,100,13,"['김봉준', '와꾸대장봉준', '봉준보미', '봉준채보미', '양팡봉준', '봉준여자친구', '봉준여친', '채보미봉준', '봉준이별', '봉준재걸', '봉준결혼', '봉준먹방', '봉준인아']"
신태일,98,0,[]
외질혜,90,1,['bj외질혜']
허팝,83,0,[]
조섭,79,0,[]
유튜버,79,15,"['인기유튜버', '뜨는유튜버', '여성유튜버', '게임유튜버', '마인크래프트유튜버', '마크유튜버', '한국유튜버', '개그맨유튜버', '유튜버연봉', '유튜버면나쁜점', '유튜버수익', '유튜버돈', '유튜버일상', '초딩유튜버', '어린이유튜버']"
커플,77,17,"['성수커플', '엔조이커플', '커플영상', '비글커플', '커플데이트영상', '커플놀러갈만한곳', '커플놀만한곳', '비글커플데이트', '커플데이트코스', '커플데이트', '커플데이트장소', '01커플', '커플화해하는법', '커플싸웠을때', '커플화해', '커플이구동성', '커플싸움']"
재미있는,76,1,['재미있는동영상']
몰카,73,2,"['오글몰카', '중2병몰카']"
못말리는실험,72,0,[]
동영상,72,7,"['인기동영상', '웃긴동영상', '공감동영상', '개그동영상', '병맛동영상', '코믹동영상', '재미있는동영상']"
experiment,72,0,[]
신기한실험,72,0,[]
1인미디어,72,0,[]
섭이,72,4,"['섭이는못말려', '섭이일상', '섭이네가족', '섭이오빠']"
섭이는못말려,72,0,[]
키즈,72,1,['스파키즈']
게임,71,22,"['게임영상', '게임방송', '비디오게임', '게임유튜버', '웃소게임', '엠티게임', '생존게임', 'pc게임', '항아리게임실사판', '항아리게임코스프레', '항아리게임', '공포게임방송', 'vr게임', '게임풀버전', '스팀게임', '인디게임', '게임실황', '최고기게임', '이구동성게임', '마피아게임', '보드게임', '미니게임']"
레전드,70,23,"['철구레전드', '리그오브레전드', '인강레전드', '정승제레전드', '먹방레전드', '카톡레전드', '정유빈레전드', '이수근레전드', '이경규레전드', '은지원레전드', '김구라레전드', '이경실레전드', '김신영레전드', '노래하는코트레전드', '네이버지식인레전드', '네이버지식인레전드답변', '지식인레전드', '비보레전드', '약빨방레전드', '코웃레전드', '코트레전드', '무한도전레전드', '레전드하이라이트']"
성수커플,68,0,[]
리플,68,7,"['리플에스', '리플레이', '리플스', '리플즈', '트리플나인팝업스토어', '홍대트리플나인', '트리플나인']"
리플스,66,0,[]
마태진아,66,0,[]
레드박스,66,0,[]
김윤태,66,0,[]
푸워,65,0,[]
지혜,64,2,"['철구지혜', '전지혜']"
리플즈,63,0,[]
replay,63,0,[]
양띵,63,0,[]
피서영,63,0,[]
진아마태,63,0,[]
릴마블,62,0,[]
스팀보이,58,0,[]
새로운,58,1,['새로운집']
channel,57,0,[]
조시,57,0,[]
졸리,57,0,[]
런던,57,0,[]
new,57,1,['news']
장추자,57,1,['bj장추자']
철구레전드,57,0,[]
second,57,0,[]
uk,57,6,"['mukbang', 'tangsuyuk', 'touko', 'okryukwan', 'shukurulloisroilov2018', 'winstonduke']"
채널,57,2,"['본능적인채널', '다이아채널']"
jolly,57,0,[]
한국말,57,0,[]
사생활,57,0,[]
웃소,54,17,"['웃소유형', '웃소배그유형', '웃소카톡상태메시지유형', '웃소배그', '웃소배틀그라운드', '웃소카톡상메유형', '웃소크리스마스', '웃소크리스마스유형', '웃소연어', '웃소초밥', '웃소게임', '웃소무궁화', '웃소좀비', '웃소술래잡기', '웃소계단유형', '웃소계단', '유형별웃소']"
악어,54,0,[]
코믹,53,1,['코믹동영상']
블랙리스트,53,0,[]
bj외질혜,52,0,[]
철구지혜,52,0,[]
아프리카bj,52,0,[]
인터넷방송bj,52,1,['인터넷방송bj유머방송']
아프리카비제이,52,0,[]
이환,51,0,[]
해운대,50,2,"['해운대오퍼스', '해운대opus']"
턱중,50,2,"['대한건아턱중', 'god.턱중']"
강아지,49,28,"['귀여운강아지', '강아지용품', '강아지훈련', '강아지배변훈련', '강아지간식', '강아지말리기', '강아지목욕', '강아지목욕시키기', '강아지첫목욕', '강아지예방접종', '강아지똥', '강아지밥그릇', '강아지집', '강아지배변패드', '강아지옷', '강아지그릇', '강아지오줌', '깜찍한강아지', '강아지식당', '강아지급식', '강아지밥', '강아지급식기', '강아지스튜디오', '강아지전용식당', '강아지케이크', '강아지와인', '강아지맥주', '강아지술']"
배틀그라운드,49,4,"['배틀그라운드실사판', '#배틀그라운드', '웃소배틀그라운드', '배틀그라운드보겸']"
도깨비,49,0,[]
