".","Freq"
"게임",329
"도티",225
"game",191
"overwatch",187
"마인크래프트",161
"먹방;",149
"보겸;",149
"보겸tv;",149
"lol;",147
"도티;",147
"롤;",147
"오버워치;",147
"원피스;",147
"클래시로얄;",147
"clash;",145
"royale;",145
"리그오브레전드;",145
"샌드박스",145
"슈마상;",145
"클로얄;",145
"포켓몬;",145
"모바일게임;",143
"라이더",139
"잠뜰",128
"minecraft",125
"트위치",124
"모바일게임",122
"네트워크",119
"테드",116
"lol",115
"모드",112
"배틀그라운드",112
"rider",110
"공략",109
"모바일",108
"ted",105
"ddotty",104
"마크",104
"sandbox",98
"수현",96
"칠각별",96
"코아",96
"오버워치",93
"쵸쵸우",93
"sleepground",91
"버그판",91
"악어",91
"network",89
"클래시로얄",89
"mobile",87
"각별",87
"쵸우",83
"롤",79
"대도서관",77
"영상",77
"tedtv",73
"고수",70
"먹방",70
"비누",69
"양띵",69
"키우기",69
"장인",68
"테드tv",68
"샌박",65
"mod",64
"라더",63
"어드벤쳐",63
"최고기록",63
"링크",62
"12",61
"12단계",61
"level",61
"방송",61
"쇼케이스",61
"연다",61
"원커맨드",61
"커맨드",61
"buzzbean",60
"대도",60
"대도님",60
"시크릿",60
"초고수",60
"mojang",59
"npc",59
"showcase",59
"모장",59
"커스텀",59
"포로",59
"세계신기록",58
"pubg",56
"비누tv",56
"300",55
"고수1000",55
"자켓",55
"clash",54
"it",54
"리뷰",54
"좀비고",54
"60",53
"royale",53
"seconds!",53
"레전드",52
"하이라이트",52
"60초!",51
"beat",51
"cop",51
"getting",51
"over",51
"saurian",51
"비트캅",51
"사우리안",51
"항아리",51
"뜰로그",50
"웃긴",48
"유튜브",47
"탈출맵",47
"허팝",46
"vlog",45
"score",43
"twitch",43
"광고",43
"200",42
"high",42
"블리자드",42
"파파독",42
"상황극",41
"로얄",39
"병맛",39
"점프맵",39
"콘텐츠",39
"클로얄",39
"배그",38
"버그",37
"전설상자",36
"클래시",36
"클로",36
"스팀",35
"컨텐츠",35
"신작",34
"핵",34
"clashroyale",33
"말이야",33
"머독",33
"울산큰고래",33
"풍월량",33
"papadog",32
"supercell",32
"앙빅",32
"club",31
"김영태",31
"눈표범",31
"샌드박스네트워크",31
"아이작",31
"ajehr",30
"dp",30
"ehxl",30
"steam",30
"늪지대",30
"ㅁㄷ",30
"머도기",30
"머독방송",30
"오브",30
"카스",30
"카스온라인",30
"tv",29
"로블록스",29
"리그오브레전드",29
"아프리카tv",29
"윤겔라",29
"battleroyale",28
"cup",28
"invitational",28
"king’s",28
"molt",28
"pong",28
"sandboxnetwork",28
"겔튜브",28
"끼야",28
"니얼굴윤겔라",28
"랜덤덱",28
"로얄의",28
"몰트",28
"배로",28
"배틀로얄",28
"버그판.",28
"상자까기",28
"슈퍼셀",28
"신규카드",28
"엔젤7777",28
"우왁굳",28
"정배우",28
"정석",28
"크로롱",28
"클랜상자",28
"클럽",28
"킹스컵",28
"테드찡",28
"파파독클럽",28
"하창봉",28
"mukbang",27
"도도한",27
"친구들",27
"bring",26
"ggam",26
"ggambring",26
"of",26
"겜브링",26
"다다토이",26
"리그",26
"보겸",26
"아프리카",26
"장난감",26
"2018",25
"play",25
"건축",25
"김재원",25
"꽃빈",25
"꽃빈부부",25
"러너",25
"러너교",25
"러너꽃빈",25
"러너부부",25
"러쉬",25
"루리tv",25
"부부",25
"비누국",25
"이꽃빈",25
"팔근",25
"스트리머",24
"웃음참기",24
"원피스",24
"키덜트",24
"토이",24
"beyblade",23
"beybladeburstgod",23
"개조팽이",23
"녹방",23
"마크에이지",23
"베이블레이드버스트갓",23
"생방",23
"이벤트",23
"팽이배틀",23
"let's",22
"walkthrough",22
"노가리",22
"렛츠플레이",22
"워크스루",22
"워크쓰루",22
"추천",22
"acau",21
"dkrdj",21
"rush",21
"공포게임",21
"러너방송",21
"맵",21
"영웅",21
"league",20
"엔터테인먼트",20
"akzmdpdlwl",19
"bj꽃빈",19
"bj러너",19
"m.c.age",19
"playwithtoy",19
"random",19
"꽃빈방송",19
"라이브방송",19
"래전드",19
"랜덤맨",19
"랜덤맨악어",19
"러너교주",19
"레바",19
"리턴즈",19
"마크에이지4",19
"맠에",19
"맠에4",19
"업데이트",19
"웃김",19
"인터넷방송",19
"좀비고등학교",19
"트레이서",19
"파쿠르",19
"플레이위드토이",19
"감스트",18
"얼굴",18
"games",17
"korea",17
"밍모",17
"영화",17
"옵치",17
"왁굳",17
"챌린지",17
"팁",17
"fps",16
"legends",16
"new",16
"실사",16
"우왁굳의게임방송",16
"우왕굳",16
"전설",16
"조매력",16
"charming_jo",15
"google",15
"kpop",15
"김블루",15
"라인하르트",15
"마루에몽",15
"보겸tv",15
"사황",15
"세븐나이츠",15
"챠밍조",15
"프로게이머",15
"battleground",14
"bokyem",14
"김왼팔",14
"넷마블",14
"레자바지",14
"한국",14
"korean",13
"video",13
"게임실황",13
"공룡",13
"레벨",13
"미니게임",13
"브이로그",13
"스타크래프트",13
"철구",13
"bj",12
"https://www.twitch.tv/alenenwooptv/alenen/",12
"jfla",12
"king",12
"ytff",12
"게임리뷰",12
"겐지",12
"동영상",12
"러너웨이",12
"메르시",12
"세나",12
"신",12
"어썸피스",12
"예능",12
"웁",12
"웁tv",12
"웃음",12
"이야기",12
"자몽",12
"자몽티비",12
"총게임",12
"탈출",12
"팀게임",12
"팬페스트",12
"프리파이어",12
"3d운전교실",11
"netmarble",11
"nintendo",11
"pewdiepie",11
"sevenknights",11
"게임추천",11
"넥슨",11
"넷마블게임즈",11
"레바반응",11
"레바툰",11
"레바하이라이트",11
"레이첼",11
"루디",11
"수다",11
"스파키",11
"실험",11
"여포",11
"외국인",11
"월드",11
"이레승바권",11
"이승권",11
"제이브",11
"초보",11
"크리스마스",11
"7단계",10
"9999",10
"hikakin",10
"ii",10
"ogn",10
"pc게임",10
"runaway",10
"switch",10
"war",10
"검은사막",10
"꿀잼",10
"나이트메어롱기누스",10
"레전드9999",10
"레전드99999",10
"레퀴엠",10
"멋사",10
"메탈킴",10
"모바이게임",10
"몬스터헌터",10
"상자깡",10
"스타2",10
"스투",10
"스프리건",10
"야생의",10
"일본",10
"일상",10
"좀비",10
"주작",10
"트위치tv",10
"포켓몬스터",10
"후기",10
"afreecatv",9
"charmingjo",9
"dont",9
"laugh",9
"lck",9
"roblox",9
"the",9
"youtube",9
"가즈아",9
"각성",9
"겜스터",9
"경찰과도둑",9
"구글",9
"너불",9
"네트워크게임",9
"닌텐도",9
"다이아",9
"도네",9
"라온",9
"럭키블럭",9
"레벨48",9
"루시우",9
"메이커",9
"모락실",9
"모이라",9
"바스티온",9
"생존",9
"소개",9
"순애몽",9
"스위치",9
"스타",9
"스페셜솔져",9
"썰",9
"아나",9
"연예인",9
"온게임넷",9
"웃지마",9
"워",9
"위도우",9
"잉여맨",9
"자동차",9
"중력",9
"차",9
"차밍조",9
"참기",9
"첼린지",9
"총",9
"크리에이터",9
"클템",9
"페이커",9
"포켓몬",9
"핑맨",9
"한조",9
"4주년",8
"animation",8
"battle",8
"bgam",8
"broadcast",8
"clashofclans",8
"contents",8
"gamst",8
"gamtube",8
"hajime",8
"injik",8
"kiminjik",8
"kingkuhn",8
"kuhn",8
"vr",8
"가족상황극",8
"감튜브",8
"김인직",8
"노래",8
"따봉",8
"따봉친구",8
"런어웨이",8
"모음",8
"물고기",8
"봄수",8
"비감",8
"비제이",8
"수다방",8
"스팀게임",8
"아프리카티비",8
"양세찬",8
"어드벤처",8
"왕군",8
"왕군게임국",8
"요루루",8
"유머",8
"유튜버",8
"이수건",8
"이수근",8
"인직",8
"임금",8
"전설카드",8
"정준영",8
"젤다의",8
"조세호",8
"쥐늑대",8
"지석진",8
"지조",8
"최케빈",8
"코난",8
"클래시오브클랜",8
"탐정",8
"태택이",8
"테스터훈",8
"토크",8
"하하",8
"허팝게임",8
"현상금",8
"힘찬",8
"(industry)",7
"300점",7
"azubu",7
"battlegrounds",7
"black",7
"bongjun",7
"cloudtemplar",7
"coc",7
"crazymeta",7
"daum",7
"desert",7
"fifa",7
"frost",7
"labo",7
"mmorpg",7
