fid,avg_tmp,max_tmp,min_tmp,상업/업무지(도시),도로(도시),일반주택지(도시),교육/군사시설(도시),유원지(임지),공공용지(도시),인공녹지(도시),하천(수계),고층주택지(도시),공업시설(도시),침엽수림(임지),암벽/석산(임지),미경지정리답(농지),보통/특수작물(농지),처리장(도시),저수지/늪(수계),자연초지(임지),발전시설(도시),공업나지(도시),인공초지(임지),경지정리답(농지),활엽수림(임지),철로(도시),골프장(임지),혼합수림(임지),가축/사육시설(도시),공원묘지(임지),과수원(농지),매립지(도시),shape_area,상업/업무지(도시)_비율,도로(도시)_비율,일반주택지(도시)_비율,교육/군사시설(도시)_비율,유원지(임지)_비율,공공용지(도시)_비율,인공녹지(도시)_비율,하천(수계)_비율,고층주택지(도시)_비율,공업시설(도시)_비율,침엽수림(임지)_비율,암벽/석산(임지)_비율,미경지정리답(농지)_비율,보통/특수작물(농지)_비율,처리장(도시)_비율,저수지/늪(수계)_비율,자연초지(임지)_비율,발전시설(도시)_비율,공업나지(도시)_비율,인공초지(임지)_비율,경지정리답(농지)_비율,활엽수림(임지)_비율,철로(도시)_비율,골프장(임지)_비율,혼합수림(임지)_비율,가축/사육시설(도시)_비율,공원묘지(임지)_비율,과수원(농지)_비율,매립지(도시)_비율
397,26.166666666666668,27,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15957257.793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15957257.793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410,31.047619047619047,35,27,54863.002,2432519.648,260598.22599999997,25746.237,94246.25700000001,32832.209,1270.345,29214.822,13962.628999999999,0.0,15957257.793,0.0,0.0,13940.909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18916452.077,0.29002797023817395,12.859280578082794,1.3776273951332252,0.13610499947452698,0.49822375050230205,0.1735643072303172,0.006715556357127762,0.1544413396395908,0.07381209194601973,0.0,84.35650474013569,0.0,0.0,0.07369727126024003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
409,27.6,30,26,0.0,0.0,0.0,0.0,78085.83600000001,0.0,0.0,29214.822,0.0,0.0,15957257.793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16064558.451,0.0,0.0,0.0,0.0,0.4860752085914895,0.0,0.0,0.18185885462778725,0.0,0.0,99.33206593678072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
440,29.7,34,26,10920.378,2432519.648,126494.57199999999,59040.005,0.0,26788.755999999998,39782.219,0.0,190408.934,0.0,8077097.28,0.0,0.0,57273.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11020325.412,0.09909306296989047,22.073029217006933,1.147829735247749,0.5357374015082305,0.0,0.24308498159981554,0.3609895126751997,0.0,1.7277977453611693,0.0,73.29272937081215,0.0,0.0,0.5197089728188509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
442,27.6,29,26,0.0,0.0,118412.936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8077097.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8195510.216,0.0,0.0,1.4448513012505775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.55514869874943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
441,26.88888888888889,28,26,0.0,0.0,0.0,0.0,0.0,13272.008999999998,0.0,0.0,0.0,0.0,8077097.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8090369.289,0.0,0.0,0.0,0.0,0.0,0.16404701103131558,0.0,0.0,0.0,0.0,99.83595298896869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
405,31.0,35,27,0.0,2432519.648,719418.8859999999,13143.957,0.0,0.0,16731.112,23429.821,0.0,0.0,15957257.793,0.0,0.0,66503.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19229004.662,0.0,12.65026292706195,3.741321501792041,0.06835484847520394,0.0,0.0,0.08700976620523532,0.12184624951650032,0.0,0.0,82.98535505862368,0.0,0.0,0.34584964832539083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
404,29.875,34,26,0.0,0.0,14085.224999999999,0.0,0.0,0.0,0.0,13836.753,0.0,0.0,15957257.793,0.0,0.0,30477.913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16015657.683999998,0.0,0.0,0.08794659125407917,0.0,0.0,0.0,0.0,0.08639515949334524,0.0,0.0,99.63535752229306,0.0,0.0,0.1903007269595186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
438,25.333333333333332,32,18,0.0,0.0,177856.824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8077097.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8254954.104,0.0,0.0,2.15454649122541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.8454535087746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406,33.0,36,29,72103.151,2432519.648,606767.2189999999,53819.467000000004,0.0,134262.747,73638.862,368475.45499999996,308223.747,0.0,15957257.793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20007068.088999998,0.36038839213848994,12.158301442165898,3.0327643025996602,0.26900226840128694,0.0,0.6710765735526159,0.3680642344616554,1.8417264006943121,1.5405742891906444,0.0,79.75810209679544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
437,30.333333333333332,35,26,33920.182,2432519.648,223833.495,51179.084,0.0,0.0,0.0,0.0,495231.00000000006,0.0,8077097.28,0.0,0.0,27184.242000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11340964.931,0.29909432051306994,21.448965434597376,1.9736724023205605,0.45127627420929906,0.0,0.0,0.0,0.0,4.36674483179389,0.0,71.22054718573048,0.0,0.0,0.23969955083533628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
395,27.0,29,26,0.0,0.0,0.0,0.0,330233.273,0.0,0.0,0.0,0.0,0.0,15957257.793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16287491.066,0.0,0.0,0.0,0.0,2.0275269632494792,0.0,0.0,0.0,0.0,0.0,97.97247303675051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
439,21.019323671497585,32,14,74181.34799999998,3820779.461,503675.95000000007,0.0,0.0,0.0,55.339,0.0,0.0,0.0,13680061.296000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362241.271,0.0,0.0,0.0,0.0,0.0,0.0,18440994.665,0.4022632691326143,20.71894456024995,2.7312840719809413,0.0,0.0,0.0,0.0003000868500061464,0.0,0.0,0.0,74.1828819134361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9643260983504007,0.0,0.0,0.0,0.0,0.0,0.0
391,26.11111111111111,27,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13439385.295999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13439385.295999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394,27.375,29,26,0.0,0.0,0.0,0.0,330233.273,0.0,0.0,10517.595,0.0,0.0,29396643.088999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29737393.957,0.0,0.0,0.0,0.0,1.1104983626928249,0.0,0.0,0.0353682471813379,0.0,0.0,98.85413339012584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401,31.103448275862068,36,27,3045.145,2432519.648,343960.92000000004,40582.213,0.0,0.0,0.0,0.0,390959.815,0.0,16182305.027999999,0.0,0.0,10636.923999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242230.48,0.0,0.0,19646240.172999997,0.015499886864790393,12.381603943450887,1.750772244313233,0.20656478106061485,0.0,0.0,0.0,0.0,1.9899981449748312,0.0,82.36845770744209,0.0,0.0,0.05414228832760794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2329610035659622,0.0,0.0
436,23.71014492753623,33,14,83081.118,3820779.461,473372.325,162170.611,0.0,0.0,0.0,0.0,114780.046,0.0,13656723.396000002,0.0,0.0,51749.757000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362241.271,0.0,0.0,0.0,0.0,14890.481000000002,0.0,18739788.466000002,0.4433407460854526,20.388594395993966,2.5260281131713387,0.8653812250561398,0.0,0.0,0.0,0.0,0.6124938187442611,0.0,72.8755472388479,0.0,0.0,0.276149098982044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9330061897828894,0.0,0.0,0.0,0.0,0.07945917333600706,0.0
