fid,lat,lon,avg_dust,max_dust,min_dust
127,37.507,126.978,55.5,58,53
49,37.499,126.861,52.0,54,50
125,37.507,126.96600000000001,53.5,54,53
48,37.499,126.85,51.0,52,50
118,37.498000000000005,126.931,55.0,56,54
57,37.499,126.82600000000001,50.5,51,50
267,37.496,127.152,55.5,56,55
209,37.497,127.071,54.0,55,53
208,37.497,127.059,51.5,53,50
124,37.498000000000005,126.96600000000001,52.0,53,51
165,37.498000000000005,127.001,60.0,63,57
120,37.498000000000005,126.954,52.0,53,51
164,37.498000000000005,126.98899999999999,58.5,63,54
229,37.497,127.08200000000001,56.5,58,55
252,37.496,127.12899999999999,55.5,56,55
103,37.497,127.036,51.0,52,50
189,37.507,127.024,52.5,54,51
126,37.498000000000005,126.978,54.5,58,51
45,37.499,126.896,58.0,59,57
104,37.497,127.04700000000001,51.0,52,50
185,37.497,127.024,53.0,54,52
184,37.497,127.012,56.0,58,54
119,37.498000000000005,126.943,54.0,55,53
250,37.496,127.105,57.0,58,56
230,37.497,127.094,57.5,58,57
266,37.496,127.14,55.5,56,55
111,37.498000000000005,126.90799999999999,56.0,57,55
112,37.498000000000005,126.919,55.666666666666664,56,55
56,37.49,126.82600000000001,51.0,51,51
41,37.489000000000004,126.884,56.5,58,55
132,37.489000000000004,126.919,56.0,57,55
130,37.489000000000004,126.96600000000001,49.5,51,48
131,37.489000000000004,126.977,51.0,54,48
54,37.49,126.861,53.0,54,52
40,37.49,126.87299999999999,55.166666666666664,57,54
196,37.488,127.024,53.0,54,52
163,37.488,127.001,56.5,58,55
145,37.489000000000004,126.94200000000001,54.0,55,53
53,37.49,126.85,51.5,52,51
146,37.489000000000004,126.954,51.5,53,50
198,37.488,127.04700000000001,52.5,53,52
115,37.489000000000004,126.90799999999999,55.5,56,55
265,37.486999999999995,127.152,55.0,55,55
144,37.489000000000004,126.931,56.0,57,55
207,37.488,127.07,54.0,55,53
197,37.488,127.035,52.5,53,52
257,37.486999999999995,127.14,55.0,55,55
232,37.486999999999995,127.105,56.5,57,56
228,37.486999999999995,127.094,56.5,57,56
52,37.49,126.838,51.5,52,51
227,37.488,127.08200000000001,56.0,57,55
59,37.481,126.838,51.5,52,51
60,37.481,126.82600000000001,51.75,52,51
161,37.479,127.0,54.0,55,53
226,37.478,127.08200000000001,55.0,56,54
205,37.478,127.07,54.0,55,53
204,37.479,127.059,53.0,53,53
128,37.479,126.96600000000001,48.5,50,47
160,37.479,126.98899999999999,52.0,54,50
182,37.478,127.09299999999999,55.5,56,55
143,37.48,126.954,51.5,53,50
38,37.48,126.884,55.0,56,54
170,37.479,127.024,53.5,54,53
172,37.479,127.04700000000001,52.5,53,52
141,37.48,126.931,55.0,56,54
39,37.48,126.896,54.5,56,53
142,37.48,126.94200000000001,53.5,55,52
171,37.479,127.035,52.5,53,52
253,37.478,127.117,55.5,56,55
129,37.479,126.977,49.0,51,47
183,37.478,127.105,55.5,56,55
254,37.478,127.12799999999999,55.0,55,55
61,37.471,126.884,53.0,54,52
62,37.471,126.896,52.5,54,51
249,37.486999999999995,127.12799999999999,55.5,56,55
256,37.478,127.14,55.0,55,55
159,37.47,127.0,53.0,54,52
137,37.471,126.931,54.0,55,53
153,37.471,126.919,53.0,55,51
203,37.469,127.08200000000001,54.5,55,54
181,37.469,127.105,54.5,55,54
65,37.471,126.90700000000001,52.5,54,51
154,37.48,126.919,55.0,56,54
138,37.47,126.94200000000001,53.0,54,52
139,37.47,126.954,51.0,52,50
202,37.469,127.07,53.5,54,53
179,37.47,127.012,53.5,54,53
225,37.469,127.117,55.0,55,55
255,37.469,127.12799999999999,55.0,55,55
248,37.486999999999995,127.117,55.5,56,55
251,37.496,127.117,56.0,56,56
158,37.47,126.98899999999999,51.5,53,50
523,37.527,126.86200000000001,46.0,48,44
180,37.469,127.09299999999999,54.5,55,54
169,37.47,127.035,53.0,53,53
93,37.469,127.05799999999999,53.0,53,53
92,37.469,127.04700000000001,53.0,53,53
63,37.461999999999996,126.896,50.8,52,49
64,37.461999999999996,126.90700000000001,49.5,51,48
73,37.461,126.919,51.0,53,49
156,37.47,126.977,49.5,51,48
194,37.479,127.012,54.0,55,53
167,37.46,127.035,53.0,53,53
166,37.46,127.023,53.0,53,53
102,37.46,127.07,53.5,54,53
157,37.461,126.98899999999999,51.5,52,51
178,37.461,127.012,53.0,53,53
135,37.461,126.954,51.5,52,51
168,37.47,127.023,53.0,53,53
200,37.46,127.081,54.0,54,54
136,37.461,126.965,50.5,51,50
201,37.46,127.09299999999999,54.5,55,54
134,37.461,126.94200000000001,52.5,53,52
91,37.46,127.05799999999999,53.0,53,53
224,37.459,127.116,54.5,55,54
90,37.46,127.04700000000001,53.0,53,53
199,37.451,127.081,53.5,54,53
99,37.451,127.046,53.0,53,53
101,37.451,127.07,53.5,54,53
70,37.452,126.895,50.0,51,49
100,37.451,127.05799999999999,53.0,53,53
150,37.452,126.94200000000001,52.0,52,52
149,37.452,126.93,51.0,52,50
98,37.442,127.07,53.0,53,53
69,37.443000000000005,126.919,49.4,50,48
152,37.452,126.965,51.5,52,51
97,37.442,127.05799999999999,53.0,53,53
147,37.443000000000005,126.94200000000001,51.25,52,51
148,37.443000000000005,126.95299999999999,52.0,52,52
96,37.442,127.046,53.0,53,53
95,37.431999999999995,127.069,53.0,53,53
151,37.452,126.95299999999999,52.0,52,52
94,37.431999999999995,127.05799999999999,53.0,53,53
155,37.461,126.977,50.5,51,50
67,37.434,126.90700000000001,49.5,50,49
68,37.443000000000005,126.90700000000001,49.25,50,48
72,37.452,126.919,49.5,51,48
133,37.461,126.93,52.0,53,51
140,37.47,126.965,49.5,51,48
71,37.452,126.90700000000001,48.5,49,48
66,37.48,126.90799999999999,54.0,55,53
195,37.488,127.012,55.0,56,54
162,37.488,126.98899999999999,54.5,58,51
188,37.507,127.012,55.5,58,53
187,37.507,127.001,60.0,63,57
213,37.525,127.024,51.5,52,51
519,37.516999999999996,126.86200000000001,48.0,51,45
84,37.535,126.932,53.5,54,53
81,37.525999999999996,126.943,53.0,54,52
222,37.515,127.08200000000001,55.5,57,54
241,37.533,127.10600000000001,55.0,56,54
186,37.507,126.98899999999999,60.0,63,57
192,37.516,127.01299999999999,54.0,56,52
19,37.545,126.804,49.5,50,49
32,37.564,126.792,50.5,51,50
21,37.564,126.804,50.0,50,50
31,37.564,126.781,51.0,51,51
42,37.489000000000004,126.896,56.5,58,55
206,37.488,127.059,52.5,53,52
34,37.555,126.76899999999999,51.0,51,51
243,37.533,127.118,57.5,59,56
321,37.598,127.072,50.0,51,49
335,37.543,127.04799999999999,58.0,60,56
338,37.543,127.06,57.0,59,55
431,37.654,127.06200000000001,50.5,51,50
