fid,lat,lon,Annual_WS,Annual_WD,fid_2,DN
"387",37.645,127.026,2.49,299.11,"18","53"
"390",37.654,127.015,2.76,293.34,"18","53"
"393",37.664,127.015,2.88,292.8,"18","53"
"395",37.673,127.015,3.16,294.64,"18","53"
"397",37.682,127.015,3.63,299.28,"18","53"
"399",37.654,127.026,2.58,301.94,"18","53"
"403",37.663,127.05,2.65,313.26,"18","53"
"404",37.673,127.027,2.92,303.58,"18","53"
"405",37.672,127.038,2.79,311.64,"18","53"
"406",37.672,127.05,2.75,320.05,"18","53"
"407",37.645,127.05,2.55,305.19,"18","53"
"408",37.654,127.05,2.57,307.82,"18","53"
"409",37.682,127.027,3.25,302.89,"18","53"
"410",37.682,127.039,3,309.39,"18","53"
"411",37.682,127.05,2.93,321.17,"18","53"
"412",37.691,127.015,4.41,303.37,"18","53"
"413",37.691,127.027,3.74,301.02,"18","53"
"414",37.691,127.039,3.23,304.91,"18","53"
"415",37.7,127.016,5.19,296.41,"18","53"
"416",37.7,127.027,4.64,292.71,"18","53"
"380",37.626,127.049,2.55,302.51,"18","53"
"283",37.599,127.014,3,307.22,"18","53"
"287",37.608,127.014,2.88,303.69,"18","53"
"231",37.59,127.025,2.93,307.06,"18","53"
"329",37.599,127.026,2.88,306.67,"18","53"
"371",37.608,127.037,2.73,304.2,"18","53"
"370",37.599,127.037,2.81,305.57,"18","53"
"361",37.599,127.049,2.8,303.45,"18","53"
"372",37.608,127.049,2.7,300.45,"18","53"
"374",37.617,127.049,2.6,299.72,"18","53"
"383",37.635,127.049,2.54,304.29,"18","53"
"364",37.598,127.107,3.06,251.48,"19","51"
"291",37.617,127.014,2.85,303.39,"20","52"
"290",37.617,127.003,3.33,305.44,"20","52"
"378",37.626,127.026,2.64,302.52,"20","52"
"294",37.627,127.003,3.58,302.36,"20","52"
"295",37.627,127.014,2.94,301,"20","52"
"298",37.636,127.015,2.91,294.37,"20","52"
"381",37.636,127.026,2.54,297.8,"20","52"
"386",37.645,127.015,2.77,292.57,"20","52"
"387",37.645,127.026,2.49,299.11,"20","52"
"390",37.654,127.015,2.76,293.34,"20","52"
"391",37.664,126.992,5.29,275.73,"20","52"
"392",37.664,127.003,3.85,284.19,"20","52"
"393",37.664,127.015,2.88,292.8,"20","52"
"394",37.673,127.004,4.15,281.4,"20","52"
"395",37.673,127.015,3.16,294.64,"20","52"
"396",37.682,127.004,4.32,287.06,"20","52"
"397",37.682,127.015,3.63,299.28,"20","52"
"403",37.663,127.05,2.65,313.26,"20","52"
"406",37.672,127.05,2.75,320.05,"20","52"
"407",37.645,127.05,2.55,305.19,"20","52"
"408",37.654,127.05,2.57,307.82,"20","52"
"411",37.682,127.05,2.93,321.17,"20","52"
"412",37.691,127.015,4.41,303.37,"20","52"
"414",37.691,127.039,3.23,304.91,"20","52"
"415",37.7,127.016,5.19,296.41,"20","52"
"416",37.7,127.027,4.64,292.71,"20","52"
"380",37.626,127.049,2.55,302.51,"20","52"
"373",37.608,127.061,2.66,294.75,"20","52"
"324",37.608,127.072,2.71,294.44,"20","52"
"362",37.617,127.073,2.69,295.38,"20","52"
"419",37.626,127.073,2.67,298.98,"20","52"
"422",37.635,127.073,2.62,299.22,"20","52"
"573",37.598,127.061,2.77,296.57,"20","52"
"282",37.599,127.002,3.3,309.29,"20","52"
"286",37.608,127.003,3.25,305.01,"20","52"
"328",37.59,127.014,3.02,310.64,"20","52"
"283",37.599,127.014,3,307.22,"20","52"
"287",37.608,127.014,2.88,303.69,"20","52"
"231",37.59,127.025,2.93,307.06,"20","52"
"329",37.599,127.026,2.88,306.67,"20","52"
"357",37.589,127.037,2.84,305.15,"20","52"
"370",37.599,127.037,2.81,305.57,"20","52"
"360",37.589,127.049,2.83,303.64,"20","52"
"361",37.599,127.049,2.8,303.45,"20","52"
"372",37.608,127.049,2.7,300.45,"20","52"
"374",37.617,127.049,2.6,299.72,"20","52"
"375",37.617,127.061,2.62,296.64,"20","52"
"417",37.626,127.061,2.6,300.71,"20","52"
"418",37.635,127.061,2.58,301.19,"20","52"
"383",37.635,127.049,2.54,304.29,"20","52"
"430",37.645,127.061,2.58,300.47,"20","52"
"437",37.672,127.062,2.76,324.44,"20","52"
"441",37.681,127.074,3.18,337.96,"20","52"
"442",37.681,127.085,3.28,327.82,"20","52"
"440",37.681,127.062,2.99,333.73,"20","52"
"445",37.69,127.085,3.96,325.24,"20","52"
