fid,lat,lon,avg_dust,max_dust,min_dust
415,37.7,127.016,25.0,25,25
443,37.691,127.06200000000001,24.5,25,24
445,37.69,127.085,24.5,25,24
412,37.691,127.015,25.0,25,25
444,37.691,127.074,24.5,25,24
416,37.7,127.027,25.0,25,25
411,37.681999999999995,127.05,25.0,25,25
414,37.691,127.039,25.0,25,25
396,37.681999999999995,127.00399999999999,25.0,25,25
441,37.681,127.074,24.0,24,24
397,37.681999999999995,127.015,25.5,26,25
442,37.681,127.085,24.5,25,24
440,37.681,127.06200000000001,24.5,25,24
413,37.691,127.027,25.0,25,25
405,37.672,127.038,26.0,27,25
438,37.672,127.073,23.5,24,23
437,37.672,127.06200000000001,24.0,25,23
391,37.664,126.992,24.5,25,24
394,37.673,127.00399999999999,24.5,25,24
404,37.673,127.027,26.5,27,26
439,37.672,127.085,24.0,24,24
393,37.664,127.015,25.0,27,23
436,37.663000000000004,127.085,23.5,24,23
403,37.663000000000004,127.05,25.0,26,24
402,37.663000000000004,127.038,27.5,29,26
392,37.664,127.00299999999999,24.0,25,23
433,37.654,127.085,23.5,24,23
408,37.654,127.05,25.0,26,24
389,37.654,127.00299999999999,22.5,24,21
390,37.654,127.015,24.0,27,21
400,37.654,127.038,27.5,29,26
388,37.655,126.992,24.0,25,23
399,37.654,127.02600000000001,27.5,30,25
428,37.644,127.096,24.0,24,24
384,37.645,126.991,23.5,24,23
476,37.655,126.945,25.5,26,25
474,37.646,126.945,26.0,26,26
473,37.646,126.93299999999999,26.0,26,26
407,37.645,127.05,25.0,26,24
475,37.646,126.956,25.5,26,25
387,37.645,127.02600000000001,26.5,29,24
386,37.645,127.015,23.0,25,21
427,37.644,127.085,24.0,24,24
469,37.637,126.921,26.5,27,26
471,37.637,126.945,26.0,26,26
429,37.644,127.10799999999999,24.5,25,24
470,37.637,126.93299999999999,26.5,27,26
424,37.635,127.096,24.0,24,24
298,37.635999999999996,127.015,23.0,24,22
472,37.635999999999996,126.956,26.0,26,26
423,37.635,127.084,24.0,24,24
297,37.635999999999996,127.00299999999999,23.0,24,22
383,37.635,127.04899999999999,25.5,26,25
456,37.628,126.91,26.5,27,26
296,37.635999999999996,126.991,24.0,25,23
418,37.635,127.061,24.5,25,24
382,37.635999999999996,127.038,25.5,26,25
398,37.645,127.038,27.5,29,26
292,37.626999999999995,126.979,25.0,25,25
457,37.626999999999995,126.921,26.5,27,26
293,37.626999999999995,126.991,24.5,25,24
426,37.644,127.073,23.5,24,23
435,37.663000000000004,127.073,23.5,24,23
425,37.635,127.10799999999999,24.5,25,24
420,37.626,127.084,24.0,24,24
