fid,avg_tmp,max_tmp,min_tmp,상업/업무지(도시)_비율,도로(도시)_비율,일반주택지(도시)_비율,교육/군사시설(도시)_비율,유원지(임지)_비율,공공용지(도시)_비율,인공녹지(도시)_비율,하천(수계)_비율,고층주택지(도시)_비율,공업시설(도시)_비율,침엽수림(임지)_비율,암벽/석산(임지)_비율,미경지정리답(농지)_비율,보통/특수작물(농지)_비율,처리장(도시)_비율,저수지/늪(수계)_비율,자연초지(임지)_비율,발전시설(도시)_비율,공업나지(도시)_비율,인공초지(임지)_비율,경지정리답(농지)_비율,활엽수림(임지)_비율,철로(도시)_비율,골프장(임지)_비율,혼합수림(임지)_비율,가축/사육시설(도시)_비율,공원묘지(임지)_비율,과수원(농지)_비율,매립지(도시)_비율,순수양호,순수불량,순수양호_비율,순수불량_비율,80m_wind_speed,10m_wind_speed,difference_wind,avg_dust_10,max_dust_10,min_dust_10,max_ele,min_ele,avg_ele,num_ele,diff_ele,label,b_sum,g_sum
397,26.16666667,27,25,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1013317.899,0,100,0,3.63,3.28,0.35,52.5,53,52,434,119,273.8888889,153,315,3,0,100
410,31.04761905,35,27,0.29002797,12.85928058,1.377627395,0.136104999,0.498223751,0.173564307,0.006715556,0.15444134,0.073812092,0,84.35650474,0,0,0.073697271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,933553.948,137409.271,87.16956208,12.83043792,3,2.7,0.3,53.5,54,53,122,29,60.00714286,140,93,1,1.877572457,84.86144405
409,27.6,30,26,0,0,0,0,0.486075209,0,0,0.181858855,0,0,99.33206594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1057007.808,356.265,99.96630631,0.033693693,3.25,2.84,0.41,53.5,54,53,259,44,123.9591837,147,215,3,0,99.81814115
440,29.7,34,26,0.099093063,22.07302922,1.147829735,0.535737402,0,0.243084982,0.360989513,0,1.727797745,0,73.29272937,0,0,0.519708973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1115552.063,0,100,0,2.99,2.83,0.16,51.5,52,51,173,32,86,163,141,3,3.510457945,73.65371888
442,27.6,29,26,0,0,1.444851301,0,0,0,0,0,0,0,98.5551487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1235753.076,0,100,0,3.28,3.09,0.19,51.5,52,51,270,72,149.9017341,173,198,3,1.444851301,98.5551487
441,26.88888889,28,26,0,0,0,0,0,0.164047011,0,0,0,0,99.83595299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1070118.728,0,100,0,3.18,3.09,0.09,51.5,52,51,327,97,205.2532468,154,230,3,0,99.83595299
405,31,35,27,0,12.65026293,3.741321502,0.068354848,0,0,0.087009766,0.12184625,0,0,82.98535506,0,0,0.345849648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,816304.813,254793.549,76.21193739,23.78806261,2.79,2.54,0.25,54,55,53,80,25,45.72173913,115,55,1,3.80967635,83.07236482
404,29.875,34,26,0,0,0.087946591,0,0,0,0,0.086395159,0,0,99.63535752,0,0,0.190300727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1013265.695,57673.982,94.61463766,5.385362335,2.92,2.64,0.28,54,55,53,174,34,88.11111111,126,140,3,0.087946591,99.63535752
438,25.33333333,32,18,0,0,2.154546491,0,0,0,0,0,0,0,97.84545351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1014947.889,0,100,0,2.76,2.61,0.15,50.5,51,50,263,41,117.4557823,147,222,3,2.154546491,97.84545351
406,33,36,29,0.360388392,12.15830144,3.032764303,0.269002268,0,0.671076574,0.368064234,1.841726401,1.540574289,0,79.7581021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184030.062,775468.58,19.17981474,80.82018526,2.75,2.57,0.18,52.5,54,51,33,23,27.55813953,43,10,0,5.202729252,80.12616633
437,30.33333333,35,26,0.299094321,21.44896543,1.973672402,0.451276274,0,0,0,0,4.366744832,0,71.22054719,0,0,0.239699551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,884998.892,128453.292,87.32517488,12.67482512,2.76,2.6,0.16,51,52,50,204,26,77.44444444,117,178,1,7.090787829,71.22054719
395,27,29,26,0,0,0,0,2.027526963,0,0,0,0,0,97.97247304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,979334.827,34103.934,96.63483031,3.365169689,3.16,2.85,0.31,53,54,52,271,94,170.8175182,137,177,3,0,100
439,21.01932367,32,14,0.402263269,20.71894456,2.731284072,0,0,0,0.000300087,0,0,0,74.18288191,0,0,0,0,0,0,0,0,0,0,0,1.964326098,0,0,0,0,0,0,1385220.976,10101.204,99.27606655,0.72393345,2.96,2.82,0.14,51,51,51,399,45,164.2538071,197,354,3,3.133547341,74.183182
391,26.11111111,27,25,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765979.582,0,100,0,5.29,4.11,1.18,51.5,52,51,557,188,362.6046512,129,369,1,0,100
394,27.375,29,26,0,0,0,0,1.110498363,0,0,0.035368247,0,0,98.85413339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1257993.808,22624.707,98.23329846,1.766701538,4.15,3.37,0.78,52,52,52,450,80,209.3595506,178,370,3,0,99.96463175
