fid,avg_tmp,max_tmp,min_tmp,상업/업무지(도시)_비율,도로(도시)_비율,일반주택지(도시)_비율,교육/군사시설(도시)_비율,유원지(임지)_비율,공공용지(도시)_비율,인공녹지(도시)_비율,하천(수계)_비율,고층주택지(도시)_비율,공업시설(도시)_비율,침엽수림(임지)_비율,암벽/석산(임지)_비율,미경지정리답(농지)_비율,보통/특수작물(농지)_비율,처리장(도시)_비율,저수지/늪(수계)_비율,자연초지(임지)_비율,발전시설(도시)_비율,공업나지(도시)_비율,인공초지(임지)_비율,경지정리답(농지)_비율,활엽수림(임지)_비율,철로(도시)_비율,골프장(임지)_비율,혼합수림(임지)_비율,가축/사육시설(도시)_비율,공원묘지(임지)_비율,과수원(농지)_비율,매립지(도시)_비율,순수양호,순수불량,순수양호_비율,순수불량_비율,80m_wind_speed,10m_wind_speed,difference_wind,avg_dust_10,max_dust_10,min_dust_10,max_ele,min_ele,avg_ele,num_ele,diff_ele
410,31.0476190476191,35,27,0.290027970238174,12.8592805780828,1.37762739513323,0.136104999474527,0.498223750502302,0.173564307230317,0.00671555635712776,0.154441339639591,0.0738120919460197,0.0,84.3565047401357,0.0,0.0,0.07369727126024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,933553.948,137409.271,87.16956207624908,12.830437923751,3.0,2.7,0.3,53.5,54,53,122,29,60.00714285714286,140,93
409,27.6,30,26,0.0,0.0,0.0,0.0,0.48607520859149,0.0,0.0,0.18185885462778698,0.0,0.0,99.3320659367807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1057007.808,356.265,99.96630630743971,0.0336936925603297,3.25,2.84,0.41,53.5,54,53,259,44,123.95918367346938,147,215
440,29.7,34,26,0.0990930629698905,22.073029217006898,1.14782973524775,0.53573740150823,0.0,0.243084981599816,0.3609895126752,0.0,1.72779774536117,0.0,73.29272937081221,0.0,0.0,0.519708972818851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1115552.063,0.0,100.0,0.0,2.99,2.83,0.16,51.5,52,51,173,32,86.0,163,141
442,27.6,29,26,0.0,0.0,1.44485130125058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.5551486987494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1235753.076,0.0,100.0,0.0,3.28,3.09,0.19,51.5,52,51,270,72,149.90173410404626,173,198
441,26.888888888888896,28,26,0.0,0.0,0.0,0.0,0.0,0.16404701103131603,0.0,0.0,0.0,0.0,99.8359529889687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1070118.728,0.0,100.0,0.0,3.18,3.09,0.0900000000000003,51.5,52,51,327,97,205.25324675324674,154,230
405,31.0,35,27,0.0,12.6502629270619,3.74132150179204,0.0683548484752039,0.0,0.0,0.0870097662052353,0.1218462495165,0.0,0.0,82.98535505862371,0.0,0.0,0.34584964832539095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,816304.813,254793.549,76.21193738694191,23.7880626130581,2.79,2.54,0.25,54.0,55,53,80,25,45.721739130434784,115,55
404,29.875,34,26,0.0,0.0,0.0879465912540792,0.0,0.0,0.0,0.0,0.0863951594933452,0.0,0.0,99.63535752229309,0.0,0.0,0.19030072695951897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1013265.695,57673.982,94.61463766460109,5.38536233539884,2.92,2.64,0.28,54.0,55,53,174,34,88.11111111111111,126,140
438,25.3333333333333,32,18,0.0,0.0,2.15454649122541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.84545350877458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1014947.8890000001,0.0,100.0,0.0,2.76,2.61,0.15,50.5,51,50,263,41,117.45578231292517,147,222
406,33.0,36,29,0.36038839213849,12.1583014421659,3.0327643025996602,0.269002268401287,0.0,0.671076573552616,0.36806423446165504,1.8417264006943102,1.5405742891906398,0.0,79.75810209679541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184030.062,775468.58,19.1798147432917,80.8201852567083,2.75,2.57,0.18,52.5,54,51,33,23,27.558139534883722,43,10
437,30.3333333333333,35,26,0.29909432051307,21.448965434597397,1.9736724023205598,0.451276274209299,0.0,0.0,0.0,0.0,4.36674483179389,0.0,71.2205471857305,0.0,0.0,0.23969955083533603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,884998.892,128453.29199999999,87.3251748796863,12.674825120313699,2.76,2.6,0.16,51.0,52,50,204,26,77.44444444444444,117,178
