fid,avg_tmp,max_tmp,min_tmp,도로(도시)_비율,공공용지(도시)_비율,하천(수계)_비율,암벽/석산(임지)_비율,미경지정리답(농지)_비율,보통/특수작물(농지)_비율,저수지/늪(수계)_비율,공업나지(도시)_비율,경지정리답(농지)_비율,철로(도시)_비율,골프장(임지)_비율,공원묘지(임지)_비율,과수원(농지)_비율,순수양호_비율,순수불량_비율,80m_wind_speed,10m_wind_speed,difference_wind,avg_dust_10,max_dust_10,min_dust_10,max_ele,min_ele,avg_ele,num_ele,diff_ele,b_sum,g_sum,label
198,25.29,33,18,82.73055934948279,4.99966853703486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.7384671484673,22.2615328515327,0.22142857142857142,0.19213973799126627,0.35897435897435886,0.4285714285714288,0.38888888888888884,0.5,0.08392603129445235,0.03666666666666667,0.047302330834771464,0.3584070796460177,0.10131332082551595,0.2451126428586351,0.0,1
162,25.940298507462696,33,20,71.3243163894618,0.0707860124385613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.837621366918796,51.162378633081204,0.2392857142857142,0.262008733624454,0.26495726495726485,0.5428571428571431,0.6666666666666665,0.4444444444444442,0.06970128022759603,0.03666666666666667,0.04049638416828889,0.40707964601769914,0.08255159474671671,0.29325668687026446,0.139251459676292,0
195,27.112903225806498,32,23,73.7715462771344,10.9514145958546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.2732491925528,46.7267508074473,0.3107142857142856,0.2838427947598253,0.39316239316239304,0.5714285714285716,0.5555555555555554,0.6111111111111112,0.049786628733997154,0.05666666666666667,0.048561179152325065,0.42920353982300885,0.0450281425891182,0.28634112021420216,0.009434647720815821,0
206,30.9487179487179,35,27,78.6740301293737,5.58370694764176,1.65177186845718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.18484343560941,20.8151565643905,0.1964285714285715,0.17467248908296928,0.33333333333333326,0.4285714285714288,0.38888888888888884,0.5,0.059743954480796585,0.03333333333333333,0.029586545760454577,0.39823008849557523,0.07129455909943716,0.26180728423260563,0.00985023797840731,1
227,31.071428571428598,35,27,45.1550559037032,1.35168642179548,0.0,0.0,0.0,0.22620506323804102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.98509856488029,20.014901435119697,0.2928571428571428,0.26637554585152834,0.3846153846153845,0.6285714285714286,0.6111111111111112,0.6666666666666665,0.10810810810810811,0.060000000000000005,0.071448114654373,0.44690265486725667,0.1200750469043152,0.1185299287242564,0.4733371846287871,1
207,26.9818181818182,33,20,80.509067153393,1.7012591554223897,2.42545242530606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.9968365823384,36.0031634176616,0.24285714285714277,0.21834061135371174,0.35897435897435886,0.5142857142857142,0.5,0.5555555555555554,0.09672830725462306,0.03666666666666667,0.045248730173238105,0.3893805309734513,0.11819887429643527,0.29781454599190316,0.004563137471777601,1
228,30.153846153846196,34,27,79.58495525159721,3.9747791931062997,3.7782566604329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.51026766658441,20.489732333415603,0.3107142857142856,0.244541484716157,0.47008547008547,0.6571428571428575,0.6111111111111112,0.7222222222222219,0.08819345661450925,0.05,0.061378854978240874,0.5929203539823008,0.09943714821763602,0.10841997367516584,0.07234755718407719,1
232,31.760563380281702,36,27,40.636678895479996,0.6993282600225981,3.99310550948307,0.0,0.0,6.74480608424899,0.0,0.0,0.0,1.26103973216065,0.0,0.0,0.0,60.4010055960067,39.598994403993295,0.2607142857142858,0.2052401746724889,0.4273504273504273,0.6571428571428575,0.6111111111111112,0.7222222222222219,0.0725462304409673,0.02666666666666667,0.03304911503176758,0.30530973451327437,0.09193245778611633,0.06645815597939851,0.433382999052814,1
248,32.794117647058805,36,30,78.5264071166554,0.219814754576585,2.1386219598264398,0.0,0.0,8.45072807746272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.2967252612592,17.005602693371998,0.20714285714285696,0.14847161572052403,0.41025641025641013,0.6000000000000001,0.5555555555555554,0.6666666666666665,0.03556187766714082,0.03,0.023417658651081013,0.30530973451327437,0.04127579737335835,0.2024542379987877,0.00530037083804587,1
59,30.204081632653104,34,26,28.3863541106602,1.3015947403824801,0.0,0.0,2.0430810821396004,4.62262721753814,0.0,0.0,0.0,5.507508218684981,0.0,0.0,0.0,87.7481209167712,12.2518790832288,0.35357142857142854,0.28820960698689946,0.48717948717948706,0.37142857142857144,0.3333333333333335,0.4444444444444442,0.12944523470839261,0.02666666666666667,0.06223289386390139,0.7035398230088495,0.16697936210131334,0.29508217505424206,0.433677032828152,1
265,31.3125,35,28,45.7595535431649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.617859806203,16.382140193797,0.12499999999999989,0.14847161572052403,0.21367521367521355,0.5714285714285716,0.5,0.6666666666666665,0.11522048364153628,0.09666666666666668,0.09428529776168908,0.34070796460176994,0.10881801125703565,1.0,0.0418275881418385,2
257,32.2857142857143,37,29,36.8881151792463,1.73938509382122,0.0,0.0,0.0,2.1490802975978704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0954176464025,19.9045823535975,0.1428571428571429,0.12227074235807855,0.30769230769230754,0.5714285714285716,0.5,0.6666666666666665,0.0725462304409673,0.07666666666666667,0.0723561014552647,0.5575221238938053,0.06378986866791746,0.8264874999895946,0.178513663142997,1
