fid,avg_tmp,max_tmp,min_tmp,도로(도시)_비율,공공용지(도시)_비율,하천(수계)_비율,암벽/석산(임지)_비율,미경지정리답(농지)_비율,보통/특수작물(농지)_비율,저수지/늪(수계)_비율,공업나지(도시)_비율,경지정리답(농지)_비율,철로(도시)_비율,골프장(임지)_비율,공원묘지(임지)_비율,과수원(농지)_비율,순수양호_비율,순수불량_비율,80m_wind_speed,10m_wind_speed,difference_wind,avg_dust_10,max_dust_10,min_dust_10,max_ele,min_ele,avg_ele,num_ele,diff_ele,b_sum,g_sum,label
164,30.5,34,27,0.9282029880083102,0.07877500061329712,0.005701977388056385,0.0,0.0,0.0,0.0,0.0,0.0,0.0030874218891702573,0.0,0.0,0.0,0.6875803232618671,0.312419676738133,0.2607142857142858,0.26637554585152834,0.30769230769230754,0.7714285714285718,0.9444444444444446,0.6111111111111112,0.06258890469416786,0.016666666666666666,0.034200327294977115,0.3230088495575221,0.08442776735459663,0.09584915805553229,0.04920502787517151,1
267,30.421052631579,36,26,0.763549412679938,0.0,0.0055253633361604625,0.0,0.028143491432420977,0.043180129368225705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6233888163550619,0.376611183644938,0.1071428571428571,0.1266375545851527,0.21367521367521355,0.6000000000000001,0.5555555555555554,0.6666666666666665,0.13798008534850642,0.08333333333333334,0.08437779369258562,0.7522123893805309,0.14634146341463417,0.3209957005835266,0.06497420543756009,1
229,30.7,35,27,0.9749662235254493,0.04548106180682505,0.03678832686222703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.982070578984818,0.017929421015182297,0.22857142857142854,0.17903930131004342,0.4017094017094016,0.6571428571428575,0.6666666666666665,0.6666666666666665,0.018492176386913226,0.016666666666666666,0.0170568966709003,0.336283185840708,0.026266416510318948,0.06368740944553557,0.008754538254443651,1
209,31.5,36,27,0.9820609707617863,0.05339241929674044,0.025132921734358226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00441910313869638,0.0,0.0,0.446489248553103,0.553510751446897,0.22499999999999998,0.17467248908296928,0.4017094017094016,0.5142857142857142,0.5,0.5555555555555554,0.018492176386913226,0.016666666666666666,0.01737042442161878,0.27433628318584075,0.026266416510318948,0.06886626208591433,0.00389886647032557,0
230,31.46875,36,28,0.9842384791469359,0.022641004457153148,0.023226733717468535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9982519952275551,0.00174800477244513,0.2392857142857142,0.18340611353711778,0.4188034188034187,0.7142857142857144,0.6666666666666665,0.7777777777777777,0.017069701280227598,0.02,0.01658188761338791,0.3274336283185841,0.022514071294559096,0.06701132651967126,0.00748015939683825,1
251,33.0810810810811,38,29,0.978270106953606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.533484019134659,0.466515980865341,0.19999999999999984,0.15283842794759817,0.3846153846153845,0.6285714285714286,0.5555555555555554,0.7222222222222219,0.0384068278805121,0.04666666666666667,0.03709559045869687,0.30973451327433627,0.03564727954971857,0.11947947779469331,0.0010532996017420199,0
252,25.008695652173902,32,19,0.9318158164877828,0.09698100575557014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7947366832084172,0.205263316791583,0.15357142857142858,0.13973799126637554,0.299145299145299,0.6000000000000001,0.5555555555555554,0.6666666666666665,0.05832147937411096,0.07,0.0646513106986643,0.4778761061946903,0.048780487804878044,0.14426595430546832,0.022621029319284,1
208,31.470588235294105,35,29,0.9896148083625755,0.00890736872962399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6578606945489621,0.342139305451038,0.22499999999999998,0.1877729257641919,0.37606837606837595,0.37142857142857144,0.38888888888888884,0.38888888888888884,0.032716927453769556,0.03666666666666667,0.029268554330884374,0.27876106194690264,0.03377110694183865,0.09741803768195466,0.00023036483328876003,1
266,28.7272727272727,34,23,0.8019804479786523,0.09895330450213996,0.013507471300623818,0.0,0.0,0.004837011636110996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.695919460889551,0.304080539110449,0.1357142857142858,0.1179039301310042,0.299145299145299,0.6000000000000001,0.5555555555555554,0.6666666666666665,0.06685633001422475,0.06666666666666668,0.05982284323085704,0.4424778761061947,0.06191369606003753,0.3067397937141017,0.055337558094334396,1
118,30.0,32,28,0.951947660811359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5900695395307379,0.409930460469262,0.26428571428571435,0.262008733624454,0.3247863247863247,0.5714285714285716,0.5555555555555554,0.6111111111111112,0.12517780938833573,0.06666666666666668,0.06774599880814917,0.4955752212389381,0.13883677298311445,0.16742031982154276,0.0023247368769585396,1
56,31.4651162790698,38,27,0.35414169900637693,0.29525222083607344,0.0,0.0,0.0,0.007286361644282096,0.0,0.0,0.0,0.1859121382677752,0.0,0.0,0.0,0.878158424056515,0.121841575943485,0.3178571428571427,0.32751091703056756,0.3247863247863247,0.34285714285714297,0.2777777777777777,0.4444444444444442,0.09672830725462306,0.05666666666666667,0.06310156221015215,0.5663716814159292,0.10694183864915573,0.5426054863590497,0.334983520532638,1
53,30.2631578947368,33,27,0.37127170268106563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.898447987875044,0.101552012124956,0.3285714285714286,0.3231441048034934,0.35897435897435886,0.37142857142857144,0.3333333333333335,0.4444444444444442,0.14082503556187767,0.02666666666666667,0.06850629253274683,0.5752212389380531,0.18198874296435272,0.6655372497763054,0.226282295856997,1
52,31.893617021276604,38,26,0.28548188000264046,0.04871570524490827,0.0,0.0,0.0,0.023296697489249105,0.0,0.0,0.0,0.7097342553534595,0.0,0.0,0.0,0.7273634477875901,0.27263655221241,0.33571428571428574,0.33624454148471605,0.3504273504273503,0.37142857142857144,0.3333333333333335,0.4444444444444442,0.14082503556187767,0.04,0.06493691236650069,0.46017699115044247,0.17448405253283303,0.6309593190676583,0.32762191152916303,1
