fid,avg_tmp,도로(도시)_비율,순수양호_비율,순수불량_비율,b_sum,g_sum
300,32,75.5811302,51.29496265,48.70503735,24.4188698,0
381,31.875,59.355127663,21.442126544,78.557873456,40.290411892,0
403,34.507246377,55.390798634,15.89665709,84.10334291,24.618905013,3.0139152298
408,33.266666667,69.110375514,26.199416393,73.800583607,17.968144812,0.54541612605
431,32.666666667,69.257236585,15.197172326,84.802827674,19.242064468,0.040534407712
