"fid","avg_tmp","max_tmp","min_tmp","도로(도시)_비율","공공용지(도시)_비율","하천(수계)_비율","암벽/석산(임지)_비율","미경지정리답(농지)_비율","보통/특수작물(농지)_비율","저수지/늪(수계)_비율","공업나지(도시)_비율","경지정리답(농지)_비율","철로(도시)_비율","골프장(임지)_비율","공원묘지(임지)_비율","과수원(농지)_비율","순수양호","순수불량","순수양호_비율","순수불량_비율","80m_wind_speed","10m_wind_speed","difference_wind","avg_dust_10","max_dust_10","min_dust_10","max_ele","min_ele","avg_ele","num_ele","diff_ele","label","b_sum","g_sum"
395,27,29,26,0,0,0,0,0,0,0,0,0,0,0,0,0,979334.827,34103.934,96.6348303111726,3.3651696888274,3.16,2.85,0.31,53,54,52,271,94,170.817518248175,137,177,3,0,100
439,21.0193236714976,32,14,20.7189445602499,0,0,0,0,0,0,0,0,1.9643260983504,0,0,0,1385220.976,10101.204,99.2760665497341,0.723933450265945,2.96,2.82,0.14,51,51,51,399,45,164.253807106599,197,354,3,3.13354734111355,74.1831820002861
391,26.1111111111111,27,25,0,0,0,0,0,0,0,0,0,0,0,0,0,765979.582,0,100,0,5.29,4.11,1.18,51.5,52,51,557,188,362.604651162791,129,369,1,0,100
394,27.375,29,26,0,0,0.0353682471813379,0,0,0,0,0,0,0,0,0,0,1257993.808,22624.707,98.2332984620326,1.76670153796738,4.15,3.37,0.78,52,52,52,450,80,209.359550561798,178,370,3,0,99.9646317528187
401,31.1034482758621,36,27,12.3816039434509,0,0,0,0,0.0541422883276079,0,0,0,0,0,1.23296100356596,0,969939.073,99960.384,90.6570301212892,9.34296987871076,2.68,2.44,0.24,56,58,54,121,31,53.4867256637168,113,90,3,3.96283505721347,82.3684577074421
436,23.7101449275362,33,14,20.388594395994,0,0,0,0,0.276149098982044,0,0,0,1.93300618978289,0,0,0.0794591733360071,1261509.662,12383.712,99.0278847309555,0.972115269044488,2.86,2.84,0.02,50.5,51,50,464,47,227.868571428571,175,417,3,4.44724390305719,72.8755472388479
435,30.5,34,26,28.5116706248508,0.162153625669296,0,0,0,0.275561367776821,0,0,0,2.70314052692698,0,0,0,825055.305,149338.909,84.6736662785643,15.3263337214357,2.57,2.37,0.2,50.5,51,50,76,29,44.7171717171717,99,47,1,8.07402975707243,60.2734440977037
403,34.5072463768116,39,29,55.3907986339144,0.731725075308915,7.99607589111789,0,0,0,0,0,0,8.24858015652674,0,0,0,146397.961,774537.555,15.8966570901583,84.1033429098417,2.65,2.42,0.23,52.5,54,51,28,20,24.45,40,8,0,24.6189050132879,3.0139152298441
393,30.5,35,26,12.3964729776575,0,0.239597384897998,0,0,0,0,0,0,0,0,1.2344416630525,0,951096.663,164620.147,85.2453467112322,14.7546532887678,2.88,2.53,0.35,52.5,55,50,153,42,83.317880794702,151,111,1,1.72453384597493,84.4049541284171
402,33.0833333333333,36,30,12.2668787802408,0,0,0,0,0,0,0,0,0,0,0,0,514249.267,499323.755,50.736282027838,49.2637179721621,2.64,2.42,0.22,56,58,54,41,25,31.4333333333333,60,16,0,7.26275495869983,80.4703662610594
