fid,lat,lon,열섬_확정
415,37.7,127.016,0.0
416,37.7,127.027,0.0
412,37.691,127.015,0.0
413,37.691,127.027,0.0
444,37.691,127.074,0.0
445,37.69,127.085,0.0
414,37.691,127.039,0.0
443,37.691,127.06200000000001,0.0
411,37.681999999999995,127.05,0.0
396,37.681999999999995,127.00399999999999,0.0
410,37.681999999999995,127.039,0.0
397,37.681999999999995,127.015,0.0
409,37.681999999999995,127.027,0.0
440,37.681,127.06200000000001,0.0
441,37.681,127.074,0.0
442,37.681,127.085,0.0
404,37.673,127.027,0.0
406,37.672,127.05,0.0
394,37.673,127.00399999999999,0.0
395,37.673,127.015,0.0
405,37.672,127.038,0.0
438,37.672,127.073,0.0
437,37.672,127.06200000000001,0.0
439,37.672,127.085,0.0
391,37.664,126.992,0.0
434,37.663000000000004,127.06200000000001,0.0
402,37.663000000000004,127.038,0.0
403,37.663000000000004,127.05,1.0
392,37.664,127.00299999999999,0.0
401,37.663000000000004,127.027,0.0
393,37.664,127.015,0.0
435,37.663000000000004,127.073,0.0
436,37.663000000000004,127.085,0.0
389,37.654,127.00299999999999,0.0
390,37.654,127.015,0.0
476,37.655,126.945,0.0
388,37.655,126.992,0.0
399,37.654,127.02600000000001,0.0
400,37.654,127.038,0.0
432,37.654,127.073,0.0
433,37.654,127.085,0.0
408,37.654,127.05,1.0
431,37.654,127.06200000000001,1.0
475,37.646,126.956,0.0
473,37.646,126.93299999999999,0.0
428,37.644,127.096,0.0
474,37.646,126.945,0.0
384,37.645,126.991,0.0
407,37.645,127.05,0.0
430,37.645,127.061,0.0
386,37.645,127.015,0.0
426,37.644,127.073,0.0
385,37.645,127.00299999999999,0.0
398,37.645,127.038,0.0
387,37.645,127.02600000000001,0.0
427,37.644,127.085,0.0
469,37.637,126.921,0.0
429,37.644,127.10799999999999,0.0
381,37.635999999999996,127.02600000000001,1.0
298,37.635999999999996,127.015,0.0
471,37.637,126.945,0.0
470,37.637,126.93299999999999,0.0
296,37.635999999999996,126.991,0.0
382,37.635999999999996,127.038,0.0
422,37.635,127.073,0.0
472,37.635999999999996,126.956,0.0
297,37.635999999999996,127.00299999999999,0.0
383,37.635,127.04899999999999,0.0
418,37.635,127.061,0.0
423,37.635,127.084,0.0
424,37.635,127.096,0.0
425,37.635,127.10799999999999,0.0
456,37.628,126.91,0.0
292,37.626999999999995,126.979,0.0
460,37.626999999999995,126.93299999999999,0.0
543,37.626999999999995,126.96799999999999,0.0
378,37.626,127.02600000000001,0.0
379,37.626,127.038,0.0
295,37.626999999999995,127.014,0.0
457,37.626999999999995,126.921,0.0
461,37.626999999999995,126.945,0.0
468,37.626999999999995,126.956,0.0
293,37.626999999999995,126.991,0.0
294,37.626999999999995,127.00299999999999,0.0
380,37.626,127.04899999999999,0.0
417,37.626,127.061,0.0
419,37.626,127.073,0.0
420,37.626,127.084,0.0
421,37.626,127.096,0.0
368,37.616,127.10700000000001,0.0
362,37.617,127.073,0.0
375,37.617,127.061,0.0
455,37.618,126.921,0.0
454,37.618,126.90899999999999,0.0
458,37.618,126.93299999999999,0.0
376,37.617,127.02600000000001,0.0
459,37.618,126.944,0.0
541,37.618,126.956,0.0
542,37.618,126.96799999999999,0.0
288,37.618,126.979,0.0
289,37.618,126.991,0.0
290,37.617,127.00299999999999,0.0
291,37.617,127.014,0.0
374,37.617,127.04899999999999,0.0
377,37.617,127.037,0.0
363,37.617,127.084,0.0
367,37.617,127.096,0.0
451,37.609,126.921,0.0
373,37.608000000000004,127.061,0.0
462,37.609,126.90899999999999,0.0
452,37.609,126.93299999999999,0.0
494,37.609,126.956,0.0
540,37.609,126.96700000000001,0.0
453,37.609,126.944,0.0
284,37.608000000000004,126.979,0.0
285,37.608000000000004,126.991,0.0
286,37.608000000000004,127.00299999999999,0.0
324,37.608000000000004,127.072,0.0
325,37.607,127.084,0.0
365,37.607,127.096,0.0
287,37.608000000000004,127.014,0.0
299,37.608000000000004,127.02600000000001,0.0
371,37.608000000000004,127.037,0.0
372,37.608000000000004,127.04899999999999,0.0
366,37.607,127.10700000000001,0.0
321,37.598,127.072,0.0
370,37.599000000000004,127.037,0.0
465,37.6,126.90899999999999,0.0
448,37.6,126.921,0.0
573,37.598,127.061,0.0
329,37.599000000000004,127.02600000000001,0.0
450,37.6,126.944,0.0
449,37.6,126.93299999999999,0.0
493,37.599000000000004,126.956,0.0
322,37.598,127.084,0.0
544,37.599000000000004,126.96700000000001,0.0
282,37.599000000000004,127.00200000000001,0.0
283,37.599000000000004,127.014,0.0
361,37.599000000000004,127.04899999999999,0.0
30,37.601,126.804,0.0
280,37.599000000000004,126.979,0.0
281,37.599000000000004,126.991,0.0
323,37.598,127.095,0.0
364,37.598,127.10700000000001,0.0
27,37.592,126.804,0.0
463,37.591,126.921,0.0
466,37.591,126.90899999999999,0.0
483,37.59,126.944,0.0
231,37.59,127.025,0.0
357,37.589,127.037,0.0
464,37.59,126.932,0.0
369,37.59,126.991,0.0
28,37.591,126.816,0.0
484,37.59,126.956,0.0
3,37.59,126.96700000000001,0.0
8,37.59,126.979,0.0
327,37.59,127.00200000000001,0.0
328,37.59,127.014,0.0
360,37.589,127.04899999999999,0.0
572,37.589,127.06,0.0
317,37.589,127.072,0.0
318,37.589,127.084,0.0
319,37.589,127.095,0.0
320,37.589,127.10700000000001,0.0
446,37.582,126.88600000000001,0.0
447,37.582,126.897,0.0
491,37.580999999999996,126.921,0.0
7,37.580999999999996,126.99,0.0
25,37.582,126.804,0.0
26,37.582,126.816,0.0
467,37.580999999999996,126.90899999999999,0.0
482,37.580999999999996,126.955,0.0
279,37.580999999999996,126.979,0.0
13,37.582,126.82700000000001,0.0
492,37.580999999999996,126.932,0.0
481,37.580999999999996,126.944,0.0
4,37.580999999999996,126.96700000000001,0.0
537,37.580999999999996,127.00200000000001,0.0
314,37.58,127.072,0.0
315,37.58,127.084,0.0
278,37.58,127.025,0.0
539,37.58,127.014,0.0
356,37.58,127.037,0.0
359,37.58,127.06,0.0
316,37.58,127.095,0.0
358,37.58,127.04899999999999,0.0
29,37.573,126.792,0.0
513,37.573,126.874,0.0
309,37.569,127.176,0.0
12,37.573,126.839,0.0
275,37.57,127.165,0.0
495,37.571999999999996,126.90899999999999,0.0
506,37.571999999999996,126.897,0.0
5,37.571999999999996,126.96700000000001,0.0
24,37.573,126.816,0.0
23,37.573,126.804,0.0
514,37.571999999999996,126.885,0.0
489,37.571999999999996,126.92,0.0
490,37.571999999999996,126.932,0.0
345,37.571,127.06,0.0
11,37.573,126.82700000000001,0.0
512,37.573,126.86200000000001,0.0
477,37.571999999999996,126.944,0.0
355,37.571,127.037,0.0
311,37.571,127.072,0.0
478,37.571999999999996,126.955,0.0
6,37.571999999999996,126.979,0.0
210,37.571,127.00200000000001,0.0
312,37.571,127.083,0.0
1,37.571,126.99,0.0
538,37.571,127.01299999999999,0.0
354,37.571,127.025,0.0
344,37.571,127.04799999999999,0.0
313,37.57,127.095,0.0
536,37.573,126.851,0.0
274,37.57,127.15299999999999,0.0
31,37.564,126.781,0.0
504,37.563,126.897,0.0
505,37.563,126.90899999999999,0.0
22,37.564,126.816,0.0
535,37.564,126.851,0.0
21,37.564,126.804,0.0
9,37.564,126.82700000000001,0.0
488,37.563,126.932,0.0
32,37.564,126.792,0.0
10,37.564,126.839,0.0
510,37.563,126.874,0.0
511,37.563,126.885,0.0
485,37.563,126.943,0.0
480,37.563,126.955,0.0
545,37.562,126.979,0.0
547,37.562,126.99,0.0
548,37.562,127.00200000000001,0.0
551,37.562,127.01299999999999,0.0
552,37.562,127.025,0.0
346,37.561,127.083,0.0
305,37.561,127.141,0.0
487,37.563,126.92,0.0
310,37.562,126.96700000000001,0.0
571,37.562,127.037,0.0
341,37.562,127.04799999999999,0.0
304,37.561,127.13,0.0
509,37.563,126.86200000000001,0.0
343,37.561,127.072,0.0
342,37.562,127.06,0.0
347,37.561,127.095,0.0
273,37.56,127.165,0.0
272,37.561,127.15299999999999,0.0
308,37.56,127.176,0.0
36,37.555,126.792,0.0
18,37.555,126.815,0.0
35,37.555,126.781,0.0
20,37.555,126.804,0.0
534,37.554,126.85,0.0
502,37.554,126.92,0.0
550,37.553000000000004,127.01299999999999,0.0
14,37.554,126.82700000000001,0.0
507,37.554,126.86200000000001,0.0
110,37.554,126.897,0.0
501,37.554,126.90899999999999,0.0
499,37.554,126.932,0.0
302,37.552,127.118,0.0
15,37.554,126.839,0.0
508,37.554,126.874,0.0
109,37.554,126.885,0.0
486,37.553000000000004,126.943,0.0
496,37.553000000000004,126.955,0.0
558,37.553000000000004,126.96700000000001,0.0
553,37.553000000000004,126.978,0.0
549,37.553000000000004,127.00200000000001,0.0
330,37.553000000000004,127.025,0.0
339,37.552,127.06,0.0
336,37.552,127.04799999999999,0.0
352,37.552,127.10600000000001,0.0
270,37.551,127.141,0.0
326,37.553000000000004,127.036,0.0
340,37.552,127.071,0.0
34,37.555,126.76899999999999,0.0
546,37.553000000000004,126.99,0.0
