".","Freq"
"이명박",29
"btob",28
"cat",28
"대통령",28
"라이브",28
"배나tv",28
"블랙핑크",28
"생명",28
"유명",28
"주진우",28
"태형",28
"피자",28
"2017",27
"awards",27
"hoseok",27
"krvba",27
"namjoon",27
"고기",27
"마츠모토준",27
"비투비",27
"안희정",27
"제니",27
"케이팝",27
"쿡",27
"23",26
"8.966.808",26
"ucaa4r8asmngm-mchyhnzx3q",26
"꿀잼",26
"나이",26
"노선영",26
"모음",26
"미투",26
"배우",26
"버들이",26
"성대모사",26
"아이유",26
"오락",26
"이니스프리",26
"이승기",26
"이야기",26
"인사",26
"일상브이로그",26
"탈북자",26
"한별",26
"혜서니",26
"",25
"1박2일",25
"23만",25
"23만원",25
"47애국동지회",25
"adorable",25
"mom",25
"nhhdailynewsstories",25
"sof",25
"sonyeondan",25
"uczeymmqsiiegaaos5tyqg4w",25
"공대생변승주",25
"김영철",25
"김하나",25
"냉부",25
"뜨뜨뜨뜨",25
"리사",25
"마크",25
"모드",25
"박여사",25
"브이앱",25
"사생활",25
"스토리",25
"아라시니시야가레",25
"엑소",25
"윤상",25
"윤쨔미",25
"주작",25
"축구",25
"탐방",25
"하나원",25
"beyblade",24
"episode",24
"full",24
"ji",24
"kang",24
"k연예hot",24
"min",24
"nuest",24
"개그",24
"김의성",24
"네티즌",24
"논란",24
"매운",24
"박지민",24
"부인",24
"사망",24
"사스케",24
"샤이니",24
"선물",24
"소녀시대",24
"스트레이트",24
"애니메이션",24
"오사카",24
"오사카생활",24
"오사카일상",24
"인기",24
"일본생활",24
"일본일상",24
"일상영상",24
"진영",24
"집밥",24
"체험",24
"탈탈탈",24
"탐사기획_스트레이트",24
"트럼프",24
"daily",23
"food",23
"home",23
"idol",23
"iu",23
"jenni",23
"jeon",23
"k-pop",23
"kook",23
"mommy",23
"mother",23
"seok",23
"돌잼",23
"레이디액션",23
"마다라",23
"마더",23
"마미",23
"블핑",23
"사륜안",23
"슈가",23
"시리즈",23
"아버지",23
"애봉이",23
"오사카여행",23
"웃긴영상",23
"유튜버",23
"이서진",23
"이선희",23
"재미",23
"정치",23
"조용필",23
"지수",23
"초청",23
"최신",23
"탕수육",23
"한국정착",23
"혼인",23
"bighit",22
"drop",22
"hot",22
"jyp",22
"mic",22
"parkjihoon",22
"pink",22
"snl코리아",22
"tae",22
"vapp",22
"yg",22
"yoon",22
"개그맨",22
"경제",22
"고작시리즈",22
"긴급",22
"나라지킴이고교연합",22
"남캠",22
"다니엘",22
"대정령",22
"라뮤끄",22
"먹방bj",22
"박근미",22
"백지영",22
"빅스",22
"세븐틴",22
"스타",22
"안재현",22
"유명인",22
"일본여행",22
"청와대",22
"최민정",22
"카카시",22
"핑크",22
"24/7",21
"amv",21
"burst",21
"kbs",21
"kdhbreakingnews",21
"kr",21
"man",21
"me",21
"minecraft",21
"mma",21
"movie",21
"parkwoojin",21
"pubg",21
"pyeongchang",21
"song",21
"to",21
"ucvdwvmknsmkhd5cbqsuvrka",21
"근육",21
"길거리",21
"김석진",21
"남도일",21
"뉴이스트w",21
"도티",21
"디파고",21
"레바",21
"리안",21
"명탐정코난",21
"박대통령",21
"사건",21
"사진",21
"송민호",21
"얼굴",21
"올리브영",21
"우왁굳",21
"운동",21
"윤식당2",21
"일본요리",21
"일본음식",21
"재밌는",21
"정유미",21
"코난",21
"코리아",21
"평양공연",21
"피부커버",21
"핑크머리",21
"하하",21
"회사원",21
"#showbiz",20
"baejinyoung",20
"fan",20
"hwangminhyun",20
"roleplay",20
"ros",20
"ucwv3thuu7iyiax-oicy3z6g",20
"vs아라시",20
"yt:qulity=high",20
"간음",20
"간통죄",20
"강아지",20
"경찰",20
"극장판",20
"김종현",20
"김치",20
"레저",20
"릴카",20
"마몽드",20
"박서준",20
"서현",20
"소식",20
"아미",20
"연두콩",20
"오비토",20
"워너블",20
"윤식당",20
"인간극장",20
"인생",20
"입니다.",20
"재넌",20
"전정국",20
"집",20
"친구",20
"탈출맵",20
"파운데이션",20
"beautyyoutuber",19
"cut",19
"howto",19
"jr",19
"olympic",19
"seventeen",19
"vietnam",19
"김남준",19
"김하온",19
"남북정상회담",19
"니노",19
"다이소",19
"다이어트",19
"데일리",19
"뒈져따",19
"리설주",19
"만들기",19
"문화",19
"밥",19
"버들이공연",19
"버들이품바",19
"비교",19
"세로톡톡톡",19
"에이핑크",19
"영국",19
"오노",19
"우결",19
"윤여정",19
"전소민",19
"창섭",19
"처음",19
"탈북스토리",19
"테스터훈",19
"파스타",19
"한반도기",19
"해외일상브이로그",19
"#korea",18
"fashion",18
"ho",18
"hyung",18
"in",18
"joon",18
"jpn",18
"pwediepie",18
"remix",18
"seokjin",18
"u-23",18
"uclicxwvsfmx5xpyguhnqj6g",18
"강산에",18
"고등래퍼",18
"낚시",18
"다운",18
"도리도리잼잼",18
"리얼",18
"마마무",18
"민기",18
"병맛",18
"빅히트",18
"사랑",18
"생활",18
"서울",18
"수요미식회",18
"스포츠",18
"신서유기",18
"아는형님",18
"아라시예능",18
"악뮤",18
"악어유튜브",18
"알리",18
"여드름",18
"여정을떠난여정",18
"오버워치",18
"우치하",18
"유머",18
"이재명",18
"정형돈",18
"카인다쿨",18
"쿡방",18
"탁현민",18
"트레져헌터",18
"패러디",18
"퓨디파이",18
"한국인",18
"해외일상",18
"현송월",18
"#방탄소년단",17
"(ranking",17
"afc",17
"beautiful",17
"family",17
"gi",17
"gotv",17
"hanbyul",17
"innisfree",17
"kballard",17
"mblaq",17
"top",17
"u23",17
"ucchkfkndcjswjcr8bv7rwkw",17
"world)",17
"개떵",17
"객실",17
"것처럼",17
"고려호텔",17
"고작먹방",17
"관객",17
"김광숙",17
"김옥주",17
"김정은단체사진",17
"김정은리설주",17
"김정은리설주참관",17
"김정은악수",17
"김지은",17
"다녤",17
"단미호",17
"대유잼",17
"데일리베스트",17
"데일리베스트뉴스",17
"동물",17
"레드벨벳김정은",17
"마이",17
"마인",17
"맛",17
"맞은",17
"명장면",17
"미국입국비자",17
"박근혜재판",17
"防<U+5F3E>少年<U+56E3>",17
"배틀그라운드",17
"버드나무",17
"볶음밥",17
"볼케이노",17
"뷰티유튜버",17
"브베",17
"빅뱅",17
"빨간",17
"빨간맛",17
"삼성",17
"상담",17
"상황극",17
"송영",17
"스마트폰",17
"신의한수",17
"싸움",17
"쓰레기대란",17
"아프리카비제이",17
"알파순",17
"엠블랙",17
"엠블랙지오",17
"요루루",17
"유엔안보리",17
"이수건",17
"이승훈",17
"잉여맨",17
"정규재tv",17
"정지오",17
"정지오티비",17
"정호석",17
"제천화제",17
"조용필이선희",17
"쥐늑대",17
"지오",17
"지오티비",17
"총",17
"쿠키",17
"크루",17
"탈모",17
"태택이",17
"평양공연백지영",17
"평양조용필",17
"평양타치",17
"푸른",17
"한",17
"햄버거",17
"행복",17
"행사",17
"홍준표",17
"황장수tv",17
"american",16
"bbq",16
"bhc",16
"comeback",16
"dna",16
"entertainment",16
"funniest",16
"generation",16
"girls'",16
"sbs",16
"shinee",16
"snsd",16
"sungwoon",16
"swamp",16
"개리",16
"건축",16
"겨드랑이",16
"공혁준",16
"군필",16
"김도",16
"김부선",16
"김유리",16
"냉장고를부탁해",16
"너불",16
"놀라운",16
"늪스타그램",16
"늪지대",16
"다솜",16
"달달",16
"달자",16
"데일리메이크업",16
"디저트",16
"라인",16
"레나",16
"리타",16
"만화경",16
"멋사",16
"멜론뮤직어워드",16
"미드",16
"민윤기",16
"방문기",16
"복무신조",16
"뷰티다다",16
"빨갱이",16
"새우",16
"생존",16
"수닝",16
"수현",16
"술",16
"심심",16
"심장싸대기",16
"어벤져스",16
"엽기",16
"오늘뭐해",16
"이광수",16
"이정재",16
"자괴감",16
"저렴이",16
"족발",16
"지성피부",16
"참교육",16
"캠방",16
"커피",16
"컨텐츠",16
"탈북과정",16
"팀추월",16
"핑맨",16
"핫도그",16
"해롱이",16
"홍진영",16
"#news",15
"24h",15
"baekho",15
"ep",15
"for",15
"go",15
"i",15
"life",15
"rose",15
"too",15
"강유미",15
"개그우먼",15
"겨울",15
"공개",15
"공대생",15
"관상",15
"나선환",15
"니노미야",15
"덕질",15
"데이트",15
"도전",15
"떵개떵",15
"리빙",15
"백종원",15
"부산",15
"성폭행",15
"수부지",15
"신동엽",15
"신병",15
"실제",15
"안녕하세요",15
"웃음",15
"이병재",15
"정무비서",15
"좋아서하는채널",15
