"","tag_28_1","Freq"
"1","#hangoutsonair",2
"2","#hoa",2
"3","[none]",13
"4","<U+5727>倒的不審者の極み",2
"5","<U+7814>ぎ",2
"6","<U+7814>ぎ方",2
"7","<U+7814>ぐ",2
"8","1분과학",1
"9","2017 년 최고",3
"10","2018 iPad",1
"11","2018 아이패드",1
"12","5G",3
"13","6th iPad",1
"14","6세대",1
"15","6세대 아이패드",1
"16","A10",1
"17","A11 Bionic",2
"18","A11 바이오닉",2
"19","A9",9
"20","ai",2
"21","AI",3
"22","alexandre desplat",1
"23","alt coin",2
"24","altcoin",2
"25","aluminum ball polishing",1
"26","aluminum foil",1
"27","aluminum foil ball",1
"28","aluminum foil ball challenge",1
"29","aluminum foil ball trend",1
"30","aluminum foil trend",1
"31","anderson paak",3
"32","Android",4
"33","animoji",2
"34","apartment",3
"35","apple",7
"36","Apple",4
"37","Apple A10",1
"38","apple education",1
"39","apple event",1
"40","apple ipad",1
"41","Apple iPad",2
"42","apple music",3
"43","apple pencil",1
"44","Apple Pencil",1
"45","apple pencil for ipad",1
"46","Apple Pencil for iPad",1
"47","ART",9
"48","AsapSCIENCE",2
"49","asmr",2
"50","audio illusion",2
"51","audio tricks",2
"52","baekgong",1
"53","balloon",1
"54","Bangtanboys",1
"55","Barcelona",3
"56","bch",2
"57","Best Friend",2
"58","best gaming setup",1
"59","best of 2017",3
"60","bitcoin",3
"61","bitcoin cash",2
"62","blockchain",3
"63","blockchainers",2
"64","Boston Dynamics",15
"65","bottles",3
"66","btc",2
"67","BTS",2
"68","BTS ARMY",1
"69","build",1
"70","business",2
"71","camera",4
"72","Camera",3
"73","CAR",1
"74","car vs fish herring",1
"75","cars",1
"76","casey neistat tech review",2
"77","casting foil ball",1
"78","CES",3
"79","choreography",3
"80","cloe feldman",2
"81","coding",2
"82","coincast",1
"83","coinone",1
"84","compilation",6
"85","computer",1
"86","CordZero",5
"87","crafts",6
"88","crowdsale",2
"89","crypto",2
"90","cryptocurrency",3
"91","daily",2
"92","dan seifert",2
"93","dancer",3
"94","dancing",3
"95","DC",2
"96","desk setup",1
"97","developer",2
"98","developtment",2
"99","distributed ledgers",2
"100","diy",3
"101","DIY",6
"102","diy polish ball",1
"103","DLT",2
"104","Do you hear yanny or laurel",2
"105","don't flinch",2
"106","dream desk",1
"107","drill",3
"108","Dynamic robot",3
"109","Dynamic Robot",3
"110","Dynamic robots",9
"111","economics",2
"112","Education",1
"113","emoji",2
"114","epic gaming setup",1
"115","eth",2
"116","ethereum",3
"117","Experiment",1
"118","explain yanny or laurel",2
"119","extreme polishing",1
"120","Face ID",2
"121","finance",2
"122","fintech",2
"123","Fira Barcelona Montjuic",3
"124","fish",1
"125","fka twigs",3
"126","Flagship",3
"127","foil ball",1
"128","foil ball challenge",1
"129","fortnight",1
"130","fortnite",1
"131","fortnite battle royale",1
"132","fortnite best",1
"133","fortnite funny",1
"134","fortnite pc",1
"135","fortnite setup",1
"136","freedom",2
"137","frequency",2
"138","G7",7
"139","Galaxy",6
"140","Galaxy Note5",3
"141","Galaxy Note8",3
"142","Galaxy S7",3
"143","Galaxy S8",3
"144","galaxy s9",1
"145","Galaxy S9",5
"146","galaxy s9 plus",2
"147","galaxy s9 release date",2
"148","galaxy s9 specs",2
"149","GalaxyS9 Pl;us",3
"150","games",1
"151","gaming",1
"152","gaming pc",1
"153","gaming room",1
"154","gaming setup",1
"155","gopro",2
"156","goprohero4",2
"157","grand budapest",1
"158","handcraft",6
"159","Handphone",3
"160","Hands On",3
"161","Hangouts On Air",2
"162","hodl",2
"163","home speaker",3
"164","homepod",3
"165","Homework",1
"166","hot glue",2
"167","How",2
"168","how to",3
"169","how to clean",1
"170","how to make",1
"171","hoyte van hoytema",3
"172","humanoid robot",2
"173","Humanoid Robots",6
"174","ico",2
"175","ICT",3
"176","idea",6
"177","ideas",6
"178","ideas for phones",2
"179","ideas with balloons",1
"180","ideas with drill",3
"181","ideas with plastic bottles",4
"182","initial coin offering",2
"183","intro",2
"184","introduction",2
"185","invention",3
"186","invention ideas",2
"187","investing",2
"188","ipad",1
"189","iPad",2
"190","iPad 6th",1
"191","iPad and Apple Pencil",1
"192","ipad apple pencil",1
"193","iPad Apple Pencil",1
"194","iPhone",2
"195","iPhone 10",2
"196","iphone review",3
"197","iphone x",1
"198","iPhone X",3
"199","iPhoneX",3
"200","iPhoneX review",3
"201","iPhone으로 찍다",2
"202","jack prelutsky",1
"203","jacksfilms",2
"204","japan trend",1
"205","japanese aluminum foil ball challenge",1
"206","japanese trend",1
"207","jell-o",2
"208","jello",2
"209","jhope",1
"210","jimin",1
"211","jin",1
"212","jungkook",1
"213","kitchen knife",2
"214","kiwami",2
"215","Korea",1
"216","KT",1
"217","Launch",3
"218","laurel",2
"219","lava",2
"220","learn",2
"221","legged locomotion",2
"222","Legged Locomotion",10
"223","Legged robots",1
"224","Legged Robots",3
"225","LG",16
"226","LG G7",7
"227","LG G7 ThinQ",7
"228","LG Smartphone",7
"229","LG 냉장고",2
"230","LG 디오스",2
"231","LG 디오스 노크온",2
"232","LG 디오스 노크온 매직스페이스",2
"233","LG 매직스페이스",2
"234","LGXBTS",5
"235","LG전자",9
"236","life hacks",1
"237","lifehacks",6
"238","litecoin",1
"239","Make",2
"240","Masterpiece",1
"241","Masterpiece Nonono",1
"242","mining",2
"243","mirror polishing",1
"244","Mobile",3
"245","Mobile Manipulation",4
"246","mobile phone",2
"247","molten aluminium",1
"248","Mythbusters",2
"249","New",3
"250","New iPad",1
"251","new york",3
"252","news",2
"253","Nonono",1
"254","Notes",1
"255","Notes for iPad Notes and iPad",1
"256","Notes iPad",1
"257","Notes on iPad",1
"258","Oh homework",1
"259","opinion",2
