"","tag_28_1","Freq"
"260","pc",1
"261","pc build",1
"262","pc gaming",1
"263","pc gaming setup",1
"264","phone",2
"265","pitch",2
"266","plastic bottle",4
"267","player unknown battlegrounds",1
"268","polishing aluminum foil",1
"269","polishing aluminum foil balls",1
"270","polishing foil ball",1
"271","polishing foil balls",1
"272","politics",2
"273","Portrait Lighting",2
"274","price",2
"275","privacy",2
"276","processer",1
"277","programming",2
"278","pubg",1
"279","Qtum",1
"280","R9",9
"281","rapmonster",1
"282","Release",3
"283","Review",1
"284","rgb setup",1
"285","ripple",1
"286","robot",1
"287","Robot",3
"288","Robot manipulation",3
"289","Robotics",6
"290","Robots",3
"291","room tour",1
"292","ryan heffington",3
"293","S9",2
"294","samsung",2
"295","Samsung",3
"296","Samsung Electronics",3
"297","Samsung Galaxy",3
"298","Samsung Galaxy S9",2
"299","samsung galaxy s9 plus",2
"300","Samsung Mobile",3
"301","samsung s9",2
"302","Samusng",3
"303","science of yanny or laurel",2
"304","security",2
"305","setup",1
"306","setup tour",1
"307","sharp",2
"308","Sharpen",2
"309","sharpest",2
"310","siri",3
"311","SK Telecom",3
"312","SKT",3
"313","SK텔레콤",3
"314","smart home",3
"315","smart speaker",3
"316","smartphone",2
"317","Smartphone",15
"318","Sofi Tukker",2
"319","solved",2
"320","SOLVED: Yanny or Laurel",2
"321","spike jonze",3
"322","SpotMini",7
"323","steelseries",1
"324","stropping",2
"325","Student",1
"326","subway",3
"327","suga",1
"328","T-Mobile",1
"329","T9",9
"330","technology",2
"331","Technology",3
"332","test",1
"333","the dress",2
"334","The new iPad and Apple Pencil",1
"335","the science of audio illusions",2
"336","the science of laurel",2
"337","the science of yanny",2
"338","the science of yanny vs. laurel",2
"339","the verge",2
"340","ThinQ",7
"341","This is 5G",3
"342","till its over",3
"343","tin foil ball",1
"344","to",2
"345","trading",2
"346","trick",1
"347","tricks",6
"348","triple monitor setup",1
"349","tutorial",8
"350","twigs",3
"351","ultimate gaming setup",1
"352","unbox therapy",1
"353","Unboxing",1
"354","underkg",5
"355","Unpacked",3
"356","useful things",6
"357","USIM",1
"358","video",1
"359","video games",1
"360","vlog",2
"361","volcano",2
"362","volte",1
"363","vs",1
"364","ways",1
"365","WD-40",1
"366","what colour is this dress",2
"367","what do you hear",2
"368","Whetstone",2
"369","which do you hear",2
"370","why i'm so scared",2
"371","workstation",1
"372","wowshow",1
"373","yanny",2
"374","yanny or laurel",2
"375","yaurel",2
"376","ゼラチン",2
"377","ゼリ<U+30FC>",2
"378","가전 추천",2
"379","가전제품 추천",2
"380","가전주부",2
"381","갈릭걸스",3
"382","개봉기",1
"383","개통",1
"384","갤럭시",3
"385","갤럭시S9",3
"386","거래소",1
"387","검",2
"388","공예",8
"389","과학",3
"390","광고",5
"391","교육용",1
"392","국가대표",5
"393","국내사용",1
"394","금속",3
"395","김경애",5
"396","김민정",9
"397","김선영",9
"398","김연아",3
"399","김영미",9
"400","김은정",9
"401","김초희",9
"402","냉장고",2
"403","노크온",2
"404","노트 필기",1
"405","노트 필기 아이패드",1
"406","뉴아이패드",1
"407","다이슨",5
"408","도선풍수",2
"409","동물 애니모티콘",2
"410","동물 이모지",2
"411","동물 이모티콘",2
"412","듀얼배터리",4
"413","디스커버리채널",2
"414","디에디트",3
"415","디오스",2
"416","디오스 노크온",2
"417","디오스 매직스페이스",2
"418","뜨거운 아교",2
"419","뜬소문",2
"420","라이트코인",1
"421","라이프 박",6
"422","로봇",2
"423","로봇 일자리",2
"424","리뷰",4
"425","리플",1
"426","만들기",3
"427","만취녀",3
"428","무기",2
"429","무선청소기",9
"430","문성진",1
"431","미신",2
"432","박민찬",2
"433","박지원",1
"434","발명",3
"435","발명 아이디어",2
"436","백공",1
"437","백재욱",1
"438","베루스",2
"439","베루스 케이스",2
"440","베스트 프렌드",2
"441","변경된점",3
"442","병",3
"443","블록체인",1
"444","비트코인",1
"445","비트코인으로 일주일살아보기",1
"446","뺨때리는",1
"447","사용기",3
"448","사용방법",1
"449","삼성",3
"450","삼성 갤럭시S9 플러스",3
"451","삼성전자",3
"452","새 아이패드 애플 펜슬",1
"453","새로운 스마트폰",3
"454","생각",6
"455","성능",1
"456","소피 터커",2
"457","속임수",6
"458","송곳",3
"459","송범선",1
"460","쇠구슬",3
"461","수공",6
"462","스마트 폰",4
"463","스마트폰",6
"464","스티커",2
"465","신제품",2
"466","신혼가전",2
"467","신혼살림",2
"468","신혼살림 추천",2
"469","아시아경제tv",1
"470","아이디어",6
"471","아이패드",2
"472","아이패드 6세대",1
"473","아이패드 애플 펜슬",1
"474","아이폰",2
"475","아이폰 10",5
"476","아이폰 8 플러스",2
"477","아이폰 8 플러스 개봉기",2
"478","아이폰 8 플러스 리뷰",2
"479","아이폰 8 플러스 사용기",2
"480","아이폰 8 플러스 언박싱",2
"481","아이폰 8 플러스 후기",2
"482","아이폰 x",3
"483","아이폰 x 개봉기",3
"484","아이폰 x 리뷰",3
"485","아이폰 x 사용기",3
"486","아이폰 x 언박싱",3
"487","아이폰 x 후기",3
"488","아이폰 텐",5
"489","아이폰10",3
"490","아이폰8 플러스",5
"491","아이폰8 플러스 개봉기",2
"492","아이폰8 플러스 리뷰",2
"493","아이폰8 플러스 사용기",2
"494","아이폰8 플러스 언박싱",2
"495","아이폰8 플러스 후기",2
"496","아이폰x",3
"497","아이폰X",4
"498","아이폰x 개봉기",3
"499","아이폰X 개봉기",3
"500","아이폰x 리뷰",3
"501","아이폰X 리뷰",3
"502","아이폰x 사용기",3
"503","아이폰X 사용기",3
"504","아이폰x 언박싱",3
"505","아이폰x 후기",3
"506","아이폰엑스",3
"507","아이폰텐",6
"508","안경선배",5
"509","안드로이드",4
"510","안드로이드 스마트폰",3
"511","알루미늄",3
"512","암호화폐",1
"513","애니모지",5
"514","애니모티콘",5
"515","애플",7
"516","애플 아이패드",2
"517","애플 아이패드 6세대",1
"518","애플 아이폰 x",3
"519","애플 아이폰 x 개봉기",3
"520","애플 아이폰 x 리뷰",3
"521","애플 아이폰 x 사용기",3
"522","애플 아이폰 x 언박싱",3
"523","애플 아이폰 x 후기",3
"524","애플 펜슬",1
"525","애플 펜슬 아이패드",1
"526","언더케이지",5
"527","언박싱",4
"528","엘지전자",9
"529","여자컬링팀",4
"530","영미",5
"531","오늘의코인",1
"532","올림픽",9
"533","유발 하라리",2
"534","유심",1
"535","유용한 것들",6
"536","윤성빈",3
"537","이더리움",1
"538","이모지",2
"539","이모티콘",2
"540","이유리",1
"541","이은지",1
"542","인공지능",7
"543","인공지능 로봇",2
"544","인공지능 일자리",2
"545","인공지능 일자리 문제",2
"546","인물 사진 조명",2
"547","인체",1
"548","인체의 신비",1
"549","일자리",2
"550","일자리 대체",2
"551","自作",2
"552","作ってみた",2
"553","作り方",2
"554","作成",2
"555","作製",2
"556","전화",2
"557","주부",2
"558","주부로망",2
"559","증강 현실",2
"560","증강현실",2
"561","증명",2
"562","지도 시간",6
"563","砥石",2
"564","직구",1
"565","진화",1
"566","짐캐리",2
"567","철사",2
"568","청소 방법",1
"569","청소기",9
"570","총정리",1
"571","최연우",1
"572","카메라",5
"573","칼",2
"574","컬링",4
"575","컬링국가대표",3
"576","컬링세계선수권",3
"577","컬링팀",5
"578","컬벤져스",3
"579","코드제로",5
"580","코드제로A9",4
"581","코인넘버원",1
"582","코인원",1
"583","코인캐스트",1
"584","큐텀",1
"585","팀킴",9
"586","팀킴광고",5
"587","페이스 아이디",2
"588","편집",6
"589","包丁",2
"590","포켓몬go",2
"591","포켓몬고",2
"592","표창",2
"593","풍선",1
"594","풍선 도움말",1
"595","풍수만설",2
"596","풍수지리",2
"597","풍수직설",2
"598","프로세서",1
"599","플라스틱 병",4
"600","플라스틱 병으로 만든 아이디어",4
"601","플래그십",3
"602","학생",1
"603","학생용",1
"604","한국개통",1
"605","한국사용",1
"606","해결",2
"607","해외구입",1
"608","해외스마트폰",1
"609","해외직구",1
"610","핸즈온",3
"611","헛소문",2
"612","호기심",2
"613","호기심천국",2
"614","호기심해결사",2
"615","호모 데우스",2
"616","호일",3
"617","훈련과 아이디어",3
"618","휴대 전화",2
"619","휴대폰 아이디어",2
"620","흡입력",9
