".","Freq"
"축구",150
"하이라이트",110
"vs",101
"2018",100
"highlights",99
"손흥민",87
"kbo",85
"game",79
"프로야구",77
"sports",74
"full",70
"nba",68
"football",60
"spotv",60
"basketball",59
"반응",56
"스포츠",55
"평창",54
"한국",52
"mlg",50
"슛포러브",49
"올림픽",46
"일본",44
"for",43
"league",43
"love",43
"shoot",43
"중계",42
"야구",41
"평창올림픽",41
"korea",40
"골",39
"경기",38
"afc",37
"mlb",37
"박지성",37
"goal",36
"soccer",36
"warriors",36
"시구",36
"baseball",35
"plays",35
"토트넘",35
"1분",34
"1분베어스",34
"bearspotv",34
"nam",34
"그리고",34
"두산",34
"두산베어스",34
"박항서",34
"베어스",34
"베어스tv",34
"베어스포티비",34
"스포티비",34
"온더레코드",34
"잠실",34
"잠실직캠",34
"highlight",33
"kbl",33
"개막식",33
"베트남",33
"cavs",31
"playoffs",31
"대한민국",31
"바밤바",31
"cavaliers",30
"golden",30
"state",30
"cleveland",29
"월드컵",29
"이슈",29
"팀추월",29
"해외반응",29
"hit",28
"power",28
"professional",28
"논란",28
"goals",27
"gs",27
"kfa",27
"드리블",27
"씨잼철",27
"이천수",27
"base",26
"curve",26
"double",26
"error",26
"fastball",26
"fork",26
"foul",26
"homerun",26
"hr",26
"mls",26
"npb",26
"serie",26
"single",26
"sinker",26
"stadium",26
"steal",26
"strike",26
"triple",26
"vi<U+1EC7>t",26
"wbc",26
"기성용",26
"신태용",26
"sport",25
"선수",25
"여자",25
"gsw",24
"world",24
"네티즌",24
"안정환",24
"해외",24
"2017",23
"amazing",23
"bong",23
"đa",23
"skills",23
"김보름",23
"노선영",23
"아프리카tv",23
"cong",22
"ph<U+01B0><U+1EE3>ng",22
"surprise",22
"명장면",22
"일본반응",22
"dribble",21
"국가대표",21
"박지우",21
"이청용",21
"평창동계올림픽",21
"park",20
"레전드",20
"사건",20
"이근호",20
"프로동네야구",20
"gamst",19
"pyeongchang",19
"감스트",19
"히딩크",19
"vietnam",18
"이승우",18
"afreecatv",17
"celtics",17
"u-23",17
"u23",17
"winter",17
"개회식",17
"권창훈",17
"김남일",17
"야구장",17
"염기훈",17
"차두리",17
"컬링",17
"호날두",17
"bj",16
"channel",16
"olympic",16
"seo",16
"ti<U+1EBF>p",16
"tr<U+1EF1>c",16
"구자철",16
"김은정",16
"이대호",16
"정현",16
"지구방위대",16
"all",15
"curling",15
"kim",15
"류현진",15
"스킬",15
"스피드스케이팅",15
"아프리카티비",15
"엄다영",15
"오모",15
"중국",15
"톰톰",15
"bgam",14
"boston",14
"broadcast",14
"contents",14
"cup",14
"gamtube",14
"hang",14
"injik",14
"kiminjik",14
"new",14
"tr<U+01B0><U+1EDD>ng",14
"tv",14
"감독",14
"감튜브",14
"개인기",14
"김인직",14
"동네야구",14
"반병지",14
"방송",14
"비감",14
"비제이",14
"인직",14
"컨텐츠",14
"콘텐츠",14
"한일전",14
"현영민",14
"championship",13
"hd",13
"live",13
"김병지",13
"김연아",13
"배트",13
"사회인야구",13
"우승",13
"지구방위대fc",13
"4강",12
"epl",12
"in",12
"pdb",12
"zlatan",12
"결승",12
"고등야구",12
"글러브",12
"김신욱",12
"대학야구",12
"동아리야구",12
"볼터치",12
"생활체육",12
"썩코치",12
"썩코치의야구쑈",12
"야구게임",12
"야구경기",12
"야구광",12
"야구동아리",12
"야구라이프",12
"야구레슨",12
"야구리그",12
"야구맨",12
"야구생활",12
"야구선수",12
"야구쑈",12
"야구야",12
"야구연습",12
"야구인",12
"야구장비",12
"야구코치",12
"야구팀",12
"야구하이라이트",12
"오재원",12
"윤성빈",12
"이재성",12
"조현우",12
"챔스",12
"최진철",12
"1",11
"8강",11
"iraq",11
"la",11
"los",11
"xuan",11
"쇼트트랙",11
"스쿨어택",11
"스쿨어택땅",11
"엠스플",11
"영미",11
"운동",11
"이라크",11
"이영표",11
"&",10
"2",10
"chanel",10
"chung",10
"h<U+1EA3>i",10
"media",10
"olympics",10
"v<U+0103>n",10
"vff",10
"vleague",10
"vpf",10
"레알마드리드",10
"문재인",10
"부상",10
"스켈레톤",10
"여자컬링",10
"즐라탄",10
"차범근",10
"테니스",10
"프동야",10
"한국프로야구",10
"-",9
"<U+0645><U+0644><U+062E><U+0635>",9
"4",9
"anh",9
"bay",9
"can",9
"canada",9
"champions",9
"championships",9
"chau",9
"commentary",9
"đ<U+1ECB>ch",9
"đ<U+1ED9>i",9
"fc",9
"federation",9
"games",9
"gia",9
"goles",9
"n<U+1ED9>i",9
"news",9
"north",9
"resumen",9
"vo",9
"wcf",9
"wctv",9
"women",9
"women’s",9
"wwcc2018",9
"yuna",9
"메시",9
"사고",9
"슛",9
"스페셜",9
"아이언맨",9
"우즈벡",9
"인터뷰",9
"페더러",9
"프리킥",9
"호주오픈",9
"화제",9
"assabio",8
"barcelona",8
"china",8
"federer",8
"hang-seo",8
"i",8
"lai",8
"laliga",8
"mbc",8
"moments",8
"plus",8
"ramos",8
"rapid",8
"realmadrid",8
"roger",8
"ronaldo",8
"tu<U+1EA5>n",8
"tuy<U+1EC3>n",8
"드론",8
"레알",8
"메이저리그",8
"미국",8
"석현준",8
"스포츠플러스",8
"슬라이더",8
"아싸비오",8
"안경선배",8
"오륜기",8
"웃긴",8
"이강인",8
"철맨",8
"카타르",8
"폐막식",8
"해외축구갤러리",8
"해축갤",8
"해충갤",8
"활약",8
"",7
"#acl2017",7
"#afccup2017",7
"<U+0627><U+0644><U+0623><U+0647><U+062F><U+0627><U+0641>",7
"<U+0627><U+0644><U+0645><U+0628><U+0627><U+0631><U+0627><U+0629>",7
"<U+0628><U+0627><U+0644><U+062A><U+0639><U+0644><U+064A><U+0642>",7
