Auto_tags,number,overlap_num,overlap_word
신형싼타페4륜,2,0,[]
모터pd,2,0,[]
신형싼타페2.2시승기,2,0,[]
중고차영상,2,0,[]
넥소리뷰,2,0,[]
싼타페tm리뷰,2,0,[]
코나시승기,2,0,[]
황장수,2,0,[]
인제랩타임,2,0,[]
코,2,8,"['코나시승기', '코나', '코나일렉트릭', '스코다', '코닉세그', '코란도', '드링코', '코란도c']"
이명박,2,0,[]
jtbc,2,0,[]
서킷주행,2,0,[]
중고차순위,2,0,[]
중고차상태확인,2,0,[]
이춘근,2,0,[]
김영남,2,0,[]
민영삼,2,0,[]
신의한수,2,0,[]
중고차구매,2,1,['중고차구매요령']
tm,2,10,"['싼타페tm', '싼타페tm리뷰', 'tm싼타페', '현대신형싼타페tm2.0디젤7인승htrac', '신형싼타페tm', '싼타페tm비교시승기', 'tm싼타페htrac', '싼타페tm2.0터보', '싼타페tm한상기', '싼타페tm시승기']"
스포티지중고,2,1,['스포티지중고차']
신형싼타페5인승리뷰,2,0,[]
한상기싼타페,2,0,[]
티구안시승기,2,0,[]
k7중고,2,0,[]
2019santafetestdrive,2,0,[]
캐리,2,0,[]
한상기기자,2,0,[]
신형싼타페5인승시승기,2,0,[]
싼타페htrac,2,1,['tm싼타페htrac']
신형싼타페프레스티지,2,0,[]
싼타페쏘렌토비교,2,0,[]
현대싼타페,2,0,[]
tm싼타페,2,1,['tm싼타페htrac']
티구안올스페이스,2,0,[]
현대신형싼타페,2,1,['현대신형싼타페tm2.0디젤7인승htrac']
현대신형싼타페tm2.0디젤7인승htrac,2,0,[]
한상기리뷰,2,0,[]
싼타페7인승시승기,2,0,[]
윰댕,2,0,[]
모터피디싼타페,2,0,[]
더뉴쏘렌토시승기,2,0,[]
신형싼타페tm,2,1,['현대신형싼타페tm2.0디젤7인승htrac']
신형싼타페,2,13,"['신형싼타페시승기', '신형싼타페4륜', '신형싼타페2.2시승기', '신형싼타페5인승리뷰', '신형싼타페5인승시승기', '신형싼타페프레스티지', '현대신형싼타페', '현대신형싼타페tm2.0디젤7인승htrac', '신형싼타페tm', '신형싼타페7인승실내', '신형싼타페풀옵션', '신형싼타페가솔린리뷰', '신형싼타페가격']"
k5중고,2,0,[]
김정민,2,0,[]
펜스부통령,2,0,[]
문재인,2,0,[]
평창올림픽,2,0,[]
현대차,2,0,[]
신형싼타페7인승실내,2,0,[]
패밀리카,2,0,[]
중고차거래,2,1,['중고차거래후기']
2019santafeacceleration,2,0,[]
한상기,2,5,"['한상기싼타페', '한상기기자', '한상기리뷰', '한상기시승기', '싼타페tm한상기']"
비교시승기,2,1,['싼타페tm비교시승기']
싼타페2륜시승기,2,0,[]
2019santafefirstdrive,2,0,[]
송영선,2,0,[]
싼타페tm비교시승기,2,0,[]
민철기에디터,2,0,[]
2019싼타페,2,0,[]
정원준에디터,2,0,[]
중고차허위매물,2,0,[]
자동차버튼기능,2,0,[]
tm싼타페htrac,2,0,[]
한상기시승기,2,0,[]
smtown,2,0,[]
신형싼타페풀옵션,2,0,[]
중고차가격,2,0,[]
자동차기능,2,0,[]
신형싼타페가솔린리뷰,2,0,[]
싼타페tm2.0터보,2,0,[]
bmwx6중고,2,0,[]
중고차확인,2,1,['중고차확인법']
대정령,2,0,[]
싼타페tm한상기,2,0,[]
말리부중고,2,1,['말리부중고차']
첸백시,2,0,[]
rspa,2,0,[]
사진관,2,0,[]
일본인며느리,2,0,[]
양념장,2,0,[]
자전거타기,2,0,[]
면삶기,2,0,[]
혈압,2,0,[]
초장,2,0,[]
음식걱정,2,0,[]
도시락데이,2,0,[]
내레이션송도순,2,0,[]
외출준비,2,0,[]
장보기,2,0,[]
넥쏘,2,0,[]
손자돌보기,2,0,[]
사돈식구,2,0,[]
베트남미용실,2,0,[]
우렁,2,0,[]
더위,2,0,[]
공항,2,0,[]
눈물,2,0,[]
마늘,2,0,[]
선글라스,2,0,[]
친정아버지,2,0,[]
비빔국수,2,0,[]
다문화체험수업,2,0,[]
아들,2,0,[]
모자간의대화,2,0,[]
새벽,2,0,[]
식품포장회사,2,0,[]
지각,2,0,[]
조퇴,2,0,[]
집안일,2,0,[]
소아과,2,0,[]
등원준비,2,0,[]
방글라데시며느리,2,0,[]
영상통화,2,0,[]
식사준비,2,1,['아침식사준비']
경기도남양주시,2,0,[]
저녁밥,2,0,[]
앵무새,2,0,[]
혼밥,2,0,[]
밥상차리기,2,0,[]
일본식주먹밥,2,0,[]
눈치,2,0,[]
아침준비,2,0,[]
대구광역시,2,0,[]
점심,2,0,[]
초등학교,2,0,[]
헬멧,2,0,[]
고부간의대화,2,0,[]
베트남호치민,2,0,[]
교통사고보상제대로받기,2,0,[]
국과수,2,1,['교통사고합의방법국과수교통사고합의하는방법교통사고합의나홀로소송금감원분심위구상청구소송']
블랙박스속도계산,2,0,[]
대포차조회,2,0,[]
roadcam,2,0,[]
amg,2,3,"['s63amg', 'e63amg', 'mercedes-amg']"
엑소,2,0,[]
아름다운강산,2,0,[]
시우민,2,0,[]
백현,2,0,[]
소나타중고,2,0,[]
코나,2,2,"['코나시승기', '코나일렉트릭']"
코나일렉트릭,2,0,[]
첸,2,1,['첸백시']
더k9,2,0,[]
thek9,2,0,[]
신차출시,2,0,[]
kiamotors,2,0,[]
자율주차,2,0,[]
nexo,2,0,[]
수소전기차,2,0,[]
원격스마트주차보조기능,2,0,[]
교통사고합의방법국과수교통사고합의하는방법교통사고합의나홀로소송금감원분심위구상청구소송,2,0,[]
속도분석,2,0,[]
친정할머니,2,0,[]
dashboardcam,2,0,[]
오토바이,2,0,[]
에어컨,2,0,[]
아기목욕,2,0,[]
아침식사준비,2,0,[]
식당,2,0,[]
옷선물,2,0,[]
삼겹살,2,0,[]
물고기,2,0,[]
라임,2,0,[]
외출,2,1,['외출준비']
안사돈,2,0,[]
소주,2,0,[]
논,2,0,[]
공원,2,0,[]
용돈,2,0,[]
친정엄마,2,0,[]
부산교통사고,2,0,[]
쌍촌동무단횡단교통사고,2,0,[]
보복운전,2,0,[]
비접촉교통사고,2,0,[]
난폭운전,2,0,[]
중고차구매요령,2,0,[]
중고차허위딜러,2,0,[]
철구,2,0,[]
롤스로이스,2,0,[]
렉스턴,2,1,['렉스턴스포츠']
트럭,2,0,[]
포르쉐,2,0,[]
르노삼성,2,0,[]
시승,2,14,"['시승기', '신형싼타페시승기', '신형싼타페2.2시승기', '코나시승기', '티구안시승기', '신형싼타페5인승시승기', '싼타페7인승시승기', '더뉴쏘렌토시승기', '비교시승기', '싼타페2륜시승기', '싼타페tm비교시승기', '한상기시승기', '싼타페tm시승기', '#주니tv#자동차#자동차블로거#시승기#자동차시승']"
역사,2,0,[]
비샥,2,0,[]
레이스,2,0,[]
정리몽,2,0,[]
오펠,2,0,[]
피날레,2,0,[]
새해인사,2,0,[]
2017마지막,2,0,[]
속초,2,0,[]
터보엔진,2,0,[]
기아모닝,2,0,[]
ray,2,0,[]
이다정,2,0,[]
포드,2,0,[]
유럽,2,0,[]
오토캐스트,2,0,[]
v8,2,0,[]
지프,2,0,[]
토요타,2,0,[]
한국,2,0,[]
스코다,2,0,[]
v6,2,1,['v6엔진']
푸조,2,0,[]
미국,2,1,['미국슈퍼카']
시트로엥,2,0,[]
비교,2,3,"['싼타페쏘렌토비교', '비교시승기', '싼타페tm비교시승기']"
애스턴마틴,2,0,[]
테스트드라이브,2,0,[]
크라이슬러,2,0,[]
혼다,2,0,[]
후기,2,5,"['중고차후기', '중고차거래후기', 'lf후기', '출고후기', '쏘나타후기']"
코닉세그,2,0,[]
일본,2,2,"['일본인며느리', '일본식주먹밥']"
중국,2,0,[]
도요타,2,0,[]
이다일,2,0,[]
크랭크리테이너,2,0,[]
gm,2,0,[]
김성회,2,0,[]
게임썰,2,0,[]
e92m3,2,0,[]
deserteagle,2,0,[]
샛별이,2,0,[]
ps4,2,0,[]
월드오브워크래프트,2,1,['클래시로얄와우wow월드오브워크래프트']
스팀게임,2,0,[]
m4,2,0,[]
wow,2,1,['클래시로얄와우wow월드오브워크래프트']
m5,2,2,"['qm5', 'sm5']"
디스커버리,2,2,"['디스커버리5', '올뉴디스커버리']"
레인지로버,2,0,[]
랜드로버,2,1,['재규어랜드로버']
디스커버리5,2,0,[]
f-pace,2,0,[]
재규어랜드로버,2,0,[]
f-페이스,2,0,[]
올뉴디스커버리,2,0,[]
