Politic_tags,number,overlap_num,overlap_word
김어준,136,15,"['김어준의뉴스공장', '김어준뉴스공장', '김어준의', '김어준파파이스', '뉴스공장김어준', '김어준의다스뵈이다', '김어준문재인', '김어준의파파이스', '김어준강연', '김어준유시민', '김어준조국', '이명박김어준', '파파이스김어준', '김어준의_뉴스공장', '노회찬김어준']"
안철수,130,5,"['안철수기자회견', '안철수대표', '박지원안철수', '안철수녹취록', '안철수거짓말']"
박정희,129,6,"['조갑제조갑제닷컴조갑제tv월간조선조선일보보수우파애국진보헌법국군대한민국애국보수박정희박근혜이승만', '박근혜대통령새마을박정희미국캐나다문재인변희재서석구조원진대한애국당국회탄핵무효인권침해', '박대통령조원진서울역태극기집회문화무죄이완구홍준표대한애국당정치자한당더불어민주유튜브박정희검찰법원', '박정희세미나', '박정희100주년', '박정희대통령기념재단']"
청와대,126,16,"['청와대청원', '친절한청와대', '이국종청와대', '청와대국정원뇌물', '청와대출입기자', '청와대와', '청와대용만', '청와대대변인', '청와대청원게시판', '청와대게시판', '청와대경호실', '청와대라이브', '11시50분청와대', '11시50분청와대입니다', '고민정청와대', '청와대페이스북라이브']"
탄핵,119,10,"['탄핵무효', '문재인탄핵', '불법탄핵', '그러니까탄핵당했쥐', '탄핵당했쥐', '탄핵당했지', '그러니까탄핵당했지', '기획탄핵', '박근혜대통령새마을박정희미국캐나다문재인변희재서석구조원진대한애국당국회탄핵무효인권침해', '탄핵1주년']"
김어준의뉴스공장,117,0,[]
류여해,116,2,"['류여해제명', '류여해오렬']"
최순실,116,8,"['최순실태블릿pc', '최순실변호사', '최순실조카', '최순실태블릿pc감정결과', '#최순실국정농단', '#손석희최순실', '우병우최순실', '최순실재판']"
대한민국,116,4,"['조갑제조갑제닷컴조갑제tv월간조선조선일보보수우파애국진보헌법국군대한민국애국보수박정희박근혜이승만', '박근혜대통령보수대구태극기집회대한애국당조원진자한당홍준표문재인국민의당민심국회대한민국여론친박', '대한민국역사박물관', '대한민국성장기']"
news,115,27,"['jtbcnews', 'sbsnews', 'koreanews', 'yonhapnewstv', 'sbs8news', 'koreannews', 'ktvbreakingnews', 'newstowntv', 'newsroom', 'newsk', 'newstapa', 'kdhbreakingnews', 'hknhotnews', 'news24nepal', 'mainnews', 'news24onlinetv', 'news24nepal.tv', 'news24tv', 'news24', 'news24television', 'news24nepalpanipokhari', 'powernews', 'newsvillage', 'jillanews', 'funews', 'news7', 'tvonenews']"
북한,115,32,"['북한군', '북한미사일', '북한귀순병사', '귀순북한병사cctv', '북한병사대대장', '귀순북한병사', '북한jsa', '북한군상태', '북한군귀순영상', '북한병사기생충', '북한김정은', '문재인북한', '북한군귀순', '북한배', '문재인북한산', '북한인공기', '북한산', '북한귀순', '북한병사', '북한식당여종업원', '평창북한', '북한군사도발', '북한평창동계올림픽', '평창올림픽북한참석', '북한중대보도', '북한중대발표', '북한정변', 'jsa귀순북한군총격부상', '북한김정은선넘어', '북한선박20척', '북한군인귀순', '북한테러국지정']"
