SciTech_tags,number,overlap_num,overlap_word
컬링세계선수권,3,0,[]
갈릭걸스,3,0,[]
컬벤져스,3,0,[]
choreography,3,0,[]
newyork,3,0,[]
subway,3,0,[]
apartment,3,0,[]
ryanheffington,3,0,[]
tillitsover,3,0,[]
fkatwigs,3,0,[]
skt,3,1,['sktelecom']
siri,3,0,[]
hoytevanhoytema,3,0,[]
spikejonze,3,0,[]
smarthome,3,0,[]
applemusic,3,0,[]
dancing,3,0,[]
andersonpaak,3,0,[]
twigs,3,1,['fkatwigs']
smartspeaker,3,0,[]
homepod,3,0,[]
sk텔레콤,3,0,[]
윤성빈,3,0,[]
ces,3,1,['processer']
galaxys9pl;us,3,0,[]
samsungelectronics,3,0,[]
galaxys8,3,0,[]
galaxys7,3,0,[]
5g,3,1,['thisis5g']
sktelecom,3,0,[]
thisis5g,3,0,[]
ict,3,0,[]
김연아,3,0,[]
new,3,4,"['newyork', 'news', 'thenewipadandapplepencil', 'newipad']"
변경된점,3,0,[]
bestof2017,3,0,[]
삼성전자,3,0,[]
플래그십,3,0,[]
새로운스마트폰,3,0,[]
삼성갤럭시s9플러스,3,0,[]
samusng,3,0,[]
안드로이드스마트폰,3,0,[]
갤럭시,3,2,"['삼성갤럭시s9플러스', '갤럭시s9']"
삼성,3,2,"['삼성전자', '삼성갤럭시s9플러스']"
핸즈온,3,0,[]
flagship,3,0,[]
handson,3,0,[]
갤럭시s9,3,1,['삼성갤럭시s9플러스']
ideaswithdrill,3,0,[]
2017년최고,3,0,[]
디에디트,3,0,[]
ethereum,3,0,[]
robots,3,3,"['dynamicrobots', 'humanoidrobots', 'leggedrobots']"
애플아이폰x언박싱,3,0,[]
아이폰x후기,3,1,['애플아이폰x후기']
애플아이폰x리뷰,3,0,[]
아이폰x언박싱,3,1,['애플아이폰x언박싱']
애플아이폰x,3,5,"['애플아이폰x언박싱', '애플아이폰x리뷰', '애플아이폰x후기', '애플아이폰x사용기', '애플아이폰x개봉기']"
만취녀,3,0,[]
애플아이폰x후기,3,0,[]
애플아이폰x사용기,3,0,[]
애플아이폰x개봉기,3,0,[]
아이폰엑스,3,0,[]
사용기,3,3,"['아이폰x사용기', '애플아이폰x사용기', '아이폰8플러스사용기']"
iphonexreview,3,0,[]
iphonereview,3,0,[]
cryptocurrency,3,0,[]
howto,3,2,"['howtoclean', 'howtomake']"
훈련과아이디어,3,0,[]
bitcoin,3,1,['bitcoincash']
release,3,1,['galaxys9releasedate']
launch,3,0,[]
병,3,2,"['플라스틱병', '플라스틱병으로만든아이디어']"
blockchain,3,1,['blockchainers']
송곳,3,0,[]
ゼリ?,2,0,[]
asapscience,2,0,[]
thedress,2,0,[]
whyi'msoscared,2,0,[]
thescienceofaudioillusions,2,0,[]
yannyorlaurel,2,4,"['explainyannyorlaurel', 'scienceofyannyorlaurel', 'doyouhearyannyorlaurel', 'solved:yannyorlaurel']"
包丁,2,0,[]
