Game_tags,number,overlap_num,overlap_word
clash,148,17,"['clashroyale', 'clashroyaleinvitational', 'clashofclans', 'clashroyalegame', 'clashroyalenewcard', 'clashroyalesupercell', 'clashroyalenewcards', 'clashroyalerascals', 'clashroyalerascal', 'clashofclanstownhall', 'clashofclansattacks', 'clashofclanscommercial', 'clashofclansstrategy', 'clashofclanschristmas', 'clashofclansanimation', 'clashmas', 'clashofclansgameplay']"
슈마상,148,0,[]
royale,148,11,"['clashroyale', 'battleroyale', 'clashroyaleinvitational', 'calshroyale', 'clashroyalegame', 'clashroyalenewcard', 'clashroyalesupercell', 'clashroyalenewcards', 'clashroyalerascals', 'clashroyalerascal', 'theroyalelive']"
샌드박스네트워크,146,0,[]
라이더,135,69,"['테드라이더', '라이더테드', '라이더고수', '라이더최고기록', '라이더게임', '라이더장인', '라이더시크릿', '라이더초고수', '라이더세계신기록', '라이더자켓', '라이더고수300', '라이더고수1000', '라이더200', '라이더300', '라이더공략', '라이더버그', '라이더레벨', '밍모라이더', '라이더자몽', '라이더스파키', '비누라이더', '라이더레벨48', '라이더초보', '라이더300점', '라이더밍모', '라이더자몽티비', '라이더장애물', '스파키라이더', '호그라이더', '라이더꿀팁', '라이더팁', '라이더핑거드라이버', '라이더최고', '라이더기록', '라이더날짜버그', '라이더최강차', '라이더차', '라이더secret', '라이더별', '라이더대결', '종이라이더', '자몽라이더', '라이더초초보', '라이더신', '#라이더#탱크', '라이더초보탈출', '라이더뉴비', '왕군라이더', '라이더왕군', '라이더스파키모드', '라이더1등', '멋여우라이더', '라이더멋여우', '라이더500', '라이더543', '라이더2배', '라이더점수', '라이더12단계', '카트라이더', '밍모라이더게임', '라이더cart', '라이더주작', '라이더카트', '라이더200점', '라이더성능', '라이더정장', '정장입고라이더', '라이더2', '라이더하다가울었다']"
마인크래프트,135,69,"['마인크래프트모드', '마인크래프트커맨드', '마인크래프트원커맨드', '마인크래프트커스텀npc', '마인크래프트커스텀커맨드', '마인크래프트모드쇼케이스', '마인크래프트모드어드벤쳐', '마인크래프트상황극', '마인크래프트탈출맵', '마인크래프트컨텐츠', '마인크래프트점프맵', '마인크래프트건축', '마인크래프트맵', '마인크래프트리뷰', '맵마인크래프트', '콘텐츠마인크래프트', '모드마인크래프트', '상황극마인크래프트', '컨텐츠마인크래프트', '건축마인크래프트', '도티마인크래프트', '마인크래프트도티', '탈출맵마인크래프트', '마인크래프트악어', '점프맵마인크래프트', '악어마인크래프트', '마인크래프트잉여맨', '마인크래프트럭키블럭', '마인크래프트쁘띠허브', '마인크래프트럭키블럭레이스', '마인크래프트포켓몬모드', '마인크래프트서버', '마인크래프트태경쁘띠허브', '마인크래프트태경', '도티마인크래프트술래잡기', '마인크래프트모드스토리리뷰', '마인크래프트모드스토리', '마인크래프트삼식', '마인크래프트모드리뷰', '마인크래프트모드매치', '마인크래프트플러그인', '마인크래프트전쟁', '마인크래프트탁주', '탁주마인크래프트', '마인크래프트공룡', '마인크래프트쥬라기월드', '마인크래프트공룡모드', '멋사마인크래프트', '마인크래프트멋사', '마인크래프트포켓몬', '마인크래프트트랩', '마인크래프트램램', '마인크래프트드로퍼', '마인크래프트트롤링', '마인크래프트집', '마인크래프트함정', '마인크래프트진화', '마인크래프트파쿠르', '마인크래프트탈출', '마인크래프트마인애플', '마인크래프트마플', '마인크래프트카운터', '공갈마인크래프트', '신과함께패러디마인크래프트', '마인크래프트신과함께', '마인크래프트함께패러디', '마인크래프트신비아파트', '마인크래프트모드상황극', '마인크래프트악마의열매']"
잠뜰,128,13,"['잠뜰vlog', '도티잠뜰', '잠뜰뜰로그', '뜰로그잠뜰', '잠뜰브이로그', '잠뜰실험', 'vlog잠뜰', '잠뜰팬페스트', '잠뜰tv어워즈', '2017잠뜰tv어워즈', '잠뜰실사', '잠뜰블로그', '잠뜰얼굴']"
샌드박스,124,7,"['샌드박스네트워크', '샌드박스크리에이터', '도티샌드박스', '샌드박스사무실', '샌드박스홍보', '샌드박스스튜디오', '샌드박스괴담']"
트위치,124,17,"['트위치tv', '트위치도네', '트위치도네이션', '트위치이유님', '트위치이유', '트위치하이라이트', '트위치클립', '트위치핫클립', '트위치핫클립하이라이트', '트위치핫클립하이라이트모음', '트위치스트리머', '트위치하이라이트모음', '트위치티비', '트위치로옮긴풍월량', '트위치핫클립모음', '홍방장트위치', '트위치하이라이트영상']"
minecraft,123,17,"['minecraftmod', 'minecraftmodshowcase', 'minecraft상황극', 'minecraft맵', 'minecraft건축', 'minecraft모드', 'minecraft컨텐츠', 'minecraft리뷰', 'minecraft탈출맵', 'minecraft점프맵', '컨텐츠minecraft', '건축minecraft', '맵minecraft', '모드minecraft', '리뷰minecraft', '상황극minecraft', '탈출맵minecraft']"
