emd_kor_nm,emd_cd,max_tmp,avg_tmp
관수동,11110155,33,26.095238095238095
신촌동,11410114,33,29.620689655172413
예지동,11110158,36,35.0
상왕십리동,11200101,34,32.4
용답동,11200122,37,31.65573770491803
냉천동,11410105,33,31.8
천연동,11410106,33,30.8
장사동,11110154,36,34.166666666666664
평동,11110177,33,30.714285714285715
신문로1가,11110120,32,29.5
태평로1가,11140103,32,30.333333333333332
정동,11140167,32,27.246575342465754
북아현동,11410110,35,31.384615384615383
등촌동,11500102,34,30.051724137931036
다동,11140102,32,30.8
삼각동,11140107,31,30.0
남대문로1가,11140106,31,30.666666666666668
대신동,11410113,33,30.642857142857142
입정동,11140156,36,33.375
주교동,11140152,36,35.0
신당동,11140162,38,33.0
무교동,11140101,32,30.5
을지로6가,11140148,37,34.3
을지로5가,11140151,37,35.0
방산동,11140153,37,35.5
장교동,11140109,30,28.5
수표동,11140110,33,29.7
하왕십리동,11200102,36,32.81818181818182
홍익동,11200103,36,33.42857142857143
산림동,11140157,37,34.833333333333336
수하동,11140108,31,29.5
을지로3가,11140155,36,29.257142857142856
을지로7가,11140149,37,34.714285714285715
을지로2가,11140105,33,31.125
저동1가,11140131,33,31.0
충정로2가,11410101,34,32.5
염창동,11500101,32,27.125925925925927
초동,11140159,31,24.148936170212767
저동2가,11140161,32,29.214285714285715
을지로4가,11140150,36,29.58974358974359
공항동,11500108,38,33.847457627118644
대현동,11410112,34,31.6875
서소문동,11140166,32,30.1
오장동,11140154,37,33.142857142857146
흥인동,11140163,36,34.166666666666664
인현동1가,11140160,29,20.774193548387096
암사동,11740107,35,28.908045977011493
을지로1가,11140104,31,30.5
소공동,11140111,32,31.0
태평로2가,11140114,32,30.75
인현동2가,11140134,28,21.441860465116278
예관동,11140135,34,26.4
행당동,11200107,37,32.4390243902439
광희동1가,11140145,36,34.75
오곡동,11500112,37,30.247191011235955
충정로1가,11140170,32,31.0
명동1가,11140126,33,31.4
무학동,11140164,36,34.5
연남동,11440124,33,32.333333333333336
충정로3가,11410102,34,32.75
충무로5가,11140133,35,31.454545454545453
쌍림동,11140147,37,34.833333333333336
창천동,11410116,36,33.416666666666664
의주로1가,11140169,33,31.6
순화동,11140168,33,31.0
도선동,11200104,35,34.0
미근동,11410104,34,32.2
충무로3가,11140158,33,26.571428571428573
충무로4가,11140132,34,27.125
북창동,11140113,32,31.0
남대문로3가,11140116,32,31.25
충무로2가,11140125,33,32.25
광희동2가,11140146,36,34.75
충무로1가,11140124,33,31.0
명동2가,11140127,33,31.5
장충동2가,11140144,37,31.40740740740741
필동1가,11140137,33,29.0
묵정동,11140136,35,33.6
중림동,11140171,35,32.44444444444444
합동,11410103,33,31.5
내발산동,11500106,33,29.454545454545453
필동2가,11140138,34,31.11111111111111
사근동,11200106,35,31.76
동교동,11440121,34,32.0
화곡동,11500103,35,30.00900900900901
봉래동1가,11140119,34,32.0
남대문로4가,11140117,32,31.0
망원동,11440123,34,28.336
장충동1가,11140143,35,34.0
회현동1가,11140121,32,29.1
회현동2가,11140122,32,30.166666666666668
필동3가,11140139,34,31.272727272727273
외발산동,11500107,36,30.982456140350877
예장동,11140142,34,29.956521739130434
남산동2가,11140129,34,30.5
남산동3가,11140130,34,33.0
남창동,11140112,33,30.857142857142858
남대문로2가,11140115,32,31.0
송정동,11200118,37,30.6158940397351
회현동3가,11140123,32,31.5
남학동,11140140,33,32.333333333333336
남산동1가,11140128,33,32.0
주자동,11140141,33,32.5
아현동,11440101,35,32.0
서교동,11440120,34,32.285714285714285
남대문로5가,11140118,34,31.666666666666668
노고산동,11440110,34,32.111111111111114
대흥동,11440108,35,32.35
만리동2가,11140174,34,31.5
금호동1가,11200109,34,31.3
군자동,11215109,35,33.888888888888886
광장동,11215104,35,28.791666666666668
금호동2가,11200110,34,31.9
구의동,11215103,38,29.657894736842106
염리동,11440109,34,31.88888888888889
양화동,11560131,35,28.09505703422053
창전동,11440114,34,31.88888888888889
봉래동2가,11140120,35,33.5
만리동1가,11140173,34,32.5
동자동,11170107,35,32.5625
서계동,11170108,35,33.875
합정동,11440122,34,28.092307692307692
신수동,11440111,34,32.05882352941177
상일동,11740103,37,31.617977528089888
후암동,11170101,35,30.0
응봉동,11200108,34,30.406593406593405
상수동,11440115,33,28.11764705882353
명일동,11740101,34,30.754716981132077
성수동1가,11200114,34,29.195652173913043
공덕동,11440102,34,31.733333333333334
청파동1가,11170109,34,33.666666666666664
신월동,11470103,34,28.88888888888889
목동,11470102,37,29.07035175879397
용산동2가,11170102,37,30.975
금호동3가,11200111,36,33.22222222222222
능동,11215102,35,31.555555555555557
오쇠동,11500113,36,31.28205128205128
의주로2가,11140172,33,32.0
한남동,11170131,36,29.430434782608696
구수동,11440113,33,32.0
신공덕동,11440103,34,32.0
성수동2가,11200115,35,28.14179104477612
천호동,11740109,36,29.630769230769232
이태원동,11170130,35,30.967741935483872
금호동4가,11200112,35,29.258426966292134
양평동6가,11560130,33,31.0
효창동,11170119,37,33.57142857142857
옥수동,11200113,35,28.674242424242426
화양동,11215107,36,31.393939393939394
청파동2가,11170110,34,32.333333333333336
당산동,11560117,33,28.25974025974026
당인동,11440118,33,27.735294117647058
청파동3가,11170111,35,33.42857142857143
하중동,11440116,31,27.714285714285715
용산동1가,11170106,38,35.26315789473684
신정동,11440117,32,27.869565217391305
양평동,11560134,33,29.195652173913043
현석동,11440112,33,28.266666666666666
용강동,11440105,34,28.857142857142858
양평동5가,11560129,34,32.0
도화동,11440104,34,31.666666666666668
여의도동,11560110,35,28.47982062780269
토정동,11440106,33,28.228571428571428
원효로1가,11170112,35,32.5
남영동,11170105,36,34.4
길동,11740105,34,30.65625
갈월동,11170104,35,33.666666666666664
문배동,11170122,34,32.333333333333336
한강로1가,11170124,37,34.11764705882353
